source_row_uid,eligible_voters,actual_voters,scan_locality_code,source_locality_name,source_kalpi,evidence_method,final_report_pdf,final_report_page,planned_list_part,planned_list_page,ocr_variant_votes,ocr_confidence,evidence_note
K17:162,636,413,26,ראש פינה,30,final_report_rapidocr,tzfat.pdf,2,,,3,0.99769,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:163,228,141,27,שדות מיכה,10,final_report_rapidocr,yehuda.pdf,2,,,3,0.996173,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:164,550,388,28,מזכרת בתיה,10,final_report_rapidocr,rehovot.pdf,2,,,3,0.997188,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:165,540,372,28,מזכרת בתיה,20,final_report_rapidocr,rehovot.pdf,2,,,3,0.999017,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:166,494,330,28,מזכרת בתיה,30,final_report_rapidocr,rehovot.pdf,2,,,3,0.998262,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:167,761,565,28,מזכרת בתיה,40,final_report_rapidocr,rehovot.pdf,2,,,3,0.998378,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:168,612,366,28,מזכרת בתיה,50,final_report_rapidocr,rehovot.pdf,2,,,3,0.997243,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:169,565,410,28,מזכרת בתיה,60,final_report_rapidocr,rehovot.pdf,2,,,3,0.99949,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:170,742,522,28,מזכרת בתיה,70,final_report_rapidocr,rehovot.pdf,2,,,3,0.996338,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:171,424,309,28,מזכרת בתיה,80,final_report_rapidocr,rehovot.pdf,2,,,3,0.995229,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:172,599,445,28,מזכרת בתיה,90,final_report_rapidocr,rehovot.pdf,2,,,3,0.999487,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:173,416,215,28,מזכרת בתיה,100,final_report_rapidocr,rehovot.pdf,2,,,3,0.997764,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:174,384,255,29,יסוד המעלה,10,final_report_rapidocr,tzfat.pdf,2,,,3,0.998342,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:175,541,391,29,יסוד המעלה,20,final_report_rapidocr,tzfat.pdf,2,,,3,0.993897,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:176,414,196,31,אופקים,10,final_report_rapidocr,beersheva.pdf,2,,,3,0.998262,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:177,561,277,31,אופקים,20,final_report_rapidocr,beersheva.pdf,2,,,3,0.995018,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:178,553,301,31,אופקים,30,final_report_rapidocr,beersheva.pdf,2,,,3,0.997816,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:179,512,296,31,אופקים,40,final_report_rapidocr,beersheva.pdf,2,,,3,0.997911,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:180,460,220,31,אופקים,50,final_report_rapidocr,beersheva.pdf,2,,,3,0.999036,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:181,613,324,31,אופקים,60,final_report_rapidocr,beersheva.pdf,2,,,3,0.996575,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:182,619,340,31,אופקים,70,final_report_rapidocr,beersheva.pdf,2,,,3,0.998497,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:183,719,412,31,אופקים,80,final_report_rapidocr,beersheva.pdf,2,,,3,0.99897,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:184,621,348,31,אופקים,90,final_report_rapidocr,beersheva.pdf,2,,,3,0.992152,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:185,689,493,31,אופקים,100,final_report_rapidocr,beersheva.pdf,2,,,3,0.994716,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:186,710,550,31,אופקים,110,final_report_rapidocr,beersheva.pdf,2,,,3,0.998502,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:187,475,374,31,אופקים,120,final_report_rapidocr,beersheva.pdf,2,,,3,0.997824,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:188,814,474,31,אופקים,130,final_report_rapidocr,beersheva.pdf,2,,,3,0.998801,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:189,749,539,31,אופקים,140,final_report_rapidocr,beersheva.pdf,2,,,3,0.996986,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:190,598,389,31,אופקים,150,final_report_rapidocr,beersheva.pdf,2,,,3,0.995453,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:191,796,395,31,אופקים,160,final_report_rapidocr,beersheva.pdf,2,,,3,0.997324,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:192,838,420,31,אופקים,170,final_report_rapidocr,beersheva.pdf,2,,,3,0.998627,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:193,572,296,31,אופקים,180,final_report_rapidocr,beersheva.pdf,2,,,3,0.999707,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:194,691,371,31,אופקים,190,final_report_rapidocr,beersheva.pdf,2,,,3,0.998268,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:195,740,384,31,אופקים,200,final_report_rapidocr,beersheva.pdf,2,,,3,0.993032,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:196,675,304,31,אופקים,210,final_report_rapidocr,beersheva.pdf,2,,,3,0.999887,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:197,861,487,31,אופקים,220,final_report_rapidocr,beersheva.pdf,2,,,3,0.995119,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:198,627,295,31,אופקים,230,final_report_rapidocr,beersheva.pdf,2,,,3,0.996098,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:199,701,335,31,אופקים,250,final_report_rapidocr,beersheva.pdf,2,,,3,0.995484,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:200,371,187,31,אופקים,260,final_report_rapidocr,beersheva.pdf,2,,,3,0.997267,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:201,658,514,31,אופקים,280,final_report_rapidocr,beersheva.pdf,2,,,3,0.991983,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:202,380,258,32,עוצם,10,final_report_rapidocr,ashkelon.pdf,2,,,3,0.997872,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:203,286,198,33,בת שלמה,10,final_report_rapidocr,hadera.pdf,2,,,3,0.999636,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:204,367,217,35,גדות,10,final_report_rapidocr,tzfat.pdf,2,,,3,0.999629,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:205,308,185,36,שדה דוד,10,final_report_rapidocr,ashkelon.pdf,2,,,3,0.996983,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:206,264,178,37,איתן,10,final_report_rapidocr,ashkelon.pdf,2,,,3,0.999285,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:207,208,143,39,גפן,10,final_report_rapidocr,yehuda.pdf,2,,,3,0.997648,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:208,548,390,41,אליכין,10,final_report_rapidocr,hasharonnetanya.pdf,2,,,3,0.996943,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:209,711,487,41,אליכין,20,final_report_rapidocr,hasharonnetanya.pdf,2,,,3,0.99678,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:210,631,422,41,אליכין,30,final_report_rapidocr,hasharonnetanya.pdf,2,,,3,0.995659,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:211,579,322,43,מטולה,10,final_report_rapidocr,tzfat.pdf,2,,,3,0.996929,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:212,583,379,43,מטולה,20,final_report_rapidocr,tzfat.pdf,2,,,3,0.999,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:213,269,171,44,זוהר,10,final_report_rapidocr,ashkelon.pdf,3,,,3,0.997536,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:214,608,421,46,יבנאל,10,final_report_rapidocr,kineret.pdf,2,,,3,0.995429,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:215,609,392,46,יבנאל,20,final_report_rapidocr,kineret.pdf,2,,,3,0.984669,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:216,640,449,46,יבנאל,30,final_report_rapidocr,kineret.pdf,2,,,3,0.997222,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:217,631,431,47,כפר תבור,10,final_report_rapidocr,kineret.pdf,2,,,3,0.997195,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:218,621,446,47,כפר תבור,20,final_report_rapidocr,kineret.pdf,2,,,3,0.996541,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:219,620,424,47,כפר תבור,30,final_report_rapidocr,kineret.pdf,2,,,3,0.997428,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:220,463,276,48,מנחמיה,10,final_report_rapidocr,kineret.pdf,2,,,3,0.998119,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:221,460,281,48,מנחמיה,20,final_report_rapidocr,kineret.pdf,2,,,3,0.976232,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:222,367,232,49,אילניה,10,final_report_rapidocr,kineret.pdf,2,,,3,0.999528,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:223,227,149,52,לוזית,10,final_report_rapidocr,yehuda.pdf,2,,,3,0.998903,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:224,655,392,53,עתלית,10,final_report_rapidocr,hadera.pdf,2,,,3,0.994687,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:225,544,284,53,עתלית,20,final_report_rapidocr,hadera.pdf,2,,,3,0.998026,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:226,766,470,53,עתלית,30,final_report_rapidocr,hadera.pdf,2,,,3,0.996298,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:227,774,517,53,עתלית,40,final_report_rapidocr,hadera.pdf,2,,,3,0.997645,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:228,708,410,53,עתלית,50,final_report_rapidocr,hadera.pdf,2,,,3,0.999355,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:229,312,178,55,נוגה,10,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998318,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:230,593,392,57,כנרת (קבוצה),10,final_report_rapidocr,kineret.pdf,2,,,3,0.999134,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:231,121,77,58,מצפה,10,final_report_rapidocr,kineret.pdf,2,,,3,0.995314,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:232,144,116,59,נחושה,10,final_report_rapidocr,yehuda.pdf,2,,,3,0.996263,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:233,512,333,62,דגניה א',10,final_report_rapidocr,kineret.pdf,2,,,3,0.999033,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:234,368,263,63,כנרת (מושבה),10,final_report_rapidocr,kineret.pdf,2,,,3,0.998115,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:235,639,429,64,"יד רמב""ם",10,final_report_rapidocr,ramla.pdf,2,,,3,0.979419,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:236,485,278,65,מגדל,10,final_report_rapidocr,kineret.pdf,3,,,3,0.998355,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:237,482,303,65,מגדל,20,final_report_rapidocr,kineret.pdf,3,,,3,0.998617,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:238,486,331,66,מרחביה (קיבוץ),10,final_report_rapidocr,yizrael.pdf,2,,,3,0.989125,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:239,372,254,67,אור הנר,10,final_report_rapidocr,ashkelon.pdf,3,,,3,0.997088,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:240,331,237,69,ניר עוז,10,final_report_rapidocr,beersheva.pdf,2,,,3,0.997201,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:241,582,279,70,אשדוד,10,final_report_rapidocr,ashkelon.pdf,3,,,3,0.999547,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:242,643,311,70,אשדוד,20,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998007,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:243,676,328,70,אשדוד,30,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998757,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:244,479,230,70,אשדוד,40,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998789,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:245,595,314,70,אשדוד,50,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998739,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:246,602,375,70,אשדוד,60,planned_list_national_reconciled_fallback,ashkelon.pdf,,2,93,,,No unique final-report line was recoverable; planned-list value retained under locality and exact national reconciliation.
K17:247,579,280,70,אשדוד,70,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998251,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:248,398,147,70,אשדוד,80,final_report_rapidocr,ashkelon.pdf,3,,,3,0.996858,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:249,764,343,70,אשדוד,90,final_report_rapidocr,ashkelon.pdf,3,,,3,0.997498,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:250,575,260,70,אשדוד,100,final_report_rapidocr,ashkelon.pdf,3,,,3,0.999003,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:251,632,317,70,אשדוד,110,final_report_rapidocr,ashkelon.pdf,3,,,3,0.997994,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:252,667,221,70,אשדוד,120,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998469,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:253,716,314,70,אשדוד,130,final_report_rapidocr,ashkelon.pdf,3,,,3,0.994066,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:254,744,326,70,אשדוד,140,final_report_rapidocr,ashkelon.pdf,3,,,3,0.994572,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:255,719,371,70,אשדוד,150,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998289,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:256,581,254,70,אשדוד,160,final_report_rapidocr,ashkelon.pdf,3,,,3,0.999518,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:257,603,300,70,אשדוד,170,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998588,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:258,553,320,70,אשדוד,180,final_report_rapidocr,ashkelon.pdf,3,,,3,0.999655,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:259,641,290,70,אשדוד,190,final_report_rapidocr,ashkelon.pdf,3,,,3,0.996721,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:260,624,318,70,אשדוד,200,final_report_rapidocr,ashkelon.pdf,3,,,3,0.99774,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:261,510,271,70,אשדוד,210,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998707,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:262,814,349,70,אשדוד,220,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998014,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:263,636,280,70,אשדוד,230,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998741,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:264,577,252,70,אשדוד,240,final_report_rapidocr,ashkelon.pdf,3,,,3,0.999709,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:265,621,288,70,אשדוד,250,final_report_rapidocr,ashkelon.pdf,3,,,3,0.997942,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:266,779,386,70,אשדוד,260,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998455,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:267,599,356,70,אשדוד,270,final_report_rapidocr,ashkelon.pdf,3,,,3,0.999269,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:268,506,206,70,אשדוד,280,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998753,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:269,736,337,70,אשדוד,290,final_report_rapidocr,ashkelon.pdf,3,,,3,0.996979,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:270,699,610,70,אשדוד,300,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998227,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:271,505,285,70,אשדוד,310,final_report_rapidocr,ashkelon.pdf,3,,,3,0.99923,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:272,484,446,70,אשדוד,320,final_report_rapidocr,ashkelon.pdf,3,,,2,0.999005,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:273,713,332,70,אשדוד,330,final_report_rapidocr,ashkelon.pdf,3,,,3,0.998546,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:274,654,323,70,אשדוד,340,final_report_rapidocr,ashkelon.pdf,4,,,3,0.99879,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:275,522,276,70,אשדוד,350,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999766,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:276,589,295,70,אשדוד,360,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999504,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:277,485,249,70,אשדוד,370,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999297,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:278,689,275,70,אשדוד,380,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999179,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:279,516,272,70,אשדוד,390,final_report_rapidocr,ashkelon.pdf,4,,,3,0.997755,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:280,504,224,70,אשדוד,400,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999311,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:281,557,291,70,אשדוד,410,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999621,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:282,505,219,70,אשדוד,420,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999758,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:283,532,245,70,אשדוד,430,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999389,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:284,608,541,70,אשדוד,440,final_report_rapidocr,ashkelon.pdf,4,,,3,0.997818,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:285,653,344,70,אשדוד,450,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999911,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:286,676,313,70,אשדוד,460,final_report_rapidocr,ashkelon.pdf,4,,,3,0.998915,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:287,693,331,70,אשדוד,470,final_report_rapidocr,ashkelon.pdf,4,,,3,0.997849,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:288,620,276,70,אשדוד,480,final_report_rapidocr,ashkelon.pdf,4,,,3,0.998901,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:289,750,368,70,אשדוד,490,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999001,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:290,558,276,70,אשדוד,500,final_report_rapidocr,ashkelon.pdf,4,,,3,0.998925,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:291,815,422,70,אשדוד,510,final_report_rapidocr,ashkelon.pdf,4,,,3,0.997595,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:292,593,271,70,אשדוד,520,final_report_rapidocr,ashkelon.pdf,4,,,3,0.9994,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:293,680,439,70,אשדוד,530,final_report_rapidocr,ashkelon.pdf,4,,,3,0.996526,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:294,625,311,70,אשדוד,540,final_report_rapidocr,ashkelon.pdf,4,,,3,0.996265,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:295,571,335,70,אשדוד,550,final_report_rapidocr,ashkelon.pdf,4,,,3,0.993398,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:296,694,396,70,אשדוד,560,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999193,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:297,668,355,70,אשדוד,570,final_report_rapidocr,ashkelon.pdf,4,,,2,0.996905,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:298,649,393,70,אשדוד,580,final_report_rapidocr,ashkelon.pdf,4,,,3,0.997645,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:299,747,438,70,אשדוד,590,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999306,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:300,658,449,70,אשדוד,600,final_report_rapidocr,ashkelon.pdf,4,,,3,0.959521,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:301,671,312,70,אשדוד,610,final_report_rapidocr,ashkelon.pdf,4,,,3,0.991797,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:302,721,537,70,אשדוד,620,final_report_rapidocr,ashkelon.pdf,4,,,3,0.996972,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:303,554,322,70,אשדוד,630,final_report_rapidocr,ashkelon.pdf,4,,,3,0.997588,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:304,445,256,70,אשדוד,640,final_report_rapidocr,ashkelon.pdf,4,,,3,0.998644,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:305,493,278,70,אשדוד,650,final_report_rapidocr,ashkelon.pdf,4,,,3,0.998953,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:306,588,343,70,אשדוד,660,final_report_rapidocr,ashkelon.pdf,4,,,3,0.99894,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:307,674,334,70,אשדוד,670,final_report_rapidocr,ashkelon.pdf,4,,,3,0.992688,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:308,622,355,70,אשדוד,680,final_report_rapidocr,ashkelon.pdf,4,,,3,0.999408,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:309,643,357,70,אשדוד,690,final_report_rapidocr,ashkelon.pdf,4,,,3,0.998489,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:310,433,215,70,אשדוד,700,final_report_rapidocr,ashkelon.pdf,4,,,3,0.998336,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:311,476,236,70,אשדוד,710,final_report_rapidocr,ashkelon.pdf,4,,,3,0.996431,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:312,528,262,70,אשדוד,720,final_report_rapidocr,ashkelon.pdf,4,,,3,0.996728,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:313,401,183,70,אשדוד,730,final_report_rapidocr,ashkelon.pdf,4,,,3,0.997866,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:314,588,262,70,אשדוד,740,final_report_rapidocr,ashkelon.pdf,4,,,3,0.99922,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
K17:315,657,286,70,אשדוד,750,final_report_rapidocr,ashkelon.pdf,4,,,3,0.998474,Three numeric image variants; final-report image is authoritative over its faulty embedded OCR layer.
