election,locality_code,kalpi,pdf_page,corrected_address,corrected_place,review_status,review_note
K18,7700,37,66,"ז'בוטינסקי,3",,corrected,"User-confirmed K18 address review #61; OCR address was 'זיבוטינ0קי,3'"
K18,7700,43,66,"קרן היסוד,3",,corrected,"User-confirmed K18 address review #7; OCR address was 'הי0וד,3'"
K18,1139,55,79,"מבצע אסף,3",,corrected,"User-confirmed K18 address review #16; OCR address was 'מבצע א0ף,3'"
K18,1139,59,79,"מבצע אסף,3",,corrected,"User-confirmed K18 address review #16; OCR address was 'מבצע א0ף,3'"
K18,9100,39,82,"איריס,44",,corrected,"User-confirmed K18 address review #74; OCR address was 'אירי0,44'"
K18,9100,40,82,"איריס,44",,corrected,"User-confirmed K18 address review #74; OCR address was 'אירי0,44'"
K18,7600,14,85,"יהודה הלוי,18",,corrected,"User-confirmed K18 address review #60; OCR address was 'יהודה הלו1,81'"
K18,7600,18,85,"יהודה הלוי,18",,corrected,"User-confirmed K18 address review #60; OCR address was 'יהודה הלו1,81'"
K18,7600,32,86,"יהושפט,30",,corrected,"User-confirmed K18 address review #5; OCR address was 'יהושפכ1,03'"
K18,7600,40,86,"יהושפט,30",,corrected,"User-confirmed K18 address review #6; OCR address was 'יהושפנ1,03'"
K18,516,4,89,מג'ד אל-כרום,"בי""ס ממלכתי א )אלסלאם(",corrected,"User-confirmed K18 address review #76; OCR address was 'Ym אל-כרום'; user also corrected place from 'בי""0 ממלכתי א )אלסלאם('"
K18,516,11,89,מג'ד אל-כרום,,corrected,User-confirmed K18 address review #77; OCR address was '-fm אל-כרום'
K18,8800,23,91,שפרעם,"בי""ס ממלכתי ג' - אלפואר",corrected,"User-confirmed K18 address review #82; OCR address was 'r'; user also corrected place from 'בי""ס ממלכתי אלפואר'"
K18,2500,23,106,"נתיב הארזים,12",,corrected,"User-confirmed K18 address review #18; OCR address was '^תיבהארזים,21'"
K18,2500,32,106,יעל,"בי""ס ישורון",corrected,"User-confirmed K18 address review #78; OCR address was '■על'; user also corrected place from 'בי""0 ישורון'"
K18,8200,16,113,"יוספטל,25",,corrected,"User-confirmed K18 address review #8; OCR address was 'יוספנ1ל,52'"
K18,8200,55,114,"דקר,4",,corrected,"User-confirmed K18 address review #64; OCR address was '|דקר,4'"
K18,6500,42,121,"לבזובסקי,6",,corrected,"User-confirmed K18 address review #45; OCR address was 'ל0וב0קי,6'"
K18,6500,50,121,אחד העם,,corrected,User-confirmed K18 address review #79; OCR address was '| אחד העם'
K18,6500,56,121,"סמילנסקי,17",,corrected,"User-confirmed K18 address review #43; OCR address was '0מילנ0קי,71'"
K18,6500,74,122,"יגאל,39",,corrected,"User-confirmed K18 address review #46; OCR address was '■גאל,93'"
K18,6500,85,122,"באר אורה,1",,corrected,"User-confirmed K18 address review #44; OCR address was '|__ באר אורה, 1'"
K18,6500,98,122,"לבזובסקי,6",,corrected,"User-confirmed K18 address review #45; OCR address was 'ל0וב0קי,6'"
K18,6500,99,122,"לבזובסקי,6",,corrected,"User-confirmed K18 address review #45; OCR address was 'ל0וב0קי,6'"
K18,182,3,129,"המיסדים,47",,corrected,"User-confirmed K18 address review #17; OCR address was 'המי0דים,47'"
K18,182,6,129,"המיסדים,47",,corrected,"User-confirmed K18 address review #17; OCR address was 'המי0דים,47'"
K18,7400,3,135,"יבנה,4",,corrected,"User-confirmed K18 address review #59; OCR address was '■בנה,4'"
K18,7400,9,135,"גליקסון,26",,corrected,"User-confirmed K18 address review #53; OCR address was 'גליק0ון,62'"
K18,7400,14,136,"מוריה,5",,corrected,"User-confirmed K18 address review #56; OCR address was '_ן מוריה,5'"
K18,7400,24,136,"יל""ג,9",,corrected,"User-confirmed K18 address review #81; OCR address was '■ל""ג'"
K18,7400,28,136,"יל""ג,9",,corrected,"User-confirmed K18 address review #81; OCR address was '■ל""ג'"
K18,7400,46,136,"יהודה הלוי,35",,corrected,"User-confirmed K18 address review #55; OCR address was 'יהודה הלו1,53'"
K18,7400,48,137,"טשרניחובסקי,12",,corrected,"User-confirmed K18 address review #58; OCR address was 'נ1שרניחובסקי,21'"
K18,7400,49,137,"טשרניחובסקי,12",,corrected,"User-confirmed K18 address review #4; OCR address was 'טשרניחוב0קי,21'"
K18,7400,57,137,"יהודה הלוי,35",,corrected,"User-confirmed K18 address review #55; OCR address was 'יהודה הלו1,53'"
K18,7400,116,138,"יהודה הלוי,35",,corrected,"User-confirmed K18 address review #55; OCR address was 'יהודה הלו1,53'"
K18,7400,119,138,"יהודה הלוי,35",,corrected,"User-confirmed K18 address review #55; OCR address was 'יהודה הלו1,53'"
K18,7400,152,139,"ויסלברגר,2",,corrected,"User-confirmed K18 address review #54; OCR address was 'וי0ל0-גר,2'"
K18,7400,154,139,"יהודה הלוי,35",,corrected,"User-confirmed K18 address review #55; OCR address was 'יהודה הלו1,53'"
K18,7400,177,140,"מקדונלד,13",,corrected,"User-confirmed K18 address review #57; OCR address was 'מקד1נלד,31'"
K18,9400,3,152,"סנש,12",,corrected,"User-confirmed K18 address review #75; OCR address was '0נש,21'"
K18,7900,36,160,"הרב אונטרמן,14",,corrected,"User-confirmed K18 address review #62; OCR address was '| הרבאונטרמן,41'"
K18,7900,208,164,"דוד טבצ'ניק,3",,corrected,"User-confirmed K18 address review #63; OCR address was 'טבציניק ד1ד,3'"
K18,8700,19,169,"אליעזר יפה,14",,corrected,"User-confirmed K18 address review #70; OCR address was '.פה אליעזר,41'"
K18,8700,82,170,"אוסטרובסקי,26",,corrected,"User-confirmed K18 address review #69; OCR address was 'אוסטרובסק1,62'"
K18,3797,12,177,"נתיבות המשפט,75",,corrected,"User-confirmed K18 address review #31; OCR address was 'נתיבות המשפ0,57'"
K18,8500,80,183,"הפועל,12",,corrected,"User-confirmed K18 address review #10; OCR address was 'הפ1על,21'"
K18,8300,123,195,"יהודה לייב,36",,corrected,"User-confirmed K18 address review #65; OCR address was 'יה1דה ל""ב,63'"
K18,8300,228,197,"יהודה לייב,36",,corrected,"User-confirmed K18 address review #66; OCR address was '■הודה ל""ב,63'"
K18,8300,241,198,"שז""ר זלמן,24",,corrected,"User-confirmed K18 address review #9; OCR address was 'שז""ר1למן,42'"
K18,8400,113,203,"יעקב,42",,corrected,"User-confirmed K18 address review #67; OCR address was '■עקב,24'"
K18,5000,45,206,"קהילת קייב,15",,corrected,"User-confirmed K18 address review #36; OCR address was 'קהילת קי1ב,51'"
K18,5000,78,207,"אנדרסן,22",,corrected,"User-confirmed K18 address review #32; OCR address was 'אנדר0ן,22'"
K18,5000,79,207,"אנדרסן,22",,corrected,"User-confirmed K18 address review #32; OCR address was 'אנדר0ן,22'"
K18,5000,82,207,"אנדרסן,22",,corrected,"User-confirmed K18 address review #32; OCR address was 'אנדר0ן,22'"
K18,5000,83,207,"אנדרסן,22",,corrected,"User-confirmed K18 address review #32; OCR address was 'אנדר0ן,22'"
K18,5000,90,207,"אנדרסן,22",,corrected,"User-confirmed K18 address review #32; OCR address was 'אנדר0ן,22'"
K18,5000,91,207,"אנדרסן,22",,corrected,"User-confirmed K18 address review #32; OCR address was 'אנדר0ן,22'"
K18,5000,92,207,"אנדרסן,22",,corrected,"User-confirmed K18 address review #32; OCR address was 'אנדר0ן,22'"
K18,5000,130,208,"מנדלשטם,12",,corrected,"User-confirmed K18 address review #35; OCR address was 'מנדלש0ם,21'"
K18,5000,452,214,"מנדלי מוכר ספרים,19",,corrected,"User-confirmed K18 address review #34; OCR address was 'מנדלי מוכר0פרים,91'"
K18,5000,476,214,"גאולה,30",,corrected,"User-confirmed K18 address review #33; OCR address was 'גא1לה,03'"
K18,5000,685,217,"יגור,2","בי""ס רוקח",corrected,"User-confirmed K18 address review #37; OCR address was '■גור,2'; user also corrected place from 'בי""0 רוקח'"
K18,6300,34,227,"ריינס,2",,corrected,"User-confirmed K18 address review #39; OCR address was 'ריינ0,2'"
K18,6300,39,228,"ריינס,2",,corrected,"User-confirmed K18 address review #40; OCR address was 'ר""נ0,2'"
K18,6400,37,230,"דוד אלרואי,1",,corrected,"User-confirmed K18 address review #41; OCR address was 'אלרוא1 דוד, 1'"
K18,6400,40,230,"דוד אלרואי,1",,corrected,"User-confirmed K18 address review #41; OCR address was 'אלרוא1 דוד, 1'"
K18,6400,42,230,"דוד אלרואי,1",,corrected,"User-confirmed K18 address review #41; OCR address was 'אלרוא1 דוד, 1'"
K18,6400,131,232,"יהודה הנשיא,90",,corrected,"User-confirmed K18 address review #42; OCR address was '■הודה הנשיא,09'"
K18,8600,6,232,"מוזס נח,10",,corrected,"User-confirmed K18 address review #11; OCR address was 'מח0נו!,01'"
K18,8600,99,234,"קריניצי,64",,corrected,"User-confirmed K18 address review #68; OCR address was 'קריניצ1,46'"
K18,8600,118,235,"קריניצי,64",,corrected,"User-confirmed K18 address review #68; OCR address was 'קריניצ1,46'"
K18,2650,42,239,"אוסישקין,63",,corrected,"User-confirmed K18 address review #23; OCR address was 'או0ישקץ,36'"
K18,6200,131,245,"גבעתי,22",,corrected,"User-confirmed K18 address review #38; OCR address was 'י, 22'"
K18,6600,134,250,"יטבתה,5",,corrected,"User-confirmed K18 address review #3; OCR address was '.סבתה,5'"
K18,6600,232,253,"קרסל גצל,2",,corrected,"User-confirmed K18 address review #48; OCR address was 'קר0ל גצל,2'"
K18,6600,957,253,"מוטה גור,6",,corrected,"User-confirmed K18 address review #47; OCR address was 'f מוטה גור,6'"
K18,70,1,256,יאיר,,corrected,User-confirmed K18 address review #80; OCR address was '■איר'
K18,70,40,257,"סיני,25",,corrected,"User-confirmed K18 address review #49; OCR address was '0יני,52'"
K18,70,53,258,"טשרניחובסקי,1",,corrected,"User-confirmed K18 address review #52; OCR address was 'כ1שרנירו1ב0קי,1'"
K18,70,65,258,"טשרניחובסקי,1",,corrected,"User-confirmed K18 address review #51; OCR address was 'טשרנירוובסק1,1'"
K18,70,99,259,"הסייפן,5",,corrected,"User-confirmed K18 address review #50; OCR address was 'ה0ייפן,5'"
K18,7100,41,264,הצפצפה,,corrected,User-confirmed K18 address review #14; OCR address was 'n'
K18,2600,7,279,"המלחה,1",,corrected,"User-confirmed K18 address review #12; OCR address was '1 המלחה,'"
K18,2600,46,280,"יהל,15",,corrected,"User-confirmed K18 address review #20; OCR address was '■הל,51'"
K18,2600,47,280,"יהל,15",,corrected,"User-confirmed K18 address review #20; OCR address was '■הל,51'"
K18,9000,18,282,"רבי טרפון,5",,corrected,"User-confirmed K18 address review #73; OCR address was 'רבי נ1רפון,5'"
K18,9000,190,286,"יהושע ייבין,7",,corrected,"User-confirmed K18 address review #72; OCR address was '""בין יהושע,7'"
K18,9000,232,287,"יהושע ייבין,7",,corrected,"User-confirmed K18 address review #72; OCR address was '""בין יהושע,7'"
K18,9000,242,287,"יהושע ייבין,7",,corrected,"User-confirmed K18 address review #72; OCR address was '""בין יהושע,7'"
K18,9000,251,288,"אליהו מויאל,2",,corrected,"User-confirmed K18 address review #71; OCR address was 'מויאל אליה1,2'"
K18,9000,270,288,"יהושע ייבין,7",,corrected,"User-confirmed K18 address review #72; OCR address was '""בין יהושע,7'"
K18,9000,272,288,"יהושע ייבין,7",,corrected,"User-confirmed K18 address review #72; OCR address was '""בין יהושע,7'"
K18,9000,273,288,"יהושע ייבין,7",,corrected,"User-confirmed K18 address review #72; OCR address was '""בין יהושע,7'"
K18,2560,31,299,"יהודה,20",,corrected,"User-confirmed K18 address review #19; OCR address was '■הודה,02'"
