election,election_number,source_column,ballot_letter,total_votes,list_name_he,name_source,display_name_he,display_name_en,wikipedia_he_url,wikipedia_en_url,wikipedia_match_status,official_source_url,wikipedia_source_url,notes
K25,25,מרצ,מרצ,150793,מרצ השמאל של ישראל בראשות זהבה גלאון,official_results,מרצ,Meretz,https://he.wikipedia.org/wiki/%D7%9E%D7%A8%D7%A6,https://en.wikipedia.org/wiki/Meretz,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,נז,נז,350,"כבוד האדם, בראשות עו""ד ארקדי פוגץ'",wikipedia_election_results,"כבוד האדם, בראשות עו""ד ארקדי פוגץ'",,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ני,ני,1354,נתיב - נחיה תמיד יחד בכבוד,official_results,נתיב - נחיה תמיד יחד בכבוד,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,נף,נף,255,מפלגת שמע בראשות נפתלי גולדמן,official_results,מפלגת שמע בראשות נפתלי גולדמן,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,נץ,נץ,1020,העצמאים החדשים בראשות יורם מועלמי,official_results,העצמאים החדשים בראשות יורם מועלמי,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,נק,נק,1215,יש כיוון בראשות עמוס דב סילבר,official_results,יש כיוון בראשות עמוס דב סילבר,,,,linked_name_resolves_to_person,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,נר,נר,334,"""אנחנו"" - בראשות עו""ד מוש חוג`ה",official_results,"""אנחנו"" - בראשות עו""ד מוש חוג`ה",,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,עם,עם,194047,הרשימה הערבית המאוחדת,official_results,הרשימה הערבית המאוחדת,United Arab List,https://he.wikipedia.org/wiki/%D7%94%D7%A8%D7%A9%D7%99%D7%9E%D7%94_%D7%94%D7%A2%D7%A8%D7%91%D7%99%D7%AA_%D7%94%D7%9E%D7%90%D7%95%D7%97%D7%93%D7%AA,https://en.wikipedia.org/wiki/United_Arab_List,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,פה,פה,847435,יש עתיד בראשות יאיר לפיד לראשות הממשלה,official_results,יש עתיד,Yesh Atid,https://he.wikipedia.org/wiki/%D7%99%D7%A9_%D7%A2%D7%AA%D7%99%D7%93,https://en.wikipedia.org/wiki/Yesh_Atid,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ף,ף,1728,הפיראטים- הכי טוב לדעתי אני רוצה להיות שם,official_results,הפיראטים (מפלגה ישראלית),Pirate Party of Israel,https://he.wikipedia.org/wiki/%D7%94%D7%A4%D7%99%D7%A8%D7%90%D7%98%D7%99%D7%9D_(%D7%9E%D7%A4%D7%9C%D7%92%D7%94_%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%AA),https://en.wikipedia.org/wiki/Pirate_Party_of_Israel,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,צ,צ,8800,צעירים בוערים בהנהגת הדר מוכתר,official_results,צעירים בוערים בהנהגת הדר מוכתר,,,,linked_name_resolves_to_election,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ץ,ץ,988,מנהיגות חברתית,official_results,מנהיגות חברתית (מפלגה),,https://he.wikipedia.org/wiki/%D7%9E%D7%A0%D7%94%D7%99%D7%92%D7%95%D7%AA_%D7%97%D7%91%D7%A8%D7%AA%D7%99%D7%AA_(%D7%9E%D7%A4%D7%9C%D7%92%D7%94),,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ק,ק,1618,קול הסביבה והחי,official_results,קול הסביבה והחי,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,קי,קי,415,הלב היהודי בראשות אלי יוסף,official_results,הלב היהודי בראשות אלי יוסף,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,קך,קך,1078,סדר חדש - למען האזרחים הוותיקים בישראל,wikipedia_election_results,סדר חדש - למען האזרחים הוותיקים בישראל,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,קנ,קנ,1292,כל קול קובע נועם קולמן ולירון עופרי לראשות הממשלה,official_results,כל קול קובע נועם קולמן ולירון עופרי לראשות הממשלה,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,קץ,קץ,14694,באומץ בשבילך,official_results,באומץ בשבילך,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,רז,רז,939,רשימת שלושים\ארבעים בראשות סטלה ויינשטיין,official_results,רשימת שלושים\ארבעים בראשות סטלה ויינשטיין,,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,שס,שס,392964,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",wikipedia_election_results,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",,,,no_standalone_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K25,25,ת,ת,1524,דעת טוב ורע וברית שבט אברהם-עלה ירוק ואוסרת אל איסלמיה,official_results,מפלגת עלה ירוק,Ale Yarok,https://he.wikipedia.org/wiki/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA_%D7%A2%D7%9C%D7%94_%D7%99%D7%A8%D7%95%D7%A7,https://en.wikipedia.org/wiki/Ale_Yarok,list_article,https://votes25.bechirot.gov.il/nationalresults,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%97%D7%9E%D7%A9,
K24,24,אמת,אמת,268767,מפלגת העבודה בראשות מרב מיכאלי,official_results,מפלגת העבודה הישראלית,Israeli Labor Party,https://he.wikipedia.org/wiki/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA_%D7%94%D7%A2%D7%91%D7%95%D7%93%D7%94_%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%AA,https://en.wikipedia.org/wiki/Israeli_Labor_Party,list_article,https://votes24.bechirot.gov.il/,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%90%D7%A8%D7%91%D7%A2,
K24,24,ב,ב,273836,ימינה בראשות נפתלי בנט,official_results,ימינה,Yamina,https://he.wikipedia.org/wiki/%D7%99%D7%9E%D7%99%D7%A0%D7%94,https://en.wikipedia.org/wiki/Yamina,list_article,https://votes24.bechirot.gov.il/,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%90%D7%A8%D7%91%D7%A2,
K24,24,ג,ג,248391,יהדות התורה והשבת אגודת ישראל – דגל התורה,official_results,יהדות התורה והשבת אגודת ישראל – דגל התורה,,,,no_standalone_article,https://votes24.bechirot.gov.il/,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%90%D7%A8%D7%91%D7%A2,
K24,24,ודעם,ודעם,212583,"הרשימה המשותפת (חד""ש, תע""ל, בל""ד)",official_results,הרשימה המשותפת,Joint List,https://he.wikipedia.org/wiki/%D7%94%D7%A8%D7%A9%D7%99%D7%9E%D7%94_%D7%94%D7%9E%D7%A9%D7%95%D7%AA%D7%A4%D7%AA,https://en.wikipedia.org/wiki/Joint_List,list_article,https://votes24.bechirot.gov.il/,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%90%D7%A8%D7%91%D7%A2,
K24,24,ז,ז,395,הישראלים,official_results,הישראלים,,,,no_standalone_article,https://votes24.bechirot.gov.il/,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%90%D7%A8%D7%91%D7%A2,
K24,24,זץ,זץ,663,"צומת – עצמאים, חקלאים, כפרים",official_results,מפלגת צומת,Tzomet,https://he.wikipedia.org/wiki/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA_%D7%A6%D7%95%D7%9E%D7%AA,https://en.wikipedia.org/wiki/Tzomet,list_article,https://votes24.bechirot.gov.il/,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%90%D7%A8%D7%91%D7%A2,
K24,24,ט,ט,225641,הציונות הדתית בראשות בצלאל סמוטריץ',official_results,הציונות הדתית (סיעה),,https://he.wikipedia.org/wiki/%D7%94%D7%A6%D7%99%D7%95%D7%A0%D7%95%D7%AA_%D7%94%D7%93%D7%AA%D7%99%D7%AA_(%D7%A1%D7%99%D7%A2%D7%94),,list_article,https://votes24.bechirot.gov.il/,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%90%D7%A8%D7%91%D7%A2,
K24,24,י,י,811,המפץ החברתי - גימלאים,official_results,המפץ החברתי - גימלאים,,,,no_standalone_article,https://votes24.bechirot.gov.il/,https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA_%D7%9C%D7%9B%D7%A0%D7%A1%D7%AA_%D7%94%D7%A2%D7%A9%D7%A8%D7%99%D7%9D_%D7%95%D7%90%D7%A8%D7%91%D7%A2,
