election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
K17,loc:1034,locality,loc:1034,1034,קריית מלאכי,23,23,14293,7900,7715,185,שס,2192,1146,1046,0.284122,1146,194,0,4,1,5,450,175,8,842,3,280,1052,6,358,774,28,16,11,25,12,9,9,2,4,7,19,44,5,34,2192
K17,loc:104,locality,loc:104,104,מזרע,1,1,658,442,441,1,מרצ,163,154,9,0.369615,154,1,0,0,1,0,0,13,3,0,0,0,72,0,3,3,163,0,0,5,0,0,0,0,1,0,0,7,0,14,1
K17,loc:1043,locality,loc:1043,1043,גיזו,1,1,104,73,73,0,כן,20,18,2,0.273973,18,1,0,0,0,0,0,2,2,1,0,0,20,0,6,4,5,0,0,3,0,0,0,0,0,0,0,1,0,2,8
K17,loc:1045,locality,loc:1045,1045,שתולה,1,1,178,118,117,1,אמת,33,33,0,0.282051,33,1,0,0,1,0,0,2,0,11,0,2,33,0,4,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,17
K17,loc:1046,locality,loc:1046,1046,אוהד,1,1,210,140,140,0,אמת,40,29,11,0.285714,40,1,0,0,0,0,0,19,0,7,0,1,29,0,5,27,1,0,0,1,0,0,0,0,0,0,0,2,0,2,5
K17,loc:1047,locality,loc:1047,1047,חזון,1,1,292,177,176,1,טב,45,38,7,0.255682,10,34,0,0,0,0,0,4,0,45,0,0,13,0,2,27,0,0,0,2,0,0,0,0,0,0,0,1,0,0,38
K17,loc:1050,locality,loc:1050,1050,בית חשמונאי,1,1,609,405,404,1,כן,124,73,51,0.306931,73,1,0,0,0,0,0,27,3,28,0,2,124,0,32,60,7,1,0,7,0,0,0,0,0,2,0,1,0,13,23
K17,loc:1051,locality,loc:1051,1051,תלמי אליהו,1,1,208,117,116,1,כן,29,24,5,0.25,24,4,0,0,0,0,0,5,0,6,0,1,29,0,5,9,5,0,0,0,0,0,0,0,0,0,0,3,0,3,22
K17,loc:1052,locality,loc:1052,1052,קטורה,1,1,381,186,184,2,אמת,101,25,76,0.548913,101,0,1,0,1,0,2,3,3,5,0,0,25,0,5,1,22,0,0,2,0,0,0,0,0,0,0,11,0,2,0
K17,loc:1054,locality,loc:1054,1054,תל שבע,9,9,5032,2269,2188,81,עם,1285,284,1001,0.587294,284,1,155,3,28,2,0,5,2,2,1,0,232,1,14,12,44,7,1285,3,1,1,8,2,1,11,6,8,5,7,57
K17,loc:1057,locality,loc:1057,1057,נווה זוהר,1,1,83,45,45,0,כן,18,5,13,0.4,2,2,0,0,0,0,0,5,0,2,0,0,18,0,1,5,0,0,0,0,0,1,0,0,0,0,0,1,0,4,4
K17,loc:1058,locality,loc:1058,1058,שדה ניצן,1,1,292,159,159,0,אמת,82,30,52,0.515723,82,0,0,0,2,0,0,10,0,6,1,0,30,0,4,3,12,0,0,3,0,0,0,0,0,0,0,2,0,2,2
K17,loc:1059,locality,loc:1059,1059,כסיפה,8,8,4510,1976,1889,87,עם,649,471,178,0.343568,211,1,471,0,162,0,1,2,2,5,2,2,252,1,5,40,7,1,649,2,0,2,1,1,7,5,2,5,5,3,42
K17,loc:106,locality,loc:106,106,כפר גדעון,1,1,142,117,115,2,ג,36,29,7,0.313043,1,36,0,0,0,0,0,3,0,14,0,13,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29
K17,loc:1060,locality,loc:1060,1060,לקיה,5,5,3650,2402,2340,62,עם,1512,557,955,0.646154,33,0,557,0,122,1,1,2,0,2,0,2,66,2,1,3,4,1,1512,0,1,1,0,0,1,7,4,2,5,3,7
K17,loc:1061,locality,loc:1061,1061,נוף הגליל,64,64,39636,20718,20021,697,ל,6777,4372,2405,0.338495,2171,194,594,12,963,32,110,608,53,410,34,219,4372,12,6777,1983,198,10,78,68,24,16,16,20,14,63,59,199,15,128,569
K17,loc:1063,locality,loc:1063,1063,מעלות-תרשיחא,28,28,15908,9980,9635,345,ל,2098,2013,85,0.217748,1087,56,844,3,357,5,6,217,18,687,13,93,2013,5,2098,733,112,3,236,22,10,3,9,4,4,17,23,114,2,55,786
K17,loc:1064,locality,loc:1064,1064,אמירים,1,1,385,257,255,2,כן,70,66,4,0.27451,66,3,0,0,3,0,0,19,2,9,1,2,70,0,7,3,35,0,0,4,0,0,0,0,0,0,0,13,0,12,6
K17,loc:1065,locality,loc:1065,1065,זמרת,1,1,213,147,143,4,שס,78,32,46,0.545455,12,4,0,0,0,0,0,4,0,32,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,78
K17,loc:1066,locality,loc:1066,1066,"בני עי""ש",10,10,5415,3411,3335,76,ל,1243,581,662,0.372714,340,35,1,2,6,1,1,53,7,239,12,24,581,0,1243,328,22,2,2,3,8,0,3,2,4,7,12,26,0,16,355
K17,loc:1067,locality,loc:1067,1067,"דוב""ב",1,1,304,179,177,2,אמת,66,36,30,0.372881,66,3,0,0,0,0,0,0,0,9,0,2,24,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,1,35
K17,loc:1068,locality,loc:1068,1068,אדמית,1,1,201,76,76,0,מרצ,26,20,6,0.342105,20,0,2,0,0,0,0,4,0,0,0,0,16,0,5,0,26,0,1,0,0,0,0,0,0,1,0,0,0,1,0
K17,loc:1069,locality,loc:1069,1069,רם-און,1,1,433,350,350,0,כן,124,116,8,0.354286,116,1,0,0,0,0,0,29,2,7,1,1,124,0,7,9,20,0,0,12,0,0,0,0,0,0,0,5,0,15,1
K17,loc:107,locality,loc:107,107,כפר סילבר,1,1,91,52,51,1,אמת,18,11,7,0.352941,18,0,0,0,0,0,0,10,0,0,0,0,11,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
K17,loc:1070,locality,loc:1070,1070,אביעזר,1,1,325,215,211,4,כן,42,38,4,0.199052,38,0,0,1,0,0,1,11,0,28,0,0,42,0,20,21,8,0,0,0,0,0,0,0,0,0,0,6,0,6,29
K17,loc:1071,locality,loc:1071,1071,נווה מיכאל,1,1,259,163,161,2,שס,59,33,26,0.36646,18,2,0,0,0,0,0,6,0,11,0,4,13,0,11,33,2,0,0,0,0,0,0,0,0,0,0,2,0,0,59
K17,loc:1072,locality,loc:1072,1072,גן הדרום,1,1,284,207,205,2,כן,89,39,50,0.434146,28,0,0,0,0,0,0,11,1,2,0,0,89,0,5,39,6,0,0,1,0,0,0,0,0,0,0,4,0,7,12
K17,loc:1077,locality,loc:1077,1077,גבעת שפירא,1,1,134,106,106,0,כן,42,28,14,0.396226,28,0,0,0,0,0,0,8,1,3,0,0,42,0,2,0,12,0,0,1,0,0,0,0,0,0,0,0,0,9,0
K17,loc:1079,locality,loc:1079,1079,צפרירים,1,1,216,139,139,0,אמת,44,26,18,0.316547,44,2,0,0,0,0,0,12,0,5,0,7,26,0,9,6,8,0,0,2,0,0,0,0,0,0,0,0,0,6,12
K17,loc:1080,locality,loc:1080,1080,מבועים,1,1,554,369,369,0,אמת,122,101,21,0.330623,122,0,0,0,1,0,0,21,0,21,0,0,101,0,16,44,5,0,0,2,0,0,0,0,0,1,0,3,0,3,29
K17,loc:1081,locality,loc:1081,1081,אבן מנחם,1,1,225,192,190,2,אמת,143,16,127,0.752632,143,1,0,0,0,0,0,0,0,1,0,0,16,0,1,8,1,0,0,1,0,0,1,0,0,0,0,0,0,2,15
K17,loc:1082,locality,loc:1082,1082,מעגלים,1,1,621,444,443,1,שס,133,120,13,0.300226,49,5,0,0,0,0,0,3,0,120,0,8,33,0,21,69,1,0,0,0,0,0,0,0,0,0,0,1,0,0,133
K17,loc:1083,locality,loc:1083,1083,תושייה,1,1,140,123,122,1,טב,92,8,84,0.754098,3,0,0,0,0,0,0,0,0,92,0,8,0,0,2,7,0,1,0,1,0,0,0,0,0,0,0,1,0,0,7
K17,loc:1084,locality,loc:1084,1084,בן שמן (כפר נוער),1,1,240,154,154,0,אמת,53,39,14,0.344156,53,0,0,0,0,0,0,15,0,5,2,1,39,0,3,10,14,0,0,0,0,0,0,0,0,0,0,5,0,4,3
K17,loc:1085,locality,loc:1085,1085,כרם שלום,1,1,82,29,28,1,אמת,10,8,2,0.357143,10,0,0,0,1,0,0,1,0,1,0,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0
K17,loc:1094,locality,loc:1094,1094,כרם יבנה (ישיבה),1,1,183,164,164,0,טב,129,18,111,0.786585,0,13,0,0,0,0,0,1,0,129,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
K17,loc:1095,locality,loc:1095,1095,כפר מימון,1,1,327,278,275,3,טב,211,16,195,0.767273,8,4,0,0,0,0,0,4,0,211,0,8,5,0,9,16,1,1,0,3,0,0,0,0,0,0,0,0,0,0,5
K17,loc:1098,locality,loc:1098,1098,מרכז שפירא,2,2,1106,957,954,3,טב,643,131,512,0.674004,12,7,0,0,0,0,0,18,0,643,0,11,30,0,23,56,0,0,0,20,0,0,0,0,0,0,0,1,0,2,131
K17,loc:11,locality,loc:11,11,"ניר ח""ן",1,1,296,173,173,0,אמת,62,42,20,0.358382,62,1,0,0,0,0,0,14,1,6,0,0,42,0,7,25,7,0,0,0,0,0,0,0,0,0,0,3,0,3,2
K17,loc:1102,locality,loc:1102,1102,צוקי ים,1,1,143,100,100,0,אמת,26,26,0,0.26,26,0,0,0,0,0,0,11,0,5,0,0,26,0,1,3,18,0,0,1,0,0,0,0,0,0,0,1,0,6,2
K17,loc:1103,locality,loc:1103,1103,גני הדר,1,1,163,119,118,1,כן,61,23,38,0.516949,23,0,0,0,1,0,0,11,0,2,0,0,61,0,0,3,9,0,0,0,0,0,1,0,0,0,0,0,0,6,1
K17,loc:1104,locality,loc:1104,1104,פורייה - כפר עבודה,1,1,199,122,122,0,מחל,30,24,6,0.245902,20,0,0,0,0,0,0,6,0,4,0,0,24,0,10,30,1,0,0,2,0,0,0,0,0,0,0,3,0,1,21
K17,loc:1105,locality,loc:1105,1105,פורייה - נווה עובד,1,1,665,393,388,5,מחל,101,82,19,0.260309,55,2,0,0,0,0,1,19,0,50,1,3,82,1,20,101,2,0,1,0,0,0,0,0,0,0,0,9,0,3,38
K17,loc:1108,locality,loc:1108,1108,אומן,1,1,267,136,133,3,ל,39,28,11,0.293233,11,1,0,0,0,0,0,1,0,5,0,2,26,0,39,28,2,0,0,1,0,0,2,0,0,0,0,1,0,2,12
K17,loc:1110,locality,loc:1110,1110,חבר,1,1,180,94,93,1,כן,22,19,3,0.236559,16,2,0,0,0,0,0,4,1,1,0,0,22,0,19,16,1,0,0,1,0,0,0,0,1,0,0,1,0,0,8
K17,loc:1112,locality,loc:1112,1112,יודפת,1,1,298,206,206,0,אמת,80,44,36,0.38835,80,1,0,0,0,0,0,12,0,1,0,0,44,0,5,2,33,0,0,4,0,0,0,0,0,0,0,8,0,15,1
K17,loc:1113,locality,loc:1113,1113,צור הדסה,3,3,2213,1652,1640,12,כן,484,420,64,0.295122,420,4,0,1,9,0,3,96,7,52,0,3,484,0,114,174,135,1,0,15,0,0,1,0,0,1,0,19,0,61,40
K17,loc:1114,locality,loc:1114,1114,שריגים (לי-און),1,1,558,402,401,1,אמת,154,93,61,0.38404,154,2,0,0,6,0,0,23,4,5,0,3,93,0,5,19,59,0,0,2,0,0,0,0,0,0,0,2,0,12,12
K17,loc:1115,locality,loc:1115,1115,אביבים,1,1,305,181,165,16,שס,71,49,22,0.430303,49,2,0,0,0,0,0,1,0,9,2,2,9,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
K17,loc:112,locality,loc:112,112,כפר חסידים א',1,1,471,339,335,4,טב,95,74,21,0.283582,40,15,0,0,0,0,0,25,1,95,0,5,74,0,16,29,8,0,0,1,0,0,0,0,0,1,0,3,0,11,11
K17,loc:1123,locality,loc:1123,1123,אדרת,1,1,350,232,228,4,מחל,69,53,16,0.302632,20,0,0,0,0,0,0,3,0,40,0,1,8,0,18,69,3,2,0,6,0,0,0,0,0,0,0,2,0,3,53
K17,loc:1124,locality,loc:1124,1124,נאות הכיכר,1,1,296,188,187,1,כן,83,49,34,0.44385,49,0,0,0,0,0,0,13,3,3,0,0,83,0,3,10,8,0,0,3,0,0,0,0,0,0,0,5,0,7,0
K17,loc:1125,locality,loc:1125,1125,אלמגור,1,1,229,174,173,1,אמת,68,44,24,0.393064,68,0,0,0,0,0,0,7,0,2,0,0,44,0,5,5,20,1,0,2,0,0,0,0,0,0,0,9,0,10,0
K17,loc:1126,locality,loc:1126,1126,אילות,1,1,252,157,155,2,אמת,69,23,46,0.445161,69,0,0,1,1,0,0,11,2,1,0,0,23,0,2,8,20,0,0,2,0,0,0,0,0,0,0,11,0,1,3
K17,loc:1127,locality,loc:1127,1127,מעלה גלבוע,1,1,199,157,155,2,טב,61,26,35,0.393548,15,0,0,0,0,0,0,5,0,61,0,2,17,0,7,12,2,0,0,26,0,0,0,0,0,0,0,2,0,6,0
K17,loc:1128,locality,loc:1128,1128,מי עמי,1,1,161,114,113,1,אמת,34,27,7,0.300885,34,0,0,0,0,0,0,7,1,3,0,0,27,0,5,2,20,0,0,0,0,0,0,0,0,0,0,7,0,6,1
K17,loc:1129,locality,loc:1129,1129,גרופית,1,1,281,155,154,1,אמת,83,31,52,0.538961,83,1,0,0,0,0,2,12,0,0,1,0,31,0,1,0,13,0,0,1,0,0,0,0,0,0,0,1,0,5,3
K17,loc:113,locality,loc:113,113,אדירים,1,1,202,153,151,2,שס,67,57,10,0.443709,9,1,0,0,0,0,0,1,0,4,0,3,4,0,3,57,1,0,0,0,0,0,0,0,0,0,0,0,0,1,67
K17,loc:1130,locality,loc:1130,1130,כפר רוזנואלד (זרעית),1,1,191,110,110,0,אמת,46,22,24,0.418182,46,0,0,0,0,0,0,4,0,1,0,0,22,0,3,15,1,0,0,0,0,0,0,0,0,0,0,1,0,3,14
K17,loc:1132,locality,loc:1132,1132,שניר,1,1,316,218,217,1,אמת,101,41,60,0.465438,101,0,0,0,0,0,0,9,2,0,0,0,34,0,5,6,41,0,0,2,0,0,0,0,0,1,0,10,0,6,0
K17,loc:1133,locality,loc:1133,1133,ורדון,1,1,161,110,110,0,אמת,27,21,6,0.245455,27,0,0,0,1,0,0,3,0,11,0,1,21,0,12,7,7,0,0,1,0,0,0,0,0,0,0,0,0,1,18
K17,loc:1136,locality,loc:1136,1136,צוחר,1,1,301,166,165,1,אמת,49,39,10,0.29697,49,0,0,0,0,0,0,6,0,7,1,0,39,0,2,16,2,0,0,0,0,0,3,0,0,0,0,2,0,3,35
K17,loc:1137,locality,loc:1137,1137,קריית יערים,2,2,1514,1062,1061,1,ג,743,200,543,0.700283,3,743,0,0,0,0,4,2,0,42,0,31,6,0,6,13,3,1,0,3,0,0,0,0,0,0,1,2,0,1,200
K17,loc:1138,locality,loc:1138,1138,יעד,1,1,366,291,291,0,אמת,106,79,27,0.364261,106,1,0,0,5,0,0,13,3,3,1,0,79,0,4,5,51,0,0,5,0,0,0,0,0,0,0,3,0,12,0
K17,loc:1139,locality,loc:1139,1139,כרמיאל,62,62,37569,21694,21183,511,כן,6806,4836,1970,0.321295,2905,582,40,7,40,19,95,1147,58,559,34,62,6806,10,4836,1788,487,5,13,72,24,22,20,13,4,30,62,290,9,323,821
K17,loc:1140,locality,loc:1140,1140,מדרשת בן גוריון,1,1,546,395,394,1,אמת,165,89,76,0.418782,165,1,0,0,2,0,2,16,1,12,0,0,89,0,13,8,55,0,1,6,0,0,1,0,1,1,0,4,0,13,3
K17,loc:1141,locality,loc:1141,1141,מבוא מודיעים,1,1,161,101,100,1,טב,53,10,43,0.53,2,7,0,0,0,0,0,5,0,53,0,5,5,0,2,5,0,0,0,0,1,0,0,0,0,0,0,3,0,2,10
K17,loc:1145,locality,loc:1145,1145,אלומה,1,1,213,144,142,2,שס,112,24,88,0.788732,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,112
K17,loc:1146,locality,loc:1146,1146,עלומים,1,1,290,219,218,1,טב,129,20,109,0.591743,6,1,0,0,0,0,0,10,0,129,0,0,20,0,18,11,0,0,0,10,0,0,0,0,0,0,0,2,0,9,2
K17,loc:1147,locality,loc:1147,1147,נטועה,1,1,213,144,141,3,כן,35,34,1,0.248227,34,2,0,0,0,0,0,5,0,9,0,0,35,0,5,26,1,0,0,0,0,0,0,0,0,1,0,2,0,0,21
K17,loc:1148,locality,loc:1148,1148,צור נתן,1,1,199,127,126,1,כן,50,19,31,0.396825,8,0,0,0,0,0,0,19,0,2,0,4,50,0,13,15,3,0,0,2,0,0,1,0,0,0,0,4,0,5,0
K17,loc:1149,locality,loc:1149,1149,עזר,1,1,513,343,341,2,כן,126,97,29,0.369501,97,3,0,0,0,0,0,30,0,6,0,2,126,0,4,22,5,0,0,3,0,0,0,0,0,0,0,4,0,14,25
K17,loc:115,locality,loc:115,115,חופית,1,1,685,496,493,3,כן,178,153,25,0.361055,153,1,1,0,2,0,0,29,4,4,0,0,178,1,12,11,57,0,0,10,0,0,1,0,1,0,15,0,0,13,0
K17,loc:1150,locality,loc:1150,1150,צופר,1,1,242,181,180,1,כן,82,34,48,0.455556,34,1,0,0,0,0,0,14,0,0,0,0,82,0,5,1,16,0,0,2,0,0,0,0,0,0,0,13,0,12,0
K17,loc:1151,locality,loc:1151,1151,פארן,1,1,312,215,214,1,כן,86,50,36,0.401869,50,0,0,0,0,0,0,7,2,4,1,0,86,0,5,1,37,0,0,5,0,0,0,0,0,0,0,8,0,8,0
K17,loc:1152,locality,loc:1152,1152,אשלים,1,1,176,105,104,1,אמת,42,21,21,0.403846,42,0,0,0,0,0,0,7,0,6,0,0,21,0,3,7,8,0,0,0,0,0,1,0,0,0,0,0,0,4,5
K17,loc:1155,locality,loc:1155,1155,מגן שאול,1,1,246,139,136,3,כן,51,27,24,0.375,27,0,0,0,0,0,0,6,0,5,0,1,51,0,9,19,1,0,0,7,0,0,1,0,0,0,0,1,0,4,4
K17,loc:1156,locality,loc:1156,1156,סמר,1,1,226,126,126,0,אמת,47,43,4,0.373016,47,0,1,0,3,0,0,6,0,2,0,0,12,0,1,0,43,0,0,0,0,0,0,0,0,0,0,7,0,1,3
K17,loc:1157,locality,loc:1157,1157,אחווה,1,1,169,140,138,2,אמת,59,33,26,0.427536,59,0,0,0,0,0,0,15,2,6,0,0,33,0,4,7,8,0,0,0,0,0,0,0,0,0,0,1,0,2,1
K17,loc:1158,locality,loc:1158,1158,יהל,1,1,173,82,81,1,אמת,29,28,1,0.358025,29,0,0,0,0,0,1,4,0,1,1,0,28,0,1,1,5,0,0,1,0,0,0,0,0,2,0,1,0,6,0
K17,loc:1160,locality,loc:1160,1160,שכניה,1,1,350,260,259,1,אמת,92,62,30,0.355212,92,0,0,0,0,0,0,17,0,6,2,1,62,1,14,12,33,0,0,5,0,0,0,0,0,0,0,3,0,11,0
K17,loc:1161,locality,loc:1161,1161,רהט,27,27,16531,9865,9580,285,עם,5224,1205,4019,0.545303,1199,14,1205,3,308,4,3,18,15,17,5,10,1127,7,34,35,72,16,5224,2,8,9,16,3,22,14,14,27,15,11,123
K17,loc:1162,locality,loc:1162,1162,בית רימון,1,1,155,122,122,0,טב,68,12,56,0.557377,12,0,0,0,0,0,0,2,0,68,0,7,5,0,4,11,1,0,0,3,0,0,0,0,0,0,0,0,0,1,8
K17,loc:1163,locality,loc:1163,1163,מורן,1,1,118,82,82,0,אמת,28,17,11,0.341463,28,0,0,0,0,0,0,5,0,1,0,1,17,0,1,2,17,0,0,1,0,0,0,0,0,0,0,3,0,6,0
K17,loc:1165,locality,loc:1165,1165,שילת,1,1,261,203,203,0,אמת,58,57,1,0.285714,58,1,0,2,0,0,0,21,3,3,0,0,57,0,5,12,22,0,0,2,0,0,0,0,0,0,0,6,0,9,2
K17,loc:1166,locality,loc:1166,1166,כפר רות,1,1,180,131,130,1,כן,42,19,23,0.323077,19,1,0,0,1,0,0,13,0,13,0,1,42,0,6,9,6,0,0,1,0,0,0,0,0,0,1,8,0,6,3
K17,loc:1167,locality,loc:1167,1167,קיסריה,5,5,3022,1926,1914,12,כן,906,300,606,0.473354,300,2,0,0,1,1,3,125,14,60,0,3,906,1,55,153,145,1,0,30,0,0,2,0,0,1,0,31,0,59,21
K17,loc:1171,locality,loc:1171,1171,לוטם,1,1,226,166,165,1,אמת,61,27,34,0.369697,61,2,0,0,2,0,0,21,0,2,0,0,24,0,4,4,27,0,0,0,0,0,0,0,0,0,0,2,0,16,0
K17,loc:1172,locality,loc:1172,1172,תובל,1,1,277,182,179,3,אמת,69,39,30,0.385475,69,1,1,0,8,0,0,6,0,0,0,1,30,1,3,7,39,1,0,1,0,0,0,0,0,2,0,0,0,6,3
K17,loc:1173,locality,loc:1173,1173,לפידות,1,1,125,87,87,0,אמת,68,5,63,0.781609,68,0,0,0,0,0,0,1,0,0,0,0,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,2,5
K17,loc:1174,locality,loc:1174,1174,מנוף,1,1,383,274,269,5,אמת,97,82,15,0.360595,97,1,0,0,1,0,1,12,1,3,1,0,82,0,6,4,44,0,0,2,0,0,0,0,0,0,1,4,0,9,0
K17,loc:1175,locality,loc:1175,1175,עידן,1,1,205,104,104,0,כן,31,28,3,0.298077,28,0,1,0,0,0,0,2,0,4,0,0,31,0,8,1,21,0,0,5,0,0,0,0,0,0,0,1,0,2,0
K17,loc:1176,locality,loc:1176,1176,ספיר,1,1,252,141,140,1,אמת,34,28,6,0.242857,34,2,0,0,0,0,0,15,1,8,0,2,28,0,12,9,6,0,0,1,1,0,0,0,0,0,0,2,0,4,15
K17,loc:1177,locality,loc:1177,1177,טללים,1,1,103,66,65,1,כן,24,15,9,0.369231,15,0,0,0,0,0,3,4,0,0,1,0,24,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2
K17,loc:1178,locality,loc:1178,1178,מורשת,1,1,476,431,431,0,טב,318,57,261,0.737819,5,3,0,0,0,0,0,5,0,318,0,16,3,0,4,57,0,0,0,4,0,0,0,0,0,0,0,0,0,2,14
K17,loc:1179,locality,loc:1179,1179,קורנית,1,1,397,317,317,0,כן,99,98,1,0.312303,98,0,0,0,0,0,0,16,1,4,0,0,99,0,10,6,54,0,0,10,0,0,0,1,0,0,0,2,0,16,0
K17,loc:1180,locality,loc:1180,1180,צביה,1,1,186,152,150,2,כן,64,33,31,0.426667,33,0,0,0,1,0,0,6,1,0,0,0,64,0,0,2,26,0,0,1,0,0,0,0,0,0,0,1,0,15,0
K17,loc:1181,locality,loc:1181,1181,טל-אל,1,1,562,442,440,2,כן,136,100,36,0.309091,100,1,0,0,1,0,0,30,1,18,0,3,136,0,60,48,21,0,0,2,0,0,1,0,0,0,0,6,0,8,4
K17,loc:1182,locality,loc:1182,1182,אלון הגליל,1,1,493,390,389,1,אמת,158,121,37,0.40617,158,0,0,0,0,0,0,7,1,3,0,0,121,1,11,7,49,0,0,10,0,0,0,0,0,0,0,9,0,12,0
K17,loc:1183,locality,loc:1183,1183,כליל,1,1,193,132,129,3,אמת,63,17,46,0.488372,63,0,0,0,10,0,0,4,1,1,0,3,4,0,0,1,17,0,0,0,0,0,0,0,0,0,0,14,0,9,2
K17,loc:1184,locality,loc:1184,1184,מתת,1,1,110,77,76,1,אמת,28,10,18,0.368421,28,2,0,0,0,0,0,3,0,4,0,3,7,0,7,2,10,0,0,0,0,0,0,0,0,0,0,5,0,5,0
K17,loc:1186,locality,loc:1186,1186,הושעיה,1,1,742,599,597,2,טב,294,68,226,0.492462,34,1,0,0,0,0,0,8,0,294,0,10,64,0,27,68,4,0,0,60,0,0,0,0,0,0,0,3,0,7,17
K17,loc:1188,locality,loc:1188,1188,אשחר,1,1,275,206,205,1,אמת,75,40,35,0.365854,75,2,0,0,0,0,0,10,0,28,0,0,40,0,15,15,3,0,0,8,0,0,0,1,0,0,0,0,0,6,2
K17,loc:1190,locality,loc:1190,1190,מצפה נטופה,1,1,315,259,259,0,טב,151,38,113,0.583012,8,2,0,0,0,0,0,1,0,151,0,5,9,0,6,38,1,0,0,28,0,0,0,0,0,0,0,0,0,4,6
K17,loc:1191,locality,loc:1191,1191,בר יוחאי,1,1,240,181,179,2,טב,85,44,41,0.47486,2,12,0,0,0,0,0,2,0,85,0,13,2,0,3,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,44
K17,loc:1192,locality,loc:1192,1192,ערערה-בנגב,6,6,4011,1716,1667,49,עם,1072,177,895,0.643071,71,3,133,0,177,1,0,1,3,6,1,5,54,1,3,13,10,3,1072,1,0,0,0,1,1,4,2,3,4,2,92
