election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
K20,loc:1072,locality,loc:1072,1072,גן הדרום,1,1,304,264,264,0,אמת,99,64,35,0.375,99,0,0,0,0,0,7,0,0,0,0,37,0,64,7,0,0,0,0,40,0,0,5,2,0,3
K20,loc:1077,locality,loc:1077,1077,גבעת שפירא,1,1,210,174,173,1,אמת,82,41,41,0.473988,82,0,4,0,0,0,3,0,0,0,0,8,2,18,14,0,0,0,0,41,0,0,0,1,0,0
K20,loc:1079,locality,loc:1079,1079,צפרירים,1,1,282,205,204,1,אמת,56,44,12,0.27451,56,2,0,0,0,1,7,0,0,0,0,27,6,44,28,0,0,0,0,9,0,2,5,2,0,15
K20,loc:1080,locality,loc:1080,1080,מבועים,2,2,835,611,610,1,מחל,232,131,101,0.380328,131,3,0,0,0,0,48,0,0,0,0,50,10,232,13,0,0,0,0,73,0,1,9,15,0,25
K20,loc:1081,locality,loc:1081,1081,אבן מנחם,1,1,266,199,198,1,מחל,92,31,61,0.464646,28,2,0,0,0,0,6,0,0,0,0,12,3,92,0,0,0,0,0,19,0,0,4,1,0,31
K20,loc:1082,locality,loc:1082,1082,מעגלים,2,2,901,746,746,0,מחל,356,156,200,0.477212,13,3,0,0,0,0,133,0,0,0,0,22,2,356,1,0,0,0,0,7,0,0,4,156,0,49
K20,loc:1083,locality,loc:1083,1083,תושייה,1,1,260,227,227,0,טב,99,62,37,0.436123,0,1,0,0,0,0,99,0,0,0,0,3,0,62,1,0,0,1,0,1,0,0,0,55,0,4
K20,loc:1084,locality,loc:1084,1084,בן שמן (כפר נוער),1,1,237,167,167,0,אמת,66,41,25,0.39521,66,0,0,0,0,0,0,0,0,0,0,41,1,15,15,0,0,0,0,26,0,0,0,0,0,3
K20,loc:1085,locality,loc:1085,1085,כרם שלום,1,1,95,48,48,0,אמת,18,6,12,0.375,18,0,2,0,0,0,6,0,0,0,0,2,1,6,6,0,0,0,0,0,0,0,6,1,0,0
K20,loc:1094,locality,loc:1094,1094,כרם יבנה (ישיבה),1,1,162,147,147,0,טב,76,55,21,0.517007,0,12,0,0,0,0,76,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,55,0,0
K20,loc:1095,locality,loc:1095,1095,כפר מימון,1,1,355,303,303,0,טב,173,82,91,0.570957,10,1,0,0,0,0,173,0,0,0,0,9,1,82,1,1,0,0,0,6,0,0,1,18,0,0
K20,loc:1098,locality,loc:1098,1098,מרכז שפירא,3,3,1374,1163,1162,1,טב,604,250,354,0.519793,19,8,0,0,0,0,604,0,0,0,0,34,3,250,4,3,0,0,0,26,0,0,6,145,1,59
K20,loc:11,locality,loc:11,11,"ניר ח""ן",1,1,359,262,261,1,אמת,86,59,27,0.329502,86,0,0,0,0,0,27,0,0,0,0,36,3,59,9,0,0,0,0,32,0,0,3,3,0,3
K20,loc:1102,locality,loc:1102,1102,צוקי ים,1,1,163,124,124,0,אמת,61,21,40,0.491935,61,1,0,0,0,0,5,0,1,0,0,3,0,21,18,1,0,0,0,11,0,0,0,2,0,0
K20,loc:1103,locality,loc:1103,1103,גני הדר,1,1,229,187,186,1,אמת,89,33,56,0.478495,89,0,0,0,0,1,6,0,0,0,0,8,2,23,19,1,0,0,0,33,0,0,3,1,0,0
K20,loc:1104,locality,loc:1104,1104,פורייה - כפר עבודה,1,1,267,185,185,0,מחל,83,44,39,0.448649,19,0,0,0,1,0,15,0,0,0,0,44,1,83,2,0,0,0,0,8,0,0,5,1,0,6
K20,loc:1105,locality,loc:1105,1105,פורייה - נווה עובד,2,2,920,620,614,6,מחל,317,68,249,0.516287,47,4,1,0,0,0,68,0,0,0,0,61,12,317,6,0,0,0,0,42,0,0,9,20,1,26
K20,loc:1108,locality,loc:1108,1108,אומן,1,1,299,177,177,0,מחל,85,24,61,0.480226,21,1,0,0,0,0,11,0,1,0,0,14,24,85,1,0,0,0,0,7,0,0,4,0,0,8
K20,loc:1110,locality,loc:1110,1110,חבר,1,1,235,169,167,2,מחל,57,34,23,0.341317,34,0,0,0,0,0,18,0,0,0,0,14,9,57,2,0,0,0,0,20,0,0,3,3,0,7
K20,loc:1112,locality,loc:1112,1112,יודפת,1,1,466,374,373,1,אמת,224,84,140,0.600536,224,0,5,0,0,0,10,0,0,0,0,5,1,14,84,0,0,0,0,18,0,0,5,5,0,2
K20,loc:1113,locality,loc:1113,1113,צור הדסה,6,6,3779,2970,2963,7,אמת,810,786,24,0.273372,810,12,12,0,0,0,211,0,0,0,0,233,102,786,274,1,0,0,0,418,1,0,34,23,2,44
K20,loc:1114,locality,loc:1114,1114,שריגים (לי-און),2,2,708,530,529,1,אמת,212,103,109,0.400756,212,0,7,0,0,0,18,0,0,0,0,39,1,77,103,0,0,0,0,51,0,0,13,4,1,3
K20,loc:1115,locality,loc:1115,1115,אביבים,1,1,336,230,228,2,מחל,140,40,100,0.614035,6,4,0,0,0,0,13,0,0,0,0,18,2,140,0,0,0,0,0,1,0,0,3,1,0,40
K20,loc:112,locality,loc:112,112,כפר חסידים א',1,1,501,393,392,1,טב,96,92,4,0.244898,92,16,0,0,0,0,96,0,0,0,0,17,7,65,15,0,0,0,0,62,0,0,2,7,0,13
K20,loc:1123,locality,loc:1123,1123,אדרת,1,1,498,383,381,2,מחל,193,78,115,0.506562,12,1,1,0,0,0,78,0,0,0,0,21,10,193,9,3,0,0,0,15,0,0,3,9,0,26
K20,loc:1124,locality,loc:1124,1124,נאות הכיכר,1,1,198,136,136,0,אמת,75,15,60,0.551471,75,0,0,0,0,0,3,0,0,0,0,8,2,13,13,0,0,0,0,15,0,0,6,1,0,0
K20,loc:1125,locality,loc:1125,1125,אלמגור,1,1,240,197,197,0,אמת,126,27,99,0.639594,126,0,1,0,0,0,6,0,0,0,0,6,2,5,22,0,0,0,0,27,0,0,1,0,1,0
K20,loc:1126,locality,loc:1126,1126,אילות,1,1,266,166,165,1,אמת,99,22,77,0.6,99,0,2,0,0,0,6,0,0,0,0,4,3,14,11,0,0,0,0,22,0,0,3,0,0,1
K20,loc:1127,locality,loc:1127,1127,מעלה גלבוע,1,1,303,250,249,1,טב,108,37,71,0.433735,37,0,0,0,0,0,108,0,0,0,0,16,6,36,7,0,0,0,0,32,0,0,2,5,0,0
K20,loc:1128,locality,loc:1128,1128,מי עמי,1,1,225,189,188,1,אמת,104,36,68,0.553191,104,0,1,0,0,0,1,0,0,0,0,13,0,7,36,0,0,0,0,23,0,0,1,1,0,1
K20,loc:1129,locality,loc:1129,1129,גרופית,1,1,293,187,185,2,אמת,100,30,70,0.540541,100,0,0,0,0,0,7,0,0,0,0,5,0,19,30,0,0,0,0,22,0,1,1,0,0,0
K20,loc:113,locality,loc:113,113,אדירים,1,1,209,163,160,3,שס,59,56,3,0.36875,2,4,0,0,0,0,22,0,0,0,0,7,1,56,0,0,0,0,0,4,0,0,1,4,0,59
K20,loc:1130,locality,loc:1130,1130,כפר רוזנואלד (זרעית),1,1,198,148,148,0,מחל,69,19,50,0.466216,19,1,0,0,0,0,9,0,0,0,0,19,1,69,0,0,0,0,0,7,0,0,3,3,0,17
K20,loc:1132,locality,loc:1132,1132,שניר,1,1,399,299,299,0,אמת,163,42,121,0.545151,163,0,0,0,0,0,6,0,0,0,0,18,1,19,42,0,0,0,0,30,1,1,13,2,2,1
K20,loc:1133,locality,loc:1133,1133,ורדון,1,1,185,150,148,2,מחל,48,28,20,0.324324,24,0,1,0,0,0,13,0,0,0,0,28,3,48,11,0,0,0,0,9,0,0,1,2,0,8
K20,loc:1136,locality,loc:1136,1136,צוחר,1,1,397,271,269,2,מחל,112,45,67,0.416357,45,0,0,0,0,0,19,0,0,0,0,28,1,112,11,0,0,0,0,29,0,0,2,7,1,14
K20,loc:1137,locality,loc:1137,1137,קריית יערים,4,4,2388,1823,1800,23,ג,1248,241,1007,0.693333,17,1248,0,0,0,0,41,0,0,0,0,13,1,79,5,2,0,0,0,3,0,3,6,141,0,241
K20,loc:1138,locality,loc:1138,1138,יעד,1,1,527,415,414,1,אמת,239,88,151,0.577295,239,0,4,0,0,0,12,0,0,0,0,15,2,5,88,0,0,0,0,47,0,0,2,0,0,0
K20,loc:1139,locality,loc:1139,1139,כרמיאל,69,69,39888,25162,24727,435,מחל,6684,4532,2152,0.270312,4328,647,318,7,3,6,1367,3,4,0,3,2150,4532,6684,435,9,3,1,15,2995,11,11,359,188,18,630
K20,loc:1140,locality,loc:1140,1140,מדרשת בן גוריון,2,2,974,736,733,3,אמת,358,189,169,0.488404,358,2,8,0,0,0,23,0,0,0,0,30,6,55,189,0,0,0,0,48,0,1,5,5,1,2
K20,loc:1141,locality,loc:1141,1141,מבוא מודיעים,1,1,186,122,122,0,טב,39,37,2,0.319672,4,11,0,0,0,0,39,0,0,0,0,8,1,37,1,0,0,0,0,1,0,0,0,16,0,4
K20,loc:1145,locality,loc:1145,1145,אלומה,1,1,305,270,270,0,שס,163,80,83,0.603704,0,80,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,17,0,163
K20,loc:1146,locality,loc:1146,1146,עלומים,1,1,345,262,262,0,טב,155,57,98,0.591603,17,2,0,0,0,0,155,0,0,0,0,13,0,57,1,0,0,0,0,13,0,0,0,2,2,0
K20,loc:1147,locality,loc:1147,1147,נטועה,1,1,223,182,181,1,מחל,57,40,17,0.314917,30,2,0,0,0,0,8,0,0,0,0,27,1,57,2,0,0,0,0,8,0,1,3,2,0,40
K20,loc:1148,locality,loc:1148,1148,צור נתן,1,1,215,171,169,2,אמת,53,44,9,0.313609,53,0,0,0,0,0,13,0,0,0,0,15,2,44,5,0,0,0,0,32,0,0,4,0,0,1
K20,loc:1149,locality,loc:1149,1149,עזר,1,1,641,498,497,1,אמת,126,111,15,0.253521,126,1,0,0,0,0,21,0,0,0,0,86,5,111,11,0,0,0,0,88,0,1,21,13,0,13
K20,loc:115,locality,loc:115,115,חופית,2,2,703,552,551,1,אמת,315,82,233,0.571688,315,2,2,0,0,0,8,0,0,0,0,20,3,43,70,0,0,0,0,82,0,0,4,0,0,2
K20,loc:1150,locality,loc:1150,1150,צופר,1,1,312,248,247,1,אמת,168,28,140,0.680162,168,0,0,0,0,0,7,0,0,0,0,8,3,11,17,0,0,0,0,28,1,0,4,0,0,0
K20,loc:1151,locality,loc:1151,1151,פארן,1,1,363,271,270,1,אמת,199,21,178,0.737037,199,0,1,0,0,0,8,0,0,0,0,11,1,11,12,0,0,0,0,21,0,0,6,0,0,0
K20,loc:1152,locality,loc:1152,1152,אשלים,1,1,303,227,227,0,אמת,76,42,34,0.334802,76,0,0,0,0,0,10,0,0,0,0,28,15,42,14,1,1,0,0,33,0,0,5,1,0,1
K20,loc:1153,locality,loc:1153,1153,כישור,1,1,107,84,84,0,אמת,44,13,31,0.52381,44,1,1,0,0,0,2,0,0,0,0,3,1,7,13,1,0,1,0,7,0,0,0,0,1,2
K20,loc:1155,locality,loc:1155,1155,מגן שאול,1,1,342,260,258,2,מחל,121,45,76,0.468992,45,1,0,0,0,0,12,0,0,0,0,32,4,121,5,0,0,1,0,24,0,0,2,5,0,6
K20,loc:1156,locality,loc:1156,1156,סמר,1,1,294,193,192,1,אמת,82,60,22,0.427083,82,0,3,0,0,0,2,0,0,0,0,6,3,14,60,0,0,1,1,8,1,0,10,1,0,0
K20,loc:1157,locality,loc:1157,1157,אחווה,1,1,179,145,145,0,אמת,62,34,28,0.427586,62,3,0,0,0,0,6,0,0,0,0,12,3,16,6,0,0,0,0,34,0,0,0,1,0,2
K20,loc:1158,locality,loc:1158,1158,יהל,1,1,204,102,102,0,אמת,56,16,40,0.54902,56,0,0,0,0,0,3,0,0,0,0,7,3,7,5,1,0,0,0,16,0,1,1,0,2,0
K20,loc:1160,locality,loc:1160,1160,שכניה,1,1,523,389,389,0,אמת,187,75,112,0.48072,187,0,0,0,0,1,29,0,0,0,0,16,3,25,47,0,0,0,0,75,0,0,4,1,0,1
K20,loc:1161,locality,loc:1161,1161,רהט,43,43,26511,15422,15245,177,ודעם,13512,568,12944,0.886323,311,3,13512,4,5,5,25,3,2,0,96,124,16,89,568,6,11,12,201,103,10,26,11,21,13,68
K20,loc:1162,locality,loc:1162,1162,בית רימון,1,1,283,241,241,0,טב,153,36,117,0.634855,18,0,0,0,0,0,153,0,0,0,0,5,0,36,5,0,0,0,0,9,0,0,0,14,0,1
K20,loc:1163,locality,loc:1163,1163,מורן,1,1,300,237,235,2,אמת,114,41,73,0.485106,114,0,0,0,0,0,12,0,0,0,0,15,4,18,23,0,0,0,0,41,0,0,6,0,0,2
K20,loc:1165,locality,loc:1165,1165,שילת,1,1,415,351,351,0,אמת,167,60,107,0.475783,167,0,0,0,0,0,16,0,0,0,0,22,2,27,47,0,0,0,0,60,0,0,9,0,1,0
K20,loc:1166,locality,loc:1166,1166,כפר רות,1,1,180,156,156,0,אמת,47,29,18,0.301282,47,2,0,0,0,0,21,0,0,0,0,29,0,17,13,0,1,0,0,23,0,0,3,0,0,0
K20,loc:1167,locality,loc:1167,1167,קיסריה,7,7,4228,2859,2848,11,אמת,1072,649,423,0.376404,1072,4,7,0,0,0,120,0,0,0,0,190,37,649,204,0,0,0,0,487,0,1,53,11,1,12
K20,loc:1171,locality,loc:1171,1171,לוטם,1,1,413,318,316,2,אמת,160,60,100,0.506329,160,1,5,0,0,0,5,0,0,0,0,17,0,10,50,0,1,0,1,60,0,0,6,0,0,0
K20,loc:1172,locality,loc:1172,1172,תובל,1,1,323,223,223,0,אמת,97,79,18,0.434978,97,0,8,0,0,0,1,0,0,0,0,3,7,7,79,0,0,0,0,21,0,0,0,0,0,0
K20,loc:1173,locality,loc:1173,1173,לפידות,1,1,126,93,93,0,כ,26,23,3,0.27957,11,0,0,0,0,0,3,0,0,0,0,26,0,23,6,0,0,0,0,5,0,0,2,0,0,17
K20,loc:1174,locality,loc:1174,1174,מנוף,1,1,555,416,416,0,אמת,247,73,174,0.59375,247,1,3,0,0,0,7,0,0,0,0,14,1,11,58,0,0,0,0,73,0,0,1,0,0,0
K20,loc:1175,locality,loc:1175,1175,עידן,1,1,259,173,173,0,אמת,95,20,75,0.549133,95,0,0,0,0,0,13,0,0,0,0,8,0,19,12,0,0,0,0,20,0,0,3,2,1,0
K20,loc:1176,locality,loc:1176,1176,ספיר,1,1,282,197,196,1,אמת,66,43,23,0.336735,66,0,0,0,0,0,20,0,0,0,0,12,7,43,11,0,0,0,0,18,0,0,14,4,0,1
K20,loc:1177,locality,loc:1177,1177,טללים,1,1,181,143,141,2,אמת,58,28,30,0.411348,58,0,0,0,0,0,9,0,0,0,0,6,2,28,14,0,0,0,0,19,0,0,5,0,0,0
K20,loc:1178,locality,loc:1178,1178,מורשת,2,2,818,703,701,2,טב,502,120,382,0.71612,7,2,0,0,0,0,502,0,0,0,0,17,1,120,1,0,0,0,0,8,0,0,1,34,0,8
K20,loc:1179,locality,loc:1179,1179,קורנית,1,1,570,444,444,0,אמת,223,83,140,0.502252,223,0,0,0,0,0,6,0,0,0,0,19,2,38,83,0,0,0,0,71,0,0,2,0,0,0
K20,loc:1180,locality,loc:1180,1180,צביה,1,1,233,179,179,0,אמת,86,40,46,0.480447,86,0,0,0,0,0,3,0,0,0,0,10,0,6,31,0,0,1,0,40,0,0,2,0,0,0
K20,loc:1181,locality,loc:1181,1181,טל-אל,1,1,769,612,608,4,אמת,216,127,89,0.355263,216,0,1,0,0,0,31,0,0,0,0,52,23,118,28,0,0,0,0,127,0,1,3,2,1,5
K20,loc:1182,locality,loc:1182,1182,אלון הגליל,1,1,702,553,553,0,אמת,339,103,236,0.61302,339,0,0,0,0,0,10,0,0,0,0,17,3,25,103,0,0,0,0,53,0,0,3,0,0,0
K20,loc:1183,locality,loc:1183,1183,כליל,1,1,359,281,280,1,אמת,119,115,4,0.425,119,0,9,0,0,0,4,0,0,0,0,7,1,7,115,0,0,0,0,12,0,0,2,3,1,0
K20,loc:1184,locality,loc:1184,1184,מתת,1,1,147,110,106,4,מרצ,42,29,13,0.396226,29,0,3,0,0,0,3,0,0,0,0,8,2,8,42,0,0,0,0,7,1,0,2,0,0,1
K20,loc:1186,locality,loc:1186,1186,הושעיה,2,2,1200,934,934,0,טב,494,187,307,0.528908,52,1,0,0,0,0,494,0,0,0,0,24,1,187,10,0,0,0,0,142,0,1,5,14,0,3
K20,loc:1188,locality,loc:1188,1188,אשחר,1,1,488,382,380,2,אמת,99,96,3,0.260526,99,1,0,0,0,0,96,0,0,0,0,29,6,51,29,1,0,0,0,60,0,0,5,2,0,1
K20,loc:1190,locality,loc:1190,1190,מצפה נטופה,1,1,551,440,439,1,טב,245,86,159,0.558087,20,3,0,0,0,0,245,0,0,0,0,18,1,86,10,1,0,0,0,29,0,1,2,23,0,0
K20,loc:1191,locality,loc:1191,1191,בר יוחאי,1,1,423,337,336,1,טב,118,86,32,0.35119,3,19,0,0,0,0,118,0,0,0,0,10,1,86,0,0,0,1,0,1,0,1,3,56,0,37
K20,loc:1192,locality,loc:1192,1192,ערערה-בנגב,10,10,6558,3773,3701,72,ודעם,3335,126,3209,0.901108,47,1,3335,2,0,2,15,0,0,0,2,36,6,39,126,0,0,3,45,6,4,2,4,8,3,15
K20,loc:1195,locality,loc:1195,1195,ניצנה (קהילת חינוך),1,1,176,75,74,1,אמת,27,11,16,0.364865,27,1,1,0,0,0,11,0,0,0,0,3,1,9,6,0,0,0,0,6,0,0,9,0,0,0
K20,loc:1197,locality,loc:1197,1197,נאות סמדר,1,1,333,201,201,0,אמת,98,43,55,0.487562,98,0,0,0,0,0,4,0,0,0,0,6,1,24,43,0,0,0,0,12,0,0,13,0,0,0
K20,loc:1198,locality,loc:1198,1198,כרמים,1,1,124,95,95,0,אמת,40,19,21,0.421053,40,0,0,0,0,0,19,0,0,0,0,8,0,6,13,0,0,0,0,8,0,0,1,0,0,0
K20,loc:1199,locality,loc:1199,1199,עדי,2,2,1348,1082,1082,0,אמת,433,250,183,0.400185,433,1,0,0,0,0,51,0,0,0,0,94,14,179,38,0,0,0,0,250,0,3,12,4,0,3
K20,loc:1200,locality,loc:1200,1200,מודיעין-מכבים-רעות*,88,88,54689,43995,43830,165,אמת,12735,10025,2710,0.290554,12735,256,36,2,0,4,4630,1,1,0,0,3561,959,10025,2122,28,1,4,0,7894,5,21,443,514,41,547
K20,loc:1201,locality,loc:1201,1201,כמון,1,1,472,389,386,3,אמת,214,61,153,0.554404,214,1,3,0,0,0,19,0,0,0,0,14,1,20,61,1,0,1,1,44,0,0,4,0,0,2
K20,loc:1202,locality,loc:1202,1202,מכמנים,1,1,268,213,213,0,אמת,108,33,75,0.507042,108,0,0,0,0,0,5,0,0,0,0,10,2,19,28,1,0,0,2,33,0,0,3,0,1,1
K20,loc:1203,locality,loc:1203,1203,הררית,1,1,249,199,197,2,אמת,89,54,35,0.451777,89,1,1,0,0,0,4,0,0,0,0,9,1,18,54,0,0,0,0,14,0,0,3,0,3,0
K20,loc:1204,locality,loc:1204,1204,גילון,2,2,860,672,671,1,אמת,323,141,182,0.481371,323,0,1,0,0,0,20,0,0,0,0,48,8,76,48,0,0,0,0,141,0,0,5,1,0,0
K20,loc:1205,locality,loc:1205,1205,מנות,1,1,317,241,239,2,מחל,97,41,56,0.405858,41,0,0,0,0,1,12,0,0,0,0,32,4,97,6,0,0,0,0,23,0,0,9,2,0,12
K20,loc:1206,locality,loc:1206,1206,גיתה,1,1,184,134,133,1,אמת,37,33,4,0.278195,37,0,1,0,0,0,6,0,0,0,0,10,15,33,16,1,0,0,0,9,0,0,3,1,1,0
