election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
K22,loc:1083,locality,loc:1083,1083,תושייה,1,1,317,247,247,0,טב,143,55,88,0.578947,0,4,0,0,0,0,0,143,0,0,0,0,0,0,0,33,1,55,0,0,0,0,3,0,0,0,0,0,0,0,0,8
K22,loc:1084,locality,loc:1084,1084,בן שמן (כפר נוער),1,1,233,164,164,0,פה,81,28,53,0.493902,28,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,24,20,0,0,0,81,0,0,0,0,0,0,0,0,2
K22,loc:1085,locality,loc:1085,1085,כרם שלום,1,1,136,69,67,2,פה,19,14,5,0.283582,8,2,0,0,0,0,0,14,0,1,0,0,0,0,0,3,3,13,4,0,0,0,19,0,0,0,0,0,0,0,0,0
K22,loc:1094,locality,loc:1094,1094,כרם יבנה (ישיבה),1,1,157,139,139,0,טב,92,26,66,0.661871,1,26,0,0,0,0,0,92,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
K22,loc:1095,locality,loc:1095,1095,כפר מימון,1,1,423,345,345,0,טב,206,87,119,0.597101,5,2,0,0,0,0,1,206,0,0,0,0,0,0,0,21,0,87,1,0,0,0,20,0,0,0,0,0,0,0,0,2
K22,loc:1098,locality,loc:1098,1098,מרכז שפירא,2,2,1403,1136,1134,2,טב,604,254,350,0.532628,15,24,0,0,0,0,2,604,0,1,0,0,0,0,0,86,3,254,2,0,0,0,36,0,0,0,0,0,0,0,0,107
K22,loc:11,locality,loc:11,11,"ניר ח""ן",1,1,406,287,287,0,פה,94,63,31,0.327526,32,1,1,0,1,0,63,13,0,0,0,0,0,0,0,5,10,57,5,1,0,0,94,0,0,0,0,0,0,0,0,4
K22,loc:1102,locality,loc:1102,1102,צוקי ים,1,1,162,114,114,0,פה,62,22,40,0.54386,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,12,22,0,0,0,62,0,0,0,0,0,1,0,0,5
K22,loc:1103,locality,loc:1103,1103,גני הדר,1,1,256,203,202,1,פה,101,27,74,0.5,22,1,0,0,0,0,2,11,0,0,0,0,0,0,0,3,8,27,27,0,0,0,101,0,0,0,0,0,0,0,0,0
K22,loc:1104,locality,loc:1104,1104,פורייה - כפר עבודה,1,1,266,174,174,0,מחל,110,30,80,0.632184,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,2,1,110,0,0,0,0,30,0,0,0,0,0,0,0,4,10
K22,loc:1105,locality,loc:1105,1105,פורייה - נווה עובד,2,2,995,685,684,1,מחל,421,82,339,0.615497,31,7,1,0,1,0,1,41,0,1,0,0,0,0,0,24,22,421,7,0,0,0,82,0,0,0,0,1,1,0,6,37
K22,loc:1108,locality,loc:1108,1108,אומן,1,1,355,221,221,0,מחל,114,40,74,0.515837,7,4,0,0,0,0,0,9,0,0,0,0,0,0,0,4,40,114,0,0,0,0,32,0,0,0,0,0,0,0,0,11
K22,loc:1110,locality,loc:1110,1110,חבר,1,1,345,250,250,0,מחל,131,51,80,0.524,15,2,0,0,0,0,1,7,0,0,0,0,0,0,0,6,20,131,4,0,0,0,51,0,0,0,0,0,0,0,0,13
K22,loc:1112,locality,loc:1112,1112,יודפת,1,1,602,464,462,2,פה,209,173,36,0.452381,52,0,4,0,0,0,0,6,0,0,0,0,0,0,0,1,8,8,173,0,0,0,209,0,1,0,0,0,0,0,0,0
K22,loc:1113,locality,loc:1113,1113,צור הדסה,9,9,5748,4371,4360,11,פה,1465,1227,238,0.336009,317,24,22,1,0,0,10,479,0,3,0,0,4,0,0,65,313,1227,362,0,0,0,1465,0,0,0,0,0,1,0,2,65
K22,loc:1114,locality,loc:1114,1114,שריגים (לי-און),2,2,823,587,586,1,פה,266,122,144,0.453925,68,0,5,0,0,0,3,20,0,0,0,0,0,0,0,3,16,79,122,0,0,0,266,0,0,0,0,0,0,0,0,4
K22,loc:1115,locality,loc:1115,1115,אביבים,1,1,327,234,234,0,מחל,148,53,95,0.632479,5,8,0,0,0,0,3,3,0,0,0,0,0,0,0,11,1,148,0,0,0,0,2,0,0,0,0,0,0,0,0,53
K22,loc:112,locality,loc:112,112,כפר חסידים א',1,1,516,393,392,1,פה,152,76,76,0.387755,19,18,0,0,0,0,1,76,0,0,0,0,0,0,1,12,13,73,9,1,0,0,152,0,0,0,0,0,0,0,0,17
K22,loc:1123,locality,loc:1123,1123,אדרת,1,1,555,396,396,0,מחל,184,59,125,0.464646,15,1,0,0,0,0,45,59,0,1,0,0,0,0,0,4,3,184,10,0,0,0,39,0,0,0,0,0,0,0,0,35
K22,loc:1124,locality,loc:1124,1124,נאות הכיכר,1,1,214,149,149,0,פה,78,25,53,0.52349,25,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,23,12,0,0,0,78,0,0,0,0,0,0,0,1,0
K22,loc:1125,locality,loc:1125,1125,אלמגור,1,1,289,234,234,0,פה,161,36,125,0.688034,16,0,2,0,0,0,0,3,0,0,0,0,0,0,0,3,5,8,36,0,0,0,161,0,0,0,0,0,0,0,0,0
K22,loc:1126,locality,loc:1126,1126,אילות,1,1,251,164,164,0,פה,85,31,54,0.518293,31,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,16,28,0,0,0,85,0,0,0,0,0,0,0,0,0
K22,loc:1127,locality,loc:1127,1127,מעלה גלבוע,1,1,355,290,290,0,טב,131,67,64,0.451724,49,0,1,0,0,0,0,131,0,0,0,0,0,0,0,2,1,34,3,0,0,0,67,0,0,0,0,0,0,0,0,2
K22,loc:1128,locality,loc:1128,1128,מי עמי,1,1,256,205,205,0,פה,101,53,48,0.492683,34,1,2,0,0,0,0,3,0,2,0,0,0,0,0,0,3,5,53,0,0,0,101,0,1,0,0,0,0,0,0,0
K22,loc:1129,locality,loc:1129,1129,גרופית,1,1,289,177,177,0,פה,100,37,63,0.564972,37,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,14,21,0,0,0,100,0,0,0,0,0,0,0,0,1
K22,loc:113,locality,loc:113,113,אדירים,1,1,230,191,191,0,מחל,84,62,22,0.439791,2,8,0,0,0,0,1,13,0,1,0,0,0,0,0,9,2,84,0,0,0,0,9,0,0,0,0,0,0,0,0,62
K22,loc:1130,locality,loc:1130,1130,כפר רוזנואלד (זרעית),1,1,221,138,138,0,מחל,76,25,51,0.550725,11,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,6,76,4,0,0,0,25,0,0,0,0,0,0,0,0,10
K22,loc:1132,locality,loc:1132,1132,שניר,1,1,426,306,306,0,פה,175,46,129,0.571895,46,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,11,22,45,0,0,0,175,0,0,0,0,1,0,0,0,1
K22,loc:1133,locality,loc:1133,1133,ורדון,1,1,218,154,153,1,מחל,46,41,5,0.300654,11,1,0,0,0,0,6,10,0,0,0,0,0,0,0,3,5,46,15,0,0,0,41,0,0,0,0,0,0,0,0,15
K22,loc:1134,locality,loc:1134,1134,יד השמונה,1,1,162,122,122,0,פה,49,30,19,0.401639,8,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,30,24,1,0,0,0,49,0,1,0,0,1,0,0,0,0
K22,loc:1136,locality,loc:1136,1136,צוחר,1,1,440,297,296,1,מחל,122,80,42,0.412162,22,0,0,1,0,0,12,14,0,0,0,0,0,0,0,7,7,122,14,1,0,0,80,0,0,0,0,0,0,0,0,16
K22,loc:1137,locality,loc:1137,1137,קריית יערים,6,6,3283,2554,2537,17,ג,1782,492,1290,0.702404,12,1782,0,0,0,0,1,57,0,0,0,0,0,0,0,74,0,97,2,0,0,0,17,1,0,0,0,0,2,0,0,492
K22,loc:1138,locality,loc:1138,1138,יעד,1,1,556,405,405,0,פה,199,131,68,0.491358,47,1,3,0,0,0,0,3,0,1,0,0,0,0,0,0,10,10,131,0,0,0,199,0,0,0,0,0,0,0,0,0
K22,loc:1139,locality,loc:1139,1139,כרמיאל,68,68,41395,24549,24316,233,מחל,7569,6490,1079,0.311277,955,780,348,6,3,0,7,839,6,24,5,2,6,0,7,206,5782,7569,443,10,2,0,6490,8,14,6,10,9,9,5,25,740
K22,loc:1140,locality,loc:1140,1140,מדרשת בן גוריון,2,2,1142,817,813,4,פה,317,232,85,0.389914,127,1,4,0,0,0,0,32,0,3,0,0,0,0,0,4,16,74,232,1,0,0,317,0,1,0,0,0,0,0,0,1
K22,loc:1141,locality,loc:1141,1141,מבוא מודיעים,1,1,189,107,106,1,טב,37,20,17,0.349057,1,17,0,0,0,0,0,37,0,2,0,0,0,0,0,7,0,20,1,0,0,0,8,0,1,0,0,0,0,1,0,11
K22,loc:1143,locality,loc:1143,1143,נס עמים,1,1,227,187,187,0,פה,109,30,79,0.582888,10,0,5,0,0,0,0,2,0,0,0,0,0,0,0,2,9,30,19,1,0,0,109,0,0,0,0,0,0,0,0,0
K22,loc:1145,locality,loc:1145,1145,אלומה,1,1,322,278,277,1,שס,175,81,94,0.631769,0,81,0,0,0,0,2,6,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,175
K22,loc:1146,locality,loc:1146,1146,עלומים,1,1,349,264,263,1,טב,160,46,114,0.608365,15,3,0,0,0,0,2,160,0,0,0,0,0,0,0,3,2,46,3,0,0,0,28,0,0,0,0,0,0,0,0,1
K22,loc:1147,locality,loc:1147,1147,נטועה,1,1,242,183,182,1,מחל,78,35,43,0.428571,11,0,0,0,0,0,12,6,0,0,0,0,0,0,0,7,5,78,3,0,0,0,35,0,0,0,0,0,0,0,0,25
K22,loc:1148,locality,loc:1148,1148,צור נתן,1,1,228,169,168,1,פה,73,51,22,0.434524,12,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,12,51,12,0,0,0,73,0,0,0,0,0,0,0,0,0
K22,loc:1149,locality,loc:1149,1149,עזר,1,1,636,491,489,2,פה,199,120,79,0.406953,44,0,0,0,0,0,38,23,0,0,0,0,0,0,0,4,19,120,15,0,0,0,199,0,0,0,0,0,0,0,0,27
K22,loc:115,locality,loc:115,115,חופית,1,1,737,521,521,0,פה,324,89,235,0.621881,29,2,1,0,1,0,0,15,0,1,0,0,0,0,0,0,17,42,89,0,0,0,324,0,0,0,0,0,0,0,0,0
K22,loc:1150,locality,loc:1150,1150,צופר,1,1,341,246,246,0,פה,163,26,137,0.662602,13,0,1,0,0,0,26,3,0,0,0,0,0,0,0,0,10,7,22,0,0,0,163,0,0,1,0,0,0,0,0,0
K22,loc:1151,locality,loc:1151,1151,פארן,1,1,366,260,260,0,פה,171,38,133,0.657692,38,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,8,9,26,0,0,0,171,0,0,0,0,0,0,0,0,0
K22,loc:1152,locality,loc:1152,1152,אשלים,1,1,390,284,280,4,פה,109,69,40,0.389286,30,0,0,1,0,0,1,29,0,1,0,0,0,0,0,6,14,69,18,0,0,0,109,0,0,0,0,0,0,0,0,2
K22,loc:1153,locality,loc:1153,1153,כישור,1,1,122,96,96,0,פה,60,11,49,0.625,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,10,0,0,0,60,1,0,0,0,0,0,0,0,1
K22,loc:1155,locality,loc:1155,1155,מגן שאול,1,1,384,308,308,0,מחל,164,75,89,0.532468,13,1,0,1,0,0,2,16,0,1,0,0,0,0,0,8,11,164,6,0,0,0,75,1,0,0,0,0,0,0,0,9
K22,loc:1156,locality,loc:1156,1156,סמר,1,1,227,149,148,1,מרצ,64,60,4,0.432432,15,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,64,0,0,0,60,0,0,0,0,0,0,0,0,0
K22,loc:1157,locality,loc:1157,1157,אחווה,1,1,188,146,146,0,פה,84,24,60,0.575342,10,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,24,10,2,0,0,84,0,0,0,0,0,0,0,0,3
K22,loc:1158,locality,loc:1158,1158,יהל,1,1,218,128,128,0,פה,63,17,46,0.492188,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,16,17,4,0,0,63,0,0,0,0,0,0,0,0,1
K22,loc:1160,locality,loc:1160,1160,שכניה,1,1,613,479,479,0,פה,265,78,187,0.553236,64,0,3,0,0,0,0,15,0,1,0,0,0,0,0,3,25,22,78,0,0,0,265,0,0,0,0,0,0,0,1,2
K22,loc:1161,locality,loc:1161,1161,רהט,50,50,33204,19770,19573,197,ודעם,15584,1272,14312,0.796199,454,11,15584,2,7,0,23,123,1,19,7,14,11,0,612,18,11,160,765,6,235,0,1272,7,5,11,8,18,23,17,18,131
K22,loc:1162,locality,loc:1162,1162,בית רימון,1,1,388,326,325,1,טב,236,27,209,0.726154,13,3,1,0,0,0,0,236,0,0,0,0,0,0,0,23,1,27,3,0,0,0,16,0,0,0,0,0,0,1,0,1
K22,loc:1163,locality,loc:1163,1163,מורן,1,1,337,257,255,2,פה,161,33,128,0.631373,26,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,11,19,33,0,0,0,161,0,0,0,0,0,0,0,0,1
K22,loc:1165,locality,loc:1165,1165,שילת,1,1,486,389,389,0,פה,193,67,126,0.496144,36,4,4,0,0,0,2,14,0,1,0,0,0,0,0,0,18,47,67,0,0,0,193,0,1,0,0,0,0,0,0,2
K22,loc:1166,locality,loc:1166,1166,כפר רות,1,1,189,159,159,0,זץ,58,43,15,0.36478,15,2,0,0,0,0,58,12,0,0,0,0,0,0,0,5,1,15,7,0,0,0,43,0,0,0,0,0,0,0,0,1
K22,loc:1167,locality,loc:1167,1167,קיסריה,8,8,4878,3143,3133,10,פה,1610,786,824,0.513884,172,18,8,0,0,0,0,99,0,2,1,0,0,0,0,18,150,786,244,0,0,0,1610,0,1,0,0,0,0,0,0,24
K22,loc:1171,locality,loc:1171,1171,לוטם,1,1,507,356,356,0,פה,210,63,147,0.589888,32,0,5,1,0,0,0,11,0,1,0,0,0,0,0,2,5,23,63,0,0,0,210,1,0,0,0,0,0,0,0,2
K22,loc:1172,locality,loc:1172,1172,תובל,1,1,371,252,252,0,פה,88,77,11,0.349206,59,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,8,11,77,0,0,0,88,0,0,0,0,0,0,0,0,0
K22,loc:1173,locality,loc:1173,1173,לפידות,1,1,129,96,96,0,מחל,48,21,27,0.5,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,48,1,0,0,0,21,0,0,0,0,0,0,0,0,10
K22,loc:1174,locality,loc:1174,1174,מנוף,1,1,652,475,475,0,פה,291,89,202,0.612632,52,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,19,18,89,0,0,0,291,0,0,0,0,0,0,0,0,0
K22,loc:1175,locality,loc:1175,1175,עידן,1,1,296,180,179,1,פה,89,24,65,0.497207,24,0,0,0,0,0,23,3,0,0,0,0,0,0,0,1,8,10,21,0,0,0,89,0,0,0,0,0,0,0,0,0
K22,loc:1176,locality,loc:1176,1176,ספיר,1,1,321,205,203,2,פה,82,38,44,0.403941,21,2,0,0,0,0,2,30,1,1,0,0,0,0,0,7,9,38,9,0,1,0,82,0,0,0,0,0,0,0,0,0
K22,loc:1177,locality,loc:1177,1177,טללים,1,1,322,219,219,0,פה,108,39,69,0.493151,39,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,7,32,19,0,0,0,108,0,0,0,0,0,0,0,0,3
K22,loc:1178,locality,loc:1178,1178,מורשת,2,2,993,761,760,1,טב,537,118,419,0.706579,9,5,0,0,0,0,0,537,0,0,0,0,0,0,0,54,0,118,1,0,0,0,21,0,0,0,0,1,0,0,0,14
K22,loc:1179,locality,loc:1179,1179,קורנית,1,1,627,474,474,0,פה,256,105,151,0.540084,56,0,2,0,0,0,0,3,0,0,0,0,0,0,0,3,15,34,105,0,0,0,256,0,0,0,0,0,0,0,0,0
K22,loc:1180,locality,loc:1180,1180,צביה,1,1,267,184,183,1,פה,111,33,78,0.606557,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,11,33,0,0,0,111,0,0,0,0,0,0,0,0,0
K22,loc:1181,locality,loc:1181,1181,טל-אל,2,2,926,681,678,3,פה,334,135,199,0.492625,65,2,1,0,0,0,0,30,0,2,0,0,0,0,0,15,58,135,34,0,0,0,334,0,0,0,0,0,0,0,0,2
K22,loc:1182,locality,loc:1182,1182,אלון הגליל,2,2,828,641,641,0,פה,366,157,209,0.570983,63,0,1,0,0,0,7,11,0,0,0,0,0,0,0,1,13,22,157,0,0,0,366,0,0,0,0,0,0,0,0,0
K22,loc:1183,locality,loc:1183,1183,כליל,1,1,449,333,332,1,מרצ,155,86,69,0.466867,44,0,21,0,0,0,1,9,0,1,0,0,0,0,0,4,0,9,155,0,0,0,86,0,1,0,0,0,0,0,0,1
K22,loc:1184,locality,loc:1184,1184,מתת,1,1,155,101,101,0,מרצ,34,28,6,0.336634,18,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,9,4,34,0,0,0,28,1,0,0,0,0,0,0,0,0
K22,loc:1186,locality,loc:1186,1186,הושעיה,2,2,1351,1062,1062,0,טב,574,194,380,0.54049,45,2,0,1,0,0,1,574,1,0,0,0,0,0,0,15,6,192,9,2,0,0,194,0,0,0,0,0,0,0,0,20
K22,loc:1188,locality,loc:1188,1188,אשחר,1,1,608,475,475,0,פה,172,106,66,0.362105,90,4,1,0,0,0,0,106,0,0,0,0,0,0,0,1,20,49,31,0,0,0,172,1,0,0,0,0,0,0,0,0
