election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס
K23,loc:1125,locality,loc:1125,1125,אלמגור,1,1,294,219,219,0,פה,169,26,143,0.771689,26,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,7,0,0,0,2,0,169,0,0,0,0,0,0,0
K23,loc:1126,locality,loc:1126,1126,אילות,1,1,253,164,164,0,פה,88,53,35,0.536585,53,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,88,0,0,0,0,0,0,0
K23,loc:1127,locality,loc:1127,1127,מעלה גלבוע,1,1,360,290,290,0,טב,126,86,40,0.434483,26,3,1,1,0,0,126,0,0,0,0,0,0,0,0,1,43,0,0,0,0,0,86,1,0,0,0,0,0,2
K23,loc:1128,locality,loc:1128,1128,מי עמי,1,1,255,198,196,2,פה,111,61,50,0.566327,61,1,8,1,0,0,2,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,111,0,0,0,0,0,0,0
K23,loc:1129,locality,loc:1129,1129,גרופית,1,1,289,169,169,0,פה,108,35,73,0.639053,35,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,108,1,0,0,0,0,0,0
K23,loc:113,locality,loc:113,113,אדירים,1,1,233,183,183,0,מחל,110,58,52,0.601093,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,110,0,0,0,2,0,10,0,0,0,0,0,0,58
K23,loc:1130,locality,loc:1130,1130,כפר רוזנואלד (זרעית),1,1,220,149,149,0,מחל,101,26,75,0.677852,7,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,101,0,0,0,0,0,26,0,0,0,0,0,0,7
K23,loc:1132,locality,loc:1132,1132,שניר,1,1,435,310,307,3,פה,180,83,97,0.586319,83,0,1,0,0,0,5,0,0,0,0,0,0,0,0,9,28,0,0,0,0,0,180,0,0,0,0,0,0,1
K23,loc:1133,locality,loc:1133,1133,ורדון,1,1,222,172,172,0,מחל,67,48,19,0.389535,20,4,3,0,0,0,8,0,0,0,0,0,0,0,0,6,67,0,0,0,0,0,48,0,0,0,0,0,0,16
K23,loc:1134,locality,loc:1134,1134,יד השמונה,1,1,161,114,114,0,פה,48,37,11,0.421053,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,19,37,0,0,0,0,0,48,0,0,0,0,0,0,0
K23,loc:1136,locality,loc:1136,1136,צוחר,1,1,450,304,304,0,מחל,156,96,60,0.513158,21,1,1,0,0,0,8,0,0,0,0,0,0,0,0,4,156,0,0,0,0,0,96,0,0,0,0,0,0,17
K23,loc:1137,locality,loc:1137,1137,קריית יערים,5,5,3332,2577,2559,18,ג,1795,530,1265,0.701446,3,1795,0,1,0,0,58,0,0,0,0,0,0,0,0,3,140,1,0,0,16,0,10,0,0,0,0,1,1,530
K23,loc:1138,locality,loc:1138,1138,יעד,1,1,561,408,408,0,פה,246,126,120,0.602941,126,1,9,0,0,0,5,0,0,0,0,0,0,0,0,6,14,1,0,0,0,0,246,0,0,0,0,0,0,0
K23,loc:1139,locality,loc:1139,1139,כרמיאל,68,68,41328,24537,24370,167,מחל,8879,6627,2252,0.364341,822,807,468,23,0,0,739,2,2,4,1,5,3,2,7,5098,8879,24,5,1,63,2,6627,11,1,18,5,8,5,738
K23,loc:1140,locality,loc:1140,1140,מדרשת בן גוריון,2,2,1140,804,802,2,פה,389,276,113,0.485037,276,0,14,2,0,0,18,0,0,0,0,0,0,0,0,15,84,0,0,0,2,0,389,1,0,0,0,0,0,1
K23,loc:1141,locality,loc:1141,1141,מבוא מודיעים,1,1,177,99,98,1,מחל,34,25,9,0.346939,2,12,0,0,0,0,25,0,0,0,0,0,0,0,0,0,34,0,0,0,3,0,11,0,0,0,0,0,0,11
K23,loc:1143,locality,loc:1143,1143,נס עמים,1,1,229,187,187,0,פה,109,38,71,0.582888,23,0,8,0,0,0,5,0,0,0,0,0,0,0,0,4,38,0,0,0,0,0,109,0,0,0,0,0,0,0
K23,loc:1145,locality,loc:1145,1145,אלומה,1,1,330,280,280,0,שס,182,74,108,0.65,0,74,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,182
K23,loc:1146,locality,loc:1146,1146,עלומים,1,1,346,265,265,0,טב,141,69,72,0.532075,9,1,0,0,0,0,141,0,0,0,0,0,0,1,0,3,69,0,0,0,1,0,39,0,0,0,0,0,0,1
K23,loc:1147,locality,loc:1147,1147,נטועה,1,1,243,185,185,0,מחל,96,35,61,0.518919,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,96,0,0,0,0,0,35,0,0,0,0,0,0,35
K23,loc:1148,locality,loc:1148,1148,צור נתן,1,1,228,166,164,2,פה,85,54,31,0.518293,12,0,2,0,0,0,3,0,0,0,0,0,0,0,0,7,54,0,0,0,1,0,85,0,0,0,0,0,0,0
K23,loc:1149,locality,loc:1149,1149,עזר,1,1,626,483,483,0,פה,210,175,35,0.434783,38,1,0,1,0,0,14,0,0,0,0,0,0,0,0,9,175,1,0,0,3,0,210,0,0,0,0,0,0,31
K23,loc:115,locality,loc:115,115,חופית,1,1,735,522,520,2,פה,375,70,305,0.721154,70,1,5,0,0,0,12,0,0,0,0,0,0,0,0,8,48,0,0,0,1,0,375,0,0,0,0,0,0,0
K23,loc:1150,locality,loc:1150,1150,צופר,1,1,352,267,267,0,פה,190,35,155,0.71161,35,0,3,0,0,0,12,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,190,0,0,0,0,0,0,0
K23,loc:1151,locality,loc:1151,1151,פארן,1,1,370,260,259,1,פה,195,40,155,0.752896,40,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,195,0,0,0,0,0,0,0
K23,loc:1152,locality,loc:1152,1152,אשלים,1,1,409,300,299,1,פה,127,82,45,0.424749,40,3,2,0,0,0,22,0,0,0,0,0,0,0,0,18,82,0,0,0,2,0,127,0,0,0,0,0,0,3
K23,loc:1153,locality,loc:1153,1153,כישור,1,1,124,92,90,2,פה,54,21,33,0.6,21,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,54,0,0,0,0,0,0,0
K23,loc:1155,locality,loc:1155,1155,מגן שאול,1,1,386,315,315,0,מחל,189,78,111,0.6,11,1,0,0,0,0,14,0,0,0,0,0,0,0,0,9,189,1,0,0,2,0,78,0,0,0,0,0,0,10
K23,loc:1156,locality,loc:1156,1156,סמר,1,1,230,147,147,0,אמת,75,62,13,0.510204,75,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,62,0,0,0,0,0,0,0
K23,loc:1157,locality,loc:1157,1157,אחווה,1,1,185,143,143,0,פה,88,28,60,0.615385,13,0,0,0,0,0,3,0,0,0,1,0,0,0,0,7,28,0,1,0,0,0,88,0,0,0,0,0,0,2
K23,loc:1158,locality,loc:1158,1158,יהל,1,1,217,121,120,1,פה,64,28,36,0.533333,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,5,64,0,0,0,0,0,0,0
K23,loc:1160,locality,loc:1160,1160,שכניה,1,1,616,467,467,0,פה,296,104,192,0.633833,104,0,4,0,0,0,13,0,0,0,0,0,0,0,0,17,26,4,0,0,0,0,296,0,0,0,0,0,1,2
K23,loc:1161,locality,loc:1161,1161,רהט,52,52,33987,22545,22388,157,ודעם,20711,881,19830,0.925094,881,10,20711,1,4,0,35,0,4,16,1,2,1,2,5,29,136,3,3,2,9,19,439,7,4,9,5,10,24,16
K23,loc:1162,locality,loc:1162,1162,בית רימון,1,1,390,322,322,0,טב,223,54,169,0.692547,7,4,1,1,0,0,223,0,0,0,0,0,0,0,0,2,54,0,0,0,6,0,19,0,0,0,0,0,0,5
K23,loc:1163,locality,loc:1163,1163,מורן,1,1,334,252,252,0,פה,160,48,112,0.634921,48,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,28,1,0,0,0,0,160,0,0,0,0,0,0,1
K23,loc:1165,locality,loc:1165,1165,שילת,1,1,499,401,400,1,פה,237,72,165,0.5925,72,2,5,0,0,0,15,0,0,0,0,0,0,0,0,10,55,0,0,0,0,0,237,0,0,0,0,0,0,4
K23,loc:1166,locality,loc:1166,1166,כפר רות,1,1,185,149,148,1,פה,81,27,54,0.547297,14,3,0,0,0,0,13,0,0,0,0,0,0,0,1,3,27,0,0,0,2,0,81,0,0,0,0,0,0,4
K23,loc:1167,locality,loc:1167,1167,קיסריה,8,8,4946,3201,3196,5,פה,1760,892,868,0.550688,261,15,19,3,0,0,105,0,0,0,0,0,0,0,1,103,892,1,0,0,3,0,1760,0,0,2,0,0,0,31
K23,loc:1171,locality,loc:1171,1171,לוטם,1,1,501,357,356,1,פה,214,74,140,0.601124,74,1,14,1,0,0,6,0,0,0,0,0,0,0,0,6,34,1,0,2,1,0,214,0,0,0,0,1,0,1
K23,loc:1172,locality,loc:1172,1172,תובל,1,1,379,252,252,0,אמת,123,96,27,0.488095,123,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,96,0,0,0,0,0,0,0
K23,loc:1173,locality,loc:1173,1173,לפידות,1,1,130,95,95,0,מחל,53,27,26,0.557895,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,27,0,0,0,0,0,0,6
K23,loc:1174,locality,loc:1174,1174,מנוף,1,1,654,460,460,0,פה,316,101,215,0.686957,101,1,1,0,0,0,5,0,0,0,0,0,0,0,0,15,21,0,0,0,0,0,316,0,0,0,0,0,0,0
K23,loc:1175,locality,loc:1175,1175,עידן,1,1,298,173,172,1,פה,110,28,82,0.639535,28,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,110,0,0,0,1,0,0,0
K23,loc:1176,locality,loc:1176,1176,ספיר,1,1,332,197,196,1,פה,72,64,8,0.367347,17,3,0,2,0,0,23,0,0,0,0,0,0,0,0,12,64,0,0,0,0,0,72,1,0,0,0,0,0,2
K23,loc:1177,locality,loc:1177,1177,טללים,1,1,330,234,233,1,פה,123,49,74,0.527897,38,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,49,0,0,0,0,0,123,0,0,0,0,0,0,2
K23,loc:1178,locality,loc:1178,1178,מורשת,2,2,1000,763,761,2,טב,490,202,288,0.64389,7,4,0,0,0,0,490,0,0,0,0,0,0,0,0,1,202,1,0,0,15,0,25,1,0,0,0,0,0,15
K23,loc:1179,locality,loc:1179,1179,קורנית,1,1,630,465,465,0,פה,274,126,148,0.589247,126,0,2,2,0,0,2,0,0,0,0,0,0,0,0,10,44,3,0,0,0,0,274,1,0,0,0,0,0,1
K23,loc:1180,locality,loc:1180,1180,צביה,1,1,268,198,198,0,פה,141,31,110,0.712121,31,0,1,0,0,0,4,0,0,0,0,0,0,0,0,3,16,2,0,0,0,0,141,0,0,0,0,0,0,0
K23,loc:1181,locality,loc:1181,1181,טל-אל,2,2,934,696,695,1,פה,379,166,213,0.545324,55,3,2,1,0,0,32,0,0,0,0,0,0,0,1,44,166,1,0,0,6,0,379,0,0,0,0,0,0,5
K23,loc:1182,locality,loc:1182,1182,אלון הגליל,2,2,828,614,613,1,פה,407,151,256,0.663948,151,0,3,0,0,0,11,0,0,0,0,0,0,0,0,8,33,0,0,0,0,0,407,0,0,0,0,0,0,0
K23,loc:1183,locality,loc:1183,1183,כליל,1,1,471,344,344,0,אמת,159,114,45,0.462209,159,2,42,0,0,0,6,0,0,0,0,0,0,0,0,1,16,1,0,0,1,0,114,1,0,0,0,0,0,1
K23,loc:1184,locality,loc:1184,1184,מתת,1,1,159,104,104,0,אמת,47,35,12,0.451923,47,3,5,0,0,0,1,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,35,0,0,0,0,0,0,0
K23,loc:1186,locality,loc:1186,1186,הושעיה,2,2,1374,1042,1041,1,טב,532,239,293,0.511047,28,6,0,1,0,0,532,0,0,0,0,0,0,0,0,1,239,1,0,0,5,0,211,2,0,0,0,0,0,15
K23,loc:1188,locality,loc:1188,1188,אשחר,1,1,620,467,466,1,פה,169,100,69,0.362661,91,2,2,0,0,0,100,0,0,0,0,0,0,0,0,17,79,2,0,0,2,0,169,0,0,0,0,0,0,2
K23,loc:1190,locality,loc:1190,1190,מצפה נטופה,1,1,637,471,469,2,טב,291,95,196,0.620469,11,4,1,3,0,0,291,0,0,0,0,0,0,0,0,3,95,1,0,0,5,0,49,0,0,0,0,0,0,6
K23,loc:1191,locality,loc:1191,1191,בר יוחאי,1,1,626,460,459,1,מחל,180,131,49,0.392157,0,36,0,1,0,0,131,0,0,0,0,0,0,0,0,4,180,9,0,0,4,0,7,0,0,0,0,0,0,87
K23,loc:1192,locality,loc:1192,1192,ערערה-בנגב,12,12,8586,5113,5087,26,ודעם,4871,125,4746,0.957539,125,1,4871,0,3,0,2,0,0,3,1,0,1,0,2,1,13,0,1,3,2,4,28,1,2,4,1,5,7,6
K23,loc:1195,locality,loc:1195,1195,ניצנה (קהילת חינוך),1,1,204,66,65,1,פה,25,14,11,0.384615,6,0,5,0,0,0,11,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,25,0,0,0,0,0,0,1
