election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
K19,loc:1045,locality,loc:1045,1045,שתולה,1,1,219,143,142,1,טב,27,27,0,0.190141,14,0,0,0,0,0,7,0,0,0,27,0,3,27,2,0,0,12,0,0,0,13,2,0,0,0,0,4,5,0,0,1,2,23
K19,loc:1046,locality,loc:1046,1046,אוהד,1,1,231,163,162,1,מחל,46,20,26,0.283951,19,0,0,0,0,0,0,1,0,0,12,0,12,46,8,0,0,4,0,0,0,20,0,0,0,0,0,3,18,0,2,5,0,12
K19,loc:1047,locality,loc:1047,1047,חזון,1,1,287,210,210,0,מחל,83,42,41,0.395238,4,28,0,0,0,0,0,0,0,0,42,0,7,83,1,0,0,4,0,0,0,3,1,0,0,0,0,2,0,0,1,1,0,33
K19,loc:1050,locality,loc:1050,1050,בית חשמונאי,2,2,1344,1051,1042,9,מחל,278,264,14,0.266795,166,1,0,0,0,0,2,5,0,0,104,0,32,278,38,0,0,10,0,0,0,264,2,0,0,0,0,21,76,0,0,8,4,31
K19,loc:1051,locality,loc:1051,1051,תלמי אליהו,1,1,244,128,127,1,מחל,32,21,11,0.251969,11,0,0,0,0,0,0,4,0,0,9,0,4,32,4,0,0,2,0,0,0,16,1,0,0,0,0,2,21,0,0,1,0,20
K19,loc:1052,locality,loc:1052,1052,קטורה,1,1,430,200,199,1,אמת,65,48,17,0.326633,65,1,0,0,0,0,1,6,0,0,8,0,2,11,48,0,0,0,0,0,0,27,0,0,0,0,0,5,20,0,0,5,0,0
K19,loc:1054,locality,loc:1054,1054,תל שבע,10,10,6981,3049,2980,69,עם,2002,633,1369,0.671812,23,3,633,0,3,2,16,0,0,5,17,2,7,30,13,1,3,10,3,2002,2,9,3,4,0,1,3,6,4,9,3,5,4,154
K19,loc:1057,locality,loc:1057,1057,נווה זוהר,1,1,72,28,28,0,מחל,7,6,1,0.25,6,0,0,0,0,0,0,0,0,0,2,0,1,7,1,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,1,0,2
K19,loc:1058,locality,loc:1058,1058,שדה ניצן,1,1,329,177,177,0,אמת,53,39,14,0.299435,53,0,0,0,0,0,1,2,0,0,11,0,11,6,28,0,0,0,0,0,0,39,0,0,0,0,0,1,21,0,0,2,1,1
K19,loc:1059,locality,loc:1059,1059,כסיפה,9,9,6039,3059,2991,68,ד,1496,1216,280,0.500167,25,4,1496,0,0,0,7,0,0,1,17,1,1,14,13,2,0,4,0,1216,3,1,1,1,0,1,5,14,22,7,6,2,1,126
K19,loc:106,locality,loc:106,106,כפר גדעון,1,1,156,114,114,0,ג,33,31,2,0.289474,2,33,0,0,0,0,0,1,0,0,9,1,2,13,0,0,0,14,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0,31
K19,loc:1060,locality,loc:1060,1060,לקיה,8,8,5338,3410,3359,51,ד,1860,1398,462,0.553736,11,2,1860,1,0,1,7,0,0,0,12,1,1,5,11,0,0,6,0,1398,0,4,1,0,0,0,2,8,9,6,1,0,2,10
K19,loc:1061,locality,loc:1061,1061,נוף הגליל,66,66,39281,20850,20315,535,מחל,8588,1986,6602,0.422742,1791,69,747,6,33,17,1986,52,0,74,1031,406,643,8588,349,7,7,416,29,127,5,1917,88,21,0,18,21,95,774,30,29,331,66,542
K19,loc:1063,locality,loc:1063,1063,מעלות-תרשיחא,31,31,17395,10663,10418,245,מחל,3311,1140,2171,0.317815,566,62,956,2,7,4,645,37,0,25,1140,214,194,3311,169,7,6,189,8,440,6,683,64,16,0,9,12,113,325,16,11,170,29,982
K19,loc:1064,locality,loc:1064,1064,אמירים,1,1,485,364,362,2,פה,87,82,5,0.240331,82,4,1,0,0,0,10,18,0,0,20,0,11,26,43,0,0,6,0,0,0,87,1,0,0,0,0,12,21,2,1,10,0,7
K19,loc:1065,locality,loc:1065,1065,זמרת,1,1,240,190,187,3,שס,80,56,24,0.427807,1,3,0,0,0,0,0,0,0,0,56,0,0,40,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,80
K19,loc:1066,locality,loc:1066,1066,"בני עי""ש",10,10,5692,3687,3601,86,מחל,1527,460,1067,0.424049,149,10,0,0,8,3,6,8,0,21,375,79,36,1527,37,2,4,37,6,2,1,460,128,6,0,3,5,12,195,4,4,82,15,376
K19,loc:1067,locality,loc:1067,1067,"דוב""ב",1,1,347,205,205,0,מחל,89,40,49,0.434146,3,6,0,0,0,0,0,0,0,0,22,0,28,89,1,0,0,0,0,0,0,6,5,0,0,0,0,1,4,0,0,0,0,40
K19,loc:1068,locality,loc:1068,1068,אדמית,1,1,271,116,115,1,מרץ,35,22,13,0.304348,22,0,0,0,0,1,1,4,0,0,2,0,0,18,35,0,0,0,0,2,0,10,0,0,0,0,0,1,4,0,0,10,1,4
K19,loc:1069,locality,loc:1069,1069,רם-און,1,1,552,457,457,0,אמת,161,136,25,0.352298,161,2,0,0,0,0,0,8,0,3,20,0,10,40,26,0,0,4,0,0,1,136,0,0,0,0,0,2,41,0,0,0,0,3
K19,loc:107,locality,loc:107,107,כפר סילבר,1,1,100,56,56,0,פה,16,12,4,0.285714,8,0,0,0,0,0,0,0,0,0,9,0,0,12,5,0,0,2,0,0,0,16,0,0,0,0,0,1,2,0,0,1,0,0
K19,loc:1070,locality,loc:1070,1070,אביעזר,1,1,458,363,359,4,מחל,87,63,24,0.24234,45,0,1,0,0,0,1,7,0,1,63,2,1,87,20,0,0,8,0,0,1,56,5,0,0,0,0,17,18,0,0,3,1,22
K19,loc:1071,locality,loc:1071,1071,נווה מיכאל,1,1,327,238,236,2,מחל,90,54,36,0.381356,9,1,0,0,0,0,0,2,0,0,35,0,4,90,0,0,0,3,1,0,0,19,4,0,0,0,0,5,5,0,0,4,0,54
K19,loc:1072,locality,loc:1072,1072,גן הדרום,1,1,300,240,239,1,מחל,83,51,32,0.34728,37,0,0,0,0,0,0,1,0,0,17,0,14,83,8,0,0,1,0,0,0,51,0,0,0,0,0,1,23,0,0,2,0,1
K19,loc:1077,locality,loc:1077,1077,גבעת שפירא,1,1,184,147,147,0,פה,61,40,21,0.414966,40,0,0,0,0,0,0,0,0,0,5,0,5,11,17,0,0,0,0,0,0,61,0,0,0,0,0,0,7,0,1,0,0,0
K19,loc:1079,locality,loc:1079,1079,צפרירים,1,1,266,169,168,1,אמת,34,34,0,0.202381,34,0,0,0,0,0,6,2,0,0,4,0,4,34,25,0,0,2,0,0,0,18,1,2,0,0,1,5,7,0,0,5,1,17
K19,loc:1080,locality,loc:1080,1080,מבועים,2,2,793,539,535,4,מחל,121,101,20,0.226168,63,0,0,0,0,0,0,3,0,2,71,0,40,121,12,0,0,1,1,0,0,101,1,0,0,0,0,12,46,0,0,10,1,50
K19,loc:1081,locality,loc:1081,1081,אבן מנחם,1,1,265,163,162,1,מחל,60,43,17,0.37037,6,1,0,0,0,0,0,0,0,0,4,0,10,60,5,0,0,0,0,0,0,14,0,0,0,0,0,10,6,0,0,2,1,43
K19,loc:1082,locality,loc:1082,1082,מעגלים,2,2,834,639,638,1,טב,229,155,74,0.358934,4,2,0,0,0,0,0,2,0,0,229,0,33,155,0,0,0,44,0,0,0,11,0,0,0,0,0,15,8,0,0,3,1,131
K19,loc:1083,locality,loc:1083,1083,תושייה,1,1,208,183,180,3,טב,125,22,103,0.694444,0,1,1,0,0,0,0,0,0,0,125,0,0,15,0,0,0,22,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,11
K19,loc:1084,locality,loc:1084,1084,בן שמן (כפר נוער),1,1,237,154,153,1,פה,48,39,9,0.313725,39,0,0,0,0,0,1,4,0,0,7,0,1,19,13,0,0,0,0,0,0,48,1,0,0,0,0,3,14,0,0,0,0,3
K19,loc:1085,locality,loc:1085,1085,כרם שלום,1,1,87,38,36,2,אמת,13,7,6,0.361111,13,0,0,0,0,0,0,0,0,0,7,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0
K19,loc:1094,locality,loc:1094,1094,כרם יבנה (ישיבה),1,1,151,137,137,0,טב,99,15,84,0.722628,0,15,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11
K19,loc:1095,locality,loc:1095,1095,כפר מימון,1,1,367,326,325,1,טב,222,50,172,0.683077,7,0,0,0,0,0,0,1,0,0,222,0,5,50,0,0,0,21,0,0,0,2,1,0,0,0,0,11,0,0,0,1,0,4
K19,loc:1098,locality,loc:1098,1098,מרכז שפירא,3,3,1374,1125,1120,5,טב,744,131,613,0.664286,17,5,0,0,0,0,0,3,0,0,744,0,2,106,1,0,0,44,0,0,0,25,8,0,0,0,0,21,9,0,0,3,1,131
K19,loc:11,locality,loc:11,11,"ניר ח""ן",1,1,344,237,237,0,מחל,68,32,36,0.28692,32,0,0,0,1,0,1,3,0,0,30,0,15,68,11,0,0,3,0,0,0,31,0,1,0,0,0,11,23,0,0,3,0,4
K19,loc:1102,locality,loc:1102,1102,צוקי ים,1,1,143,105,104,1,פה,26,22,4,0.25,18,0,0,0,0,0,1,3,0,0,12,0,1,7,22,0,0,0,0,0,0,26,0,0,0,0,0,3,10,0,0,1,0,0
K19,loc:1103,locality,loc:1103,1103,גני הדר,1,1,213,159,158,1,פה,42,33,9,0.265823,33,1,0,0,0,0,1,4,0,0,6,0,4,9,18,0,0,1,0,0,0,42,0,0,0,0,0,3,30,0,0,3,0,3
K19,loc:1104,locality,loc:1104,1104,פורייה - כפר עבודה,1,1,256,152,151,1,מחל,60,31,29,0.397351,9,0,0,0,0,0,0,0,0,0,31,0,3,60,0,0,0,1,0,0,0,23,8,0,0,0,0,0,1,0,0,2,0,13
K19,loc:1105,locality,loc:1105,1105,פורייה - נווה עובד,2,2,870,550,545,5,מחל,203,116,87,0.372477,46,3,0,0,0,1,0,3,0,1,116,0,6,203,6,0,0,16,0,0,0,51,6,0,0,0,0,17,20,0,0,5,0,45
K19,loc:1108,locality,loc:1108,1108,אומן,1,1,276,150,146,4,מחל,63,23,40,0.431507,16,1,0,0,0,0,0,0,0,0,23,0,2,63,2,0,0,3,0,0,1,17,1,0,0,1,0,1,6,0,0,3,0,6
K19,loc:1110,locality,loc:1110,1110,חבר,1,1,220,145,144,1,מחל,32,30,2,0.222222,30,0,0,0,0,0,0,2,0,0,20,2,0,32,2,0,0,5,0,0,0,24,1,0,0,0,0,3,11,0,0,2,0,10
K19,loc:1112,locality,loc:1112,1112,יודפת,1,1,427,338,334,4,אמת,104,91,13,0.311377,104,0,0,0,0,0,6,13,0,0,6,0,2,9,91,1,0,1,0,0,0,53,0,0,0,0,0,8,31,0,3,4,1,1
K19,loc:1113,locality,loc:1113,1113,צור הדסה,6,6,3439,2638,2629,9,מחל,661,610,51,0.251426,448,10,1,0,1,0,25,35,0,3,187,2,50,661,256,0,0,52,0,0,0,610,0,0,0,2,0,61,140,0,2,30,3,50
K19,loc:1114,locality,loc:1114,1114,שריגים (לי-און),2,2,665,479,478,1,אמת,127,99,28,0.26569,127,1,0,0,0,0,21,9,0,0,17,0,15,61,99,0,0,1,0,0,0,65,0,0,0,0,0,13,37,0,0,6,2,4
K19,loc:1115,locality,loc:1115,1115,אביבים,1,1,315,200,198,2,שס,74,70,4,0.373737,4,4,0,0,0,0,0,0,0,0,27,0,7,70,0,0,0,4,0,0,0,1,0,0,0,0,0,2,2,0,0,3,0,74
K19,loc:112,locality,loc:112,112,כפר חסידים א',1,1,501,396,394,2,טב,118,72,46,0.299492,52,14,0,0,0,0,0,3,0,0,118,0,11,56,12,0,0,9,0,0,0,72,0,0,0,0,1,3,29,0,0,2,0,12
K19,loc:1123,locality,loc:1123,1123,אדרת,1,1,435,322,321,1,מחל,129,77,52,0.401869,15,0,0,0,0,0,1,0,0,0,77,0,3,129,8,0,0,2,0,0,0,7,1,0,0,0,0,17,5,0,0,5,2,49
K19,loc:1124,locality,loc:1124,1124,נאות הכיכר,1,1,189,133,132,1,אמת,41,37,4,0.310606,41,0,0,0,1,0,0,2,0,0,7,0,4,16,8,0,0,0,0,0,0,37,0,0,0,0,0,1,14,0,0,1,0,0
K19,loc:1125,locality,loc:1125,1125,אלמגור,1,1,253,204,204,0,פה,57,46,11,0.279412,46,0,0,0,0,0,2,10,0,0,3,0,6,12,26,1,0,0,0,0,0,57,1,0,0,0,0,3,32,0,0,4,1,0
K19,loc:1126,locality,loc:1126,1126,אילות,1,1,261,179,179,0,אמת,71,37,34,0.396648,71,0,0,0,0,0,2,1,0,0,4,0,5,19,20,0,0,0,0,0,0,37,0,0,0,0,0,1,11,0,0,7,0,1
K19,loc:1127,locality,loc:1127,1127,מעלה גלבוע,1,1,263,213,212,1,טב,89,38,51,0.419811,38,0,0,0,0,0,0,1,0,0,89,0,1,35,1,0,0,4,0,0,0,23,0,0,0,0,0,11,7,0,0,1,0,1
K19,loc:1128,locality,loc:1128,1128,מי עמי,1,1,222,184,183,1,אמת,56,39,17,0.306011,56,0,0,0,0,0,1,9,0,0,6,0,3,11,39,0,0,1,0,0,0,36,1,0,0,0,1,3,10,0,1,2,1,2
K19,loc:1129,locality,loc:1129,1129,גרופית,1,1,304,191,190,1,אמת,79,33,46,0.415789,79,0,0,0,0,0,3,2,0,0,7,0,3,10,30,0,1,0,0,0,0,33,0,0,0,0,0,2,13,0,0,7,0,0
K19,loc:113,locality,loc:113,113,אדירים,1,1,188,155,155,0,שס,70,39,31,0.451613,0,4,0,0,0,0,0,1,0,0,24,0,2,39,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,0,2,0,70
K19,loc:1130,locality,loc:1130,1130,כפר רוזנואלד (זרעית),1,1,192,126,124,2,מחל,36,21,15,0.290323,13,1,0,0,0,0,0,0,0,0,17,0,8,36,1,0,0,0,0,0,0,15,1,0,0,0,0,5,5,0,0,1,0,21
K19,loc:1132,locality,loc:1132,1132,שניר,1,1,398,300,300,0,אמת,111,60,51,0.37,111,0,0,0,0,0,1,8,0,0,2,0,5,21,51,0,0,0,0,0,0,60,0,0,0,0,0,3,30,0,1,6,0,1
K19,loc:1133,locality,loc:1133,1133,ורדון,1,1,191,136,133,3,מחל,25,20,5,0.18797,9,1,1,0,0,0,1,0,0,0,18,2,15,25,11,0,0,2,0,0,0,13,4,0,0,0,0,0,9,0,0,1,1,20
K19,loc:1136,locality,loc:1136,1136,צוחר,1,1,337,193,193,0,מחל,45,33,12,0.233161,21,0,0,0,0,0,0,5,0,0,28,0,8,45,5,0,0,5,0,0,0,33,0,0,0,0,0,6,5,0,0,8,1,23
K19,loc:1137,locality,loc:1137,1137,קריית יערים,4,4,2199,1631,1621,10,ג,1137,300,837,0.701419,8,1137,0,0,0,0,0,1,0,0,61,0,1,28,4,0,0,27,0,0,0,9,22,0,0,1,1,15,0,0,0,6,0,300
K19,loc:1138,locality,loc:1138,1138,יעד,1,1,451,359,359,0,אמת,141,82,59,0.392758,141,1,0,0,0,0,9,6,0,0,7,0,3,12,82,0,1,0,0,0,0,65,0,0,0,0,0,3,24,0,1,4,0,0
K19,loc:1139,locality,loc:1139,1139,כרמיאל,69,69,39592,23372,22940,432,מחל,8865,3956,4909,0.386443,2993,568,74,5,35,9,120,143,0,45,1700,378,320,8865,516,10,15,260,16,45,11,3956,118,11,0,14,14,199,1255,24,16,346,63,796
K19,loc:1140,locality,loc:1140,1140,מדרשת בן גוריון,2,2,875,648,648,0,אמת,212,154,58,0.32716,212,2,0,0,0,0,5,11,0,0,20,1,7,58,154,0,0,4,0,0,0,101,0,1,0,0,0,11,49,0,3,6,2,1
K19,loc:1141,locality,loc:1141,1141,מבוא מודיעים,1,1,185,118,118,0,טב,46,26,20,0.389831,1,5,0,0,0,0,0,1,0,0,46,0,0,26,4,0,0,15,0,0,0,3,1,0,0,0,0,7,0,0,0,2,0,7
K19,loc:1145,locality,loc:1145,1145,אלומה,1,1,285,254,254,0,שס,168,81,87,0.661417,0,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,168
K19,loc:1146,locality,loc:1146,1146,עלומים,1,1,318,268,268,0,טב,165,43,122,0.615672,11,2,0,0,0,0,0,0,0,0,165,0,4,43,1,0,0,10,0,0,0,14,0,0,0,0,0,10,5,0,0,1,0,2
K19,loc:1147,locality,loc:1147,1147,נטועה,1,1,228,154,152,2,מחל,37,35,2,0.243421,12,1,0,0,0,0,0,1,0,0,20,0,2,37,1,0,0,0,0,0,0,27,0,0,0,0,0,1,14,0,0,1,0,35
K19,loc:1148,locality,loc:1148,1148,צור נתן,1,1,207,155,155,0,פה,45,40,5,0.290323,26,0,0,0,0,0,2,2,0,0,13,0,7,40,4,0,0,1,0,0,0,45,0,0,0,0,0,1,11,0,0,1,0,2
K19,loc:1149,locality,loc:1149,1149,עזר,1,1,631,461,459,2,פה,113,93,20,0.246187,86,0,0,0,1,0,0,3,0,2,45,0,17,93,12,0,0,6,0,0,0,113,2,0,0,0,0,11,35,0,0,8,3,22
K19,loc:115,locality,loc:115,115,חופית,2,2,695,533,531,2,אמת,139,128,11,0.26177,139,2,0,0,1,0,4,12,0,0,14,0,13,51,88,0,0,0,0,0,0,128,0,1,0,0,1,4,65,0,1,4,2,1
K19,loc:1150,locality,loc:1150,1150,צופר,1,1,281,217,215,2,פה,54,44,10,0.251163,35,0,0,0,0,0,0,2,0,0,9,0,44,22,24,0,0,1,0,0,0,54,0,0,0,0,0,1,21,0,0,2,0,0
K19,loc:1151,locality,loc:1151,1151,פארן,1,1,349,257,257,0,פה,86,53,33,0.33463,40,0,0,0,0,0,0,1,0,0,13,0,7,13,38,0,0,0,0,0,0,86,0,0,0,0,0,3,53,0,0,2,1,0
K19,loc:1152,locality,loc:1152,1152,אשלים,1,1,295,197,197,0,אמת,45,36,9,0.228426,45,0,0,0,1,0,0,2,0,0,15,0,20,32,19,0,0,0,0,0,0,36,0,0,0,0,0,6,14,0,0,2,1,4
K19,loc:1153,locality,loc:1153,1153,כישור,1,1,99,76,75,1,אמת,26,12,14,0.346667,26,1,0,0,0,0,2,0,0,0,3,0,1,7,9,0,0,1,0,0,0,12,0,0,0,0,0,0,8,0,0,1,0,4
K19,loc:1155,locality,loc:1155,1155,מגן שאול,1,1,314,215,210,5,מחל,71,29,42,0.338095,21,0,0,0,0,0,0,1,0,0,25,0,22,71,4,0,0,7,0,0,0,29,3,0,0,0,0,3,14,0,0,1,0,9
K19,loc:1156,locality,loc:1156,1156,סמר,1,1,266,167,166,1,אמת,70,44,26,0.421687,70,0,0,0,1,0,5,5,0,0,4,0,1,4,44,0,0,0,0,0,0,15,0,0,0,0,0,1,12,0,2,2,0,0
K19,loc:1157,locality,loc:1157,1157,אחווה,1,1,181,144,144,0,אמת,41,28,13,0.284722,41,2,0,0,1,0,0,1,0,0,13,0,4,20,7,0,0,1,0,0,0,28,1,0,0,0,0,3,16,0,0,2,0,4
K19,loc:1158,locality,loc:1158,1158,יהל,1,1,217,108,108,0,אמת,39,26,13,0.361111,39,0,0,0,0,0,0,2,0,1,8,0,1,6,7,0,0,0,0,0,0,26,0,0,0,0,0,1,12,0,0,3,1,1
K19,loc:1160,locality,loc:1160,1160,שכניה,1,1,497,398,395,3,אמת,124,95,29,0.313924,124,0,0,0,0,0,0,2,0,0,17,0,5,49,55,0,0,2,0,0,0,95,0,0,0,0,0,5,36,0,0,3,1,1
K19,loc:1161,locality,loc:1161,1161,רהט,39,39,23793,13460,13242,218,עם,7455,3951,3504,0.562981,126,10,3951,4,6,12,729,3,0,11,138,8,15,107,116,8,12,15,12,7455,7,50,16,11,0,17,19,36,71,34,23,16,18,186
K19,loc:1162,locality,loc:1162,1162,בית רימון,1,1,243,203,203,0,טב,147,21,126,0.724138,21,0,0,0,0,0,0,0,0,0,147,0,0,11,0,0,0,5,0,0,0,2,0,0,0,0,0,9,4,0,0,0,0,4
K19,loc:1163,locality,loc:1163,1163,מורן,1,1,292,218,216,2,אמת,76,43,33,0.351852,76,1,0,0,0,0,0,6,0,0,14,0,1,18,16,0,0,7,0,0,0,43,0,0,0,0,0,3,21,0,0,4,1,5
K19,loc:1165,locality,loc:1165,1165,שילת,1,1,374,319,319,0,פה,80,77,3,0.250784,77,0,0,0,0,0,4,10,0,0,16,0,8,34,48,0,0,1,0,0,0,80,0,0,0,0,0,1,28,0,3,7,1,1
K19,loc:1166,locality,loc:1166,1166,כפר רות,1,1,185,152,152,0,פה,36,29,7,0.236842,29,0,0,0,0,0,0,3,0,0,14,0,4,25,9,0,0,1,0,0,0,36,0,0,0,0,0,8,15,0,0,7,1,0
K19,loc:1167,locality,loc:1167,1167,קיסריה,7,7,3948,2608,2593,15,פה,748,588,160,0.288469,332,4,2,0,0,0,9,47,0,5,144,0,85,588,222,2,0,17,0,0,1,748,0,0,0,0,0,46,281,0,1,34,6,19
K19,loc:1171,locality,loc:1171,1171,לוטם,1,1,351,249,249,0,אמת,92,56,36,0.369478,92,1,0,0,0,0,1,15,0,0,8,0,4,13,37,0,2,0,0,0,0,56,0,0,0,0,0,3,11,1,2,2,1,0
K19,loc:1172,locality,loc:1172,1172,תובל,1,1,281,194,193,1,אמת,65,53,12,0.336788,65,0,0,0,1,0,10,2,0,0,2,0,3,14,53,0,0,0,0,0,0,24,0,0,0,0,0,0,14,1,2,1,1,0
K19,loc:1173,locality,loc:1173,1173,לפידות,1,1,130,88,87,1,מחל,31,17,14,0.356322,11,0,0,0,1,0,0,3,0,0,4,0,1,31,2,0,0,0,0,0,0,10,0,0,0,0,0,3,2,0,0,1,1,17
K19,loc:1174,locality,loc:1174,1174,מנוף,1,1,493,361,361,0,אמת,104,103,1,0.288089,104,1,0,0,0,0,3,4,0,1,8,0,1,23,70,0,0,0,0,0,0,103,0,0,0,0,0,2,38,0,1,1,1,0
K19,loc:1175,locality,loc:1175,1175,עידן,1,1,240,149,149,0,פה,45,25,20,0.302013,25,0,0,0,0,0,0,1,0,0,15,0,6,23,11,0,0,0,0,0,0,45,0,0,0,0,0,2,15,0,0,5,1,0
K19,loc:1176,locality,loc:1176,1176,ספיר,1,1,282,172,169,3,פה,36,33,3,0.213018,33,0,0,0,0,0,2,10,0,0,18,0,7,29,15,0,0,4,0,0,0,36,2,0,0,0,0,2,5,0,0,6,0,0
K19,loc:1177,locality,loc:1177,1177,טללים,1,1,109,82,81,1,אמת,27,12,15,0.333333,27,0,0,0,0,0,0,0,0,0,8,0,5,10,5,0,0,0,0,0,0,12,0,0,0,0,0,0,9,0,0,5,0,0
K19,loc:1178,locality,loc:1178,1178,מורשת,1,1,706,593,592,1,טב,429,57,372,0.724662,3,3,0,0,0,0,0,2,0,0,429,0,0,57,0,0,0,47,0,0,0,8,2,0,0,0,0,24,3,0,0,0,0,14
K19,loc:1179,locality,loc:1179,1179,קורנית,1,1,541,433,428,5,אמת,138,111,27,0.32243,138,1,0,0,0,0,4,7,0,0,10,0,4,40,73,0,0,3,0,0,0,111,0,0,0,0,0,3,29,0,0,4,1,0
K19,loc:1180,locality,loc:1180,1180,צביה,1,1,241,185,182,3,אמת,50,49,1,0.274725,50,0,0,0,0,0,1,7,0,0,1,0,7,6,22,0,0,0,0,0,0,49,0,0,0,1,0,2,23,0,0,12,1,0
K19,loc:1181,locality,loc:1181,1181,טל-אל,1,1,687,553,549,4,מחל,138,128,10,0.251366,116,0,0,0,0,0,1,11,0,0,35,1,12,138,24,0,0,18,1,0,0,128,0,3,0,0,0,4,47,0,0,4,1,5
K19,loc:1182,locality,loc:1182,1182,אלון הגליל,1,1,664,511,510,1,אמת,181,109,72,0.354902,181,0,0,0,0,0,2,4,0,0,6,0,4,36,101,0,0,5,0,0,0,109,0,0,0,0,0,3,47,0,2,7,3,0
K19,loc:1183,locality,loc:1183,1183,כליל,1,1,301,224,224,0,מרץ,72,57,15,0.321429,57,1,0,0,0,0,39,22,0,0,5,0,0,6,72,0,0,3,0,0,0,8,0,0,0,0,0,3,5,0,3,0,0,0
K19,loc:1184,locality,loc:1184,1184,מתת,1,1,134,93,93,0,מרץ,32,26,6,0.344086,26,1,0,0,0,0,1,2,0,0,8,0,0,2,32,0,0,0,0,0,0,12,1,0,0,0,0,0,5,0,2,1,0,0
