election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת
K24,loc:107,locality,loc:107,107,כפר סילבר,1,1,86,36,36,0,פה,9,8,1,0.25,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,6,4,8,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
K24,loc:1070,locality,loc:1070,1070,אביעזר,1,1,587,458,456,2,מחל,139,63,76,0.304825,63,46,2,2,0,3,24,0,4,0,0,0,1,0,0,49,28,139,22,0,0,0,0,37,1,0,0,0,0,0,1,0,0,3,0,0,0,12,19
K24,loc:1071,locality,loc:1071,1071,נווה מיכאל,1,1,473,337,337,0,מחל,163,42,121,0.48368,4,33,10,1,0,1,42,0,0,0,0,0,0,0,0,9,3,163,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25
K24,loc:1072,locality,loc:1072,1072,גן הדרום,1,1,350,266,265,1,מחל,83,60,23,0.313208,18,22,2,0,0,0,2,0,2,0,0,0,0,0,0,38,4,83,13,0,0,0,0,60,1,0,0,0,0,0,0,0,0,3,0,0,0,2,15
K24,loc:1077,locality,loc:1077,1077,גבעת שפירא,1,1,219,170,170,0,פה,70,33,37,0.411765,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,5,20,0,0,0,0,70,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8
K24,loc:1079,locality,loc:1079,1079,צפרירים,1,1,319,223,223,0,מחל,57,39,18,0.255605,39,8,5,2,0,0,3,0,1,0,0,0,0,0,0,17,4,57,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,19,15
K24,loc:1080,locality,loc:1080,1080,מבועים,2,2,932,613,610,3,מחל,281,75,206,0.460656,31,58,2,1,0,0,32,0,6,0,0,0,0,0,0,24,11,281,10,0,0,0,0,75,1,0,0,0,0,1,0,0,0,3,0,0,0,33,41
K24,loc:1081,locality,loc:1081,1081,אבן מנחם,1,1,275,190,190,0,מחל,97,27,70,0.510526,4,6,0,0,0,0,8,0,0,0,0,0,0,0,0,25,1,97,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8
K24,loc:1082,locality,loc:1082,1082,מעגלים,2,2,1074,854,853,1,מחל,412,192,220,0.483001,5,76,7,0,0,0,192,0,2,0,0,0,0,0,0,6,1,412,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,121,20
K24,loc:1083,locality,loc:1083,1083,תושייה,1,1,337,258,258,0,ט,137,60,77,0.531008,1,43,2,0,0,0,137,0,1,0,0,0,0,0,0,1,0,60,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
K24,loc:1084,locality,loc:1084,1084,בן שמן (כפר נוער),1,1,234,154,154,0,פה,52,20,32,0.337662,19,8,0,1,0,0,2,0,4,0,0,0,0,0,0,14,0,20,19,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
K24,loc:1085,locality,loc:1085,1085,כרם שלום,1,1,151,75,75,0,ט,22,15,7,0.293333,6,4,0,0,0,0,22,0,0,0,0,0,0,0,0,5,2,15,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
K24,loc:1094,locality,loc:1094,1094,כרם יבנה (ישיבה),1,1,154,124,124,0,ט,97,12,85,0.782258,0,9,12,0,0,0,97,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
K24,loc:1095,locality,loc:1095,1095,כפר מימון,1,1,446,358,358,0,ט,135,115,20,0.377095,5,115,1,0,0,0,135,0,0,0,0,0,0,0,0,7,1,75,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,11
K24,loc:1098,locality,loc:1098,1098,מרכז שפירא,3,3,1495,1193,1192,1,ט,586,240,346,0.491611,5,183,7,0,0,0,586,0,3,0,0,0,0,0,0,18,2,240,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,95,36
K24,loc:11,locality,loc:11,11,"ניר ח""ן",1,1,433,293,293,0,מחל,69,53,16,0.235495,23,32,0,0,1,0,12,0,2,0,0,0,0,0,0,51,7,69,13,0,0,0,0,53,0,0,0,0,0,0,0,0,0,3,0,0,0,2,25
K24,loc:1102,locality,loc:1102,1102,צוקי ים,1,1,189,136,136,0,פה,34,26,8,0.25,18,4,1,0,0,0,2,0,5,0,0,0,0,0,0,26,1,17,23,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
K24,loc:1103,locality,loc:1103,1103,גני הדר,1,1,274,211,211,0,אמת,47,41,6,0.222749,47,17,0,1,0,0,4,0,1,0,0,0,0,0,0,33,6,27,27,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
K24,loc:1104,locality,loc:1104,1104,פורייה - כפר עבודה,1,1,267,168,167,1,מחל,88,19,69,0.526946,1,19,2,0,0,0,3,0,2,0,0,1,0,0,0,7,0,88,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,12,13
K24,loc:1105,locality,loc:1105,1105,פורייה - נווה עובד,2,2,1033,666,665,1,מחל,386,47,339,0.580451,14,37,0,0,0,0,32,0,5,0,0,0,0,0,0,31,11,386,10,0,0,0,0,39,0,1,0,0,0,0,1,0,0,11,1,0,0,39,47
K24,loc:1108,locality,loc:1108,1108,אומן,1,1,413,266,266,0,מחל,130,35,95,0.488722,4,15,3,0,0,0,9,0,5,0,0,0,0,0,0,4,27,130,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,2,0,0,0,15,16
K24,loc:1110,locality,loc:1110,1110,חבר,1,1,409,287,283,4,מחל,120,30,90,0.424028,14,15,0,0,0,0,5,0,3,0,0,0,0,0,0,24,13,120,4,0,0,0,0,30,1,0,0,0,0,0,0,0,0,3,0,0,0,23,28
K24,loc:1112,locality,loc:1112,1112,יודפת,1,1,623,488,485,3,אמת,190,144,46,0.391753,190,11,0,5,0,0,3,0,4,0,0,0,0,0,0,39,8,7,144,0,0,0,0,57,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15
K24,loc:1113,locality,loc:1113,1113,צור הדסה,10,10,6345,4699,4688,11,מחל,1203,792,411,0.256613,453,677,14,15,0,0,131,0,47,0,0,3,0,1,0,350,204,1203,342,1,0,0,0,792,0,0,0,0,0,0,0,0,0,21,1,1,0,65,367
K24,loc:1114,locality,loc:1114,1114,שריגים (לי-און),2,2,810,556,556,0,פה,127,105,22,0.228417,105,23,0,3,0,0,2,1,6,0,0,0,0,0,0,61,12,88,102,0,0,0,0,127,0,0,0,0,1,0,0,0,0,2,0,0,0,3,20
K24,loc:1115,locality,loc:1115,1115,אביבים,1,1,342,243,242,1,מחל,140,88,52,0.578512,0,2,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,88,1
K24,loc:112,locality,loc:112,112,כפר חסידים א',1,1,527,392,391,1,פה,95,63,32,0.242967,21,56,18,0,0,0,44,0,1,0,0,0,0,0,0,32,20,63,7,0,0,0,0,95,0,0,0,0,0,0,0,0,0,1,0,0,0,12,21
K24,loc:1123,locality,loc:1123,1123,אדרת,1,1,586,404,403,1,מחל,183,70,113,0.454094,13,70,4,0,0,3,23,0,2,0,0,0,0,0,0,16,2,183,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,39,19
K24,loc:1124,locality,loc:1124,1124,נאות הכיכר,1,1,220,143,143,0,כן,37,34,3,0.258741,27,5,0,0,0,0,1,0,0,0,0,0,0,0,0,37,2,19,7,0,1,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7
K24,loc:1125,locality,loc:1125,1125,אלמגור,1,1,295,232,231,1,אמת,67,48,19,0.290043,67,3,0,1,0,0,1,0,2,0,0,0,0,0,0,48,12,6,31,0,0,0,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8
K24,loc:1126,locality,loc:1126,1126,אילות,1,1,265,169,169,0,אמת,43,36,7,0.254438,43,5,0,1,0,0,0,0,3,0,0,0,0,0,0,28,6,16,24,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
K24,loc:1127,locality,loc:1127,1127,מעלה גלבוע,1,1,367,296,295,1,ב,139,40,99,0.471186,24,139,1,0,0,1,13,0,0,0,0,0,0,0,0,40,0,22,2,0,0,0,1,25,0,0,0,0,0,0,0,0,0,2,0,0,0,2,23
K24,loc:1128,locality,loc:1128,1128,מי עמי,1,1,256,187,186,1,אמת,54,46,8,0.290323,54,2,0,1,0,0,0,0,0,0,0,0,0,0,0,26,6,7,33,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9
K24,loc:1129,locality,loc:1129,1129,גרופית,1,1,284,166,166,0,פה,52,41,11,0.313253,41,3,0,0,0,0,1,0,2,0,0,0,0,0,0,13,6,20,16,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
K24,loc:113,locality,loc:113,113,אדירים,1,1,234,180,180,0,מחל,84,61,23,0.466667,1,7,4,0,0,0,9,0,1,0,0,0,0,0,0,3,0,84,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,61,6
K24,loc:1130,locality,loc:1130,1130,כפר רוזנואלד (זרעית),1,1,224,147,147,0,מחל,85,11,74,0.578231,4,6,0,0,0,0,6,0,1,0,0,0,0,0,0,11,2,85,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9
K24,loc:1132,locality,loc:1132,1132,שניר,1,1,456,341,340,1,פה,94,83,11,0.276471,83,13,0,1,0,0,2,1,7,0,0,0,0,0,0,63,9,23,37,0,0,0,0,94,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5
K24,loc:1133,locality,loc:1133,1133,ורדון,1,1,217,143,143,0,מחל,50,17,33,0.34965,6,5,1,0,0,0,14,0,2,0,0,0,0,0,0,17,2,50,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,6,10
K24,loc:1134,locality,loc:1134,1134,יד השמונה,1,1,158,121,121,0,ל,50,13,37,0.413223,9,12,0,0,0,0,1,0,0,0,0,3,0,0,0,9,50,13,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5
K24,loc:1136,locality,loc:1136,1136,צוחר,1,1,456,282,280,2,מחל,142,29,113,0.507143,15,18,1,0,0,0,13,0,3,0,0,0,0,0,0,20,2,142,7,0,0,0,0,29,0,0,0,0,0,0,0,0,0,2,0,0,0,16,12
K24,loc:1137,locality,loc:1137,1137,קריית יערים,9,9,3391,2500,2488,12,ג,1659,468,1191,0.666801,9,23,1659,0,0,0,185,0,2,0,0,0,0,0,0,6,0,81,3,0,0,0,0,6,1,0,0,1,1,0,0,0,0,31,0,2,0,468,10
K24,loc:1138,locality,loc:1138,1138,יעד,1,1,568,426,426,0,אמת,127,110,17,0.298122,127,6,0,1,0,0,2,0,1,0,0,0,0,0,0,54,9,12,110,0,0,0,0,96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
K24,loc:1139,locality,loc:1139,1139,כרמיאל,74,74,41375,23411,23232,179,מחל,6637,4361,2276,0.285684,886,1316,752,238,7,1,460,8,198,0,0,11,0,3,8,1086,4188,6637,465,4,0,1,77,4361,17,3,0,2,4,8,1,4,5,165,3,5,0,653,1655
K24,loc:1140,locality,loc:1140,1140,מדרשת בן גוריון,2,2,1161,823,822,1,מרצ,208,202,6,0.253041,202,33,0,10,0,0,11,0,4,0,0,0,0,0,0,106,25,63,208,0,0,0,2,130,1,0,0,0,0,0,0,0,0,2,1,0,0,2,22
K24,loc:1141,locality,loc:1141,1141,מבוא מודיעים,1,1,177,95,95,0,ט,20,18,2,0.210526,6,18,10,0,0,0,20,0,2,0,0,0,0,0,0,1,1,10,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,7,7
K24,loc:1143,locality,loc:1143,1143,נס עמים,1,1,241,189,189,0,פה,68,29,39,0.359788,26,8,0,3,0,0,6,0,1,0,0,0,0,0,0,15,3,29,14,0,0,0,0,68,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14
K24,loc:1145,locality,loc:1145,1145,אלומה,1,1,489,411,410,1,שס,178,102,76,0.434146,0,31,79,0,0,0,102,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,1
K24,loc:1146,locality,loc:1146,1146,עלומים,1,1,359,268,268,0,ב,161,33,128,0.600746,14,161,1,0,0,0,10,0,0,0,0,0,0,1,0,15,0,33,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
K24,loc:1147,locality,loc:1147,1147,נטועה,1,1,241,177,177,0,מחל,97,26,71,0.548023,2,11,0,0,0,0,4,0,0,0,0,0,0,0,0,16,1,97,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11
K24,loc:1148,locality,loc:1148,1148,צור נתן,1,1,225,170,169,1,מחל,45,43,2,0.266272,12,10,0,0,0,0,2,0,3,0,0,0,0,0,0,23,4,45,9,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17
K24,loc:1149,locality,loc:1149,1149,עזר,1,1,620,475,473,2,מחל,142,93,49,0.300211,42,39,0,0,0,2,8,0,11,0,0,0,0,0,0,47,5,142,10,0,0,0,0,93,0,0,0,0,1,0,0,0,0,0,0,0,0,30,43
K24,loc:115,locality,loc:115,115,חופית,2,2,762,574,572,2,פה,170,107,63,0.297203,107,20,1,1,0,0,1,0,2,0,0,0,0,0,0,98,29,41,90,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11
K24,loc:1150,locality,loc:1150,1150,צופר,1,1,361,231,230,1,כן,80,44,36,0.347826,43,8,0,0,0,0,5,0,2,0,0,0,0,0,0,80,0,14,22,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
K24,loc:1151,locality,loc:1151,1151,פארן,1,1,385,278,277,1,פה,79,63,16,0.285199,53,10,0,1,0,0,0,0,1,0,0,0,0,0,0,63,6,13,40,0,0,0,0,79,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9
K24,loc:1152,locality,loc:1152,1152,אשלים,1,1,435,292,288,4,מחל,69,51,18,0.239583,40,34,1,0,0,0,12,0,2,0,0,0,0,0,0,27,16,69,15,0,0,0,0,51,0,1,0,0,0,0,0,0,0,2,0,0,0,0,18
K24,loc:1153,locality,loc:1153,1153,כישור,1,1,125,90,89,1,פה,25,20,5,0.280899,14,3,1,1,0,0,3,0,0,0,0,0,0,0,0,5,1,8,20,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
K24,loc:1155,locality,loc:1155,1155,מגן שאול,1,1,386,279,279,0,מחל,144,27,117,0.516129,13,19,0,0,0,0,14,0,2,0,0,0,0,0,0,24,8,144,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,0,0,0,11,9
K24,loc:1156,locality,loc:1156,1156,סמר,1,1,236,142,142,0,מרצ,63,44,19,0.443662,44,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,3,1,63,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
K24,loc:1157,locality,loc:1157,1157,אחווה,1,1,183,145,145,0,פה,37,36,1,0.255172,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,36,3,27,10,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
K24,loc:1158,locality,loc:1158,1158,יהל,1,1,218,132,131,1,פה,32,30,2,0.244275,30,5,0,1,0,0,2,0,0,0,0,0,0,0,0,16,11,13,17,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
K24,loc:1160,locality,loc:1160,1160,שכניה,1,1,617,445,445,0,פה,121,101,20,0.27191,101,17,0,3,0,0,4,0,4,0,0,0,0,0,0,61,12,14,68,0,0,0,0,121,0,0,0,0,0,0,0,0,0,3,0,0,0,1,36
K24,loc:1161,locality,loc:1161,1161,רהט,65,65,35764,17087,16887,200,עם,10626,3735,6891,0.629241,75,13,10,3735,3,2,1,1,507,4,2,3,5,3,8,42,10,1026,470,2,6,7,10626,89,4,5,7,9,2,7,11,16,10,5,11,12,0,14,124
K24,loc:1162,locality,loc:1162,1162,בית רימון,1,1,407,333,333,0,ב,176,83,93,0.528529,15,176,1,0,0,0,83,0,0,0,0,0,0,0,0,9,1,26,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,15
K24,loc:1163,locality,loc:1163,1163,מורן,1,1,350,267,267,0,פה,77,50,27,0.28839,50,5,0,0,0,0,2,0,3,0,0,0,1,0,0,42,11,28,36,0,0,0,0,77,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9
K24,loc:1165,locality,loc:1165,1165,שילת,1,1,507,405,404,1,פה,106,75,31,0.262376,75,13,2,0,0,1,5,0,1,0,0,0,0,0,0,62,14,46,56,0,0,0,0,106,0,0,0,0,0,0,0,0,0,4,0,0,0,2,17
K24,loc:1166,locality,loc:1166,1166,כפר רות,1,1,191,157,156,1,פה,36,30,6,0.230769,18,12,0,0,0,2,9,0,2,0,0,0,0,0,0,30,2,23,7,1,0,0,0,36,0,0,0,0,0,0,0,0,0,2,0,0,0,2,10
K24,loc:1167,locality,loc:1167,1167,קיסריה,8,8,5162,3311,3294,17,פה,877,736,141,0.266242,253,170,12,7,0,0,59,0,28,0,0,0,0,0,2,515,117,736,269,0,0,0,2,877,0,0,0,0,0,0,0,0,0,12,2,0,0,28,205
K24,loc:1171,locality,loc:1171,1171,לוטם,1,1,506,346,340,6,פה,113,63,50,0.332353,63,12,0,5,0,1,2,0,11,0,0,0,0,0,0,32,7,21,43,0,0,0,4,113,0,1,0,0,1,1,0,0,0,5,0,0,0,1,17
K24,loc:1172,locality,loc:1172,1172,תובל,1,1,299,194,193,1,אמת,66,38,28,0.341969,66,10,0,6,0,0,0,0,2,0,0,0,0,0,0,8,7,9,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7
K24,loc:1173,locality,loc:1173,1173,לפידות,1,1,125,91,91,0,מחל,43,12,31,0.472527,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,43,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8
