election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת
K25,loc:1069,locality,loc:1069,1069,רם-און,1,1,687,500,500,0,פה,217,108,109,0.434,74,0,3,3,0,2,0,1,0,0,14,0,0,0,0,0,108,0,8,36,27,0,0,0,0,0,0,2,217,0,1,0,0,0,0,0,4,0,0,0
K25,loc:107,locality,loc:107,107,כפר סילבר,1,1,85,28,28,0,פה,12,5,7,0.428571,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0
K25,loc:1070,locality,loc:1070,1070,אביעזר,1,1,618,497,496,1,מחל,174,89,85,0.350806,37,4,2,1,1,7,0,0,0,0,65,1,2,0,0,0,60,0,13,174,21,0,0,0,0,1,0,0,89,0,0,0,0,0,0,0,2,0,16,0
K25,loc:1071,locality,loc:1071,1071,נווה מיכאל,1,1,488,375,373,2,מחל,161,89,72,0.431635,3,1,4,20,0,3,0,0,0,0,89,0,4,0,0,0,26,0,2,161,1,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,40,0
K25,loc:1072,locality,loc:1072,1072,גן הדרום,1,1,344,268,266,2,מחל,78,70,8,0.293233,12,2,0,5,0,0,0,0,0,0,19,0,1,0,0,0,70,0,4,78,5,0,0,0,0,0,0,0,66,0,1,0,0,0,0,0,2,0,1,0
K25,loc:1077,locality,loc:1077,1077,גבעת שפירא,1,1,226,177,177,0,פה,92,32,60,0.519774,18,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,32,0,3,7,13,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,3,0,2,0
K25,loc:1079,locality,loc:1079,1079,צפרירים,1,1,332,226,226,0,מחל,58,45,13,0.256637,14,1,1,0,0,2,0,0,0,0,32,0,1,0,0,0,17,0,7,58,19,0,0,0,0,0,0,0,45,0,1,0,0,0,0,0,4,0,24,0
K25,loc:1080,locality,loc:1080,1080,מבועים,2,2,942,687,687,0,מחל,286,130,156,0.416303,19,3,9,5,1,0,0,0,0,0,130,1,1,0,0,1,76,0,7,286,6,0,1,0,0,0,0,0,85,1,0,0,1,0,0,0,7,0,47,0
K25,loc:1081,locality,loc:1081,1081,אבן מנחם,1,1,278,194,194,0,מחל,89,33,56,0.458763,5,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,23,0,1,89,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,33,0
K25,loc:1082,locality,loc:1082,1082,מעגלים,2,2,1090,886,885,1,מחל,413,264,149,0.466667,2,1,13,6,0,0,0,0,0,0,264,0,1,0,0,0,22,0,2,413,1,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,2,0,145,0
K25,loc:1083,locality,loc:1083,1083,תושייה,1,1,362,273,273,0,ט,178,68,110,0.652015,0,0,9,1,0,0,0,0,0,0,178,0,0,0,0,0,3,0,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
K25,loc:1084,locality,loc:1084,1084,בן שמן (כפר נוער),1,1,245,166,166,0,פה,71,29,42,0.427711,14,0,2,0,0,1,0,0,0,0,8,0,0,0,0,0,25,0,3,29,8,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,2,0,3,0
K25,loc:1085,locality,loc:1085,1085,כרם שלום,1,1,153,89,89,0,ט,37,17,20,0.41573,6,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,9,0,1,15,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
K25,loc:1094,locality,loc:1094,1094,כרם יבנה (ישיבה),1,1,138,117,117,0,ט,102,10,92,0.871795,0,0,1,10,0,0,0,0,0,0,102,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
K25,loc:1095,locality,loc:1095,1095,כפר מימון,1,1,484,372,372,0,ט,198,88,110,0.532258,2,0,53,2,0,0,0,1,0,0,198,0,1,0,0,0,19,0,1,88,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0
K25,loc:1098,locality,loc:1098,1098,מרכז שפירא,3,3,1620,1317,1317,0,ט,731,250,481,0.555049,4,10,81,10,0,0,0,0,0,0,731,0,1,0,0,0,44,0,3,250,2,0,0,0,0,0,0,0,24,1,3,0,2,0,0,0,0,0,151,0
K25,loc:11,locality,loc:11,11,"ניר ח""ן",1,1,445,299,299,0,כן,76,75,1,0.254181,19,0,3,2,0,0,0,1,0,0,35,0,2,0,0,0,76,0,4,75,14,0,0,0,0,0,0,0,64,0,0,0,0,0,0,1,0,0,3,0
K25,loc:1102,locality,loc:1102,1102,צוקי ים,1,1,193,132,132,0,פה,47,20,27,0.356061,11,0,1,1,0,1,0,0,0,0,6,0,0,0,0,0,20,0,4,20,19,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,1,0,1,0
K25,loc:1103,locality,loc:1103,1103,גני הדר,1,1,286,226,226,0,פה,82,46,36,0.362832,32,1,2,0,0,0,0,0,0,0,5,0,1,0,0,0,46,0,7,28,21,0,0,0,0,0,0,0,82,0,1,0,0,0,0,0,0,0,0,0
K25,loc:1104,locality,loc:1104,1104,פורייה - כפר עבודה,1,1,287,193,192,1,מחל,103,38,65,0.536458,0,1,3,3,0,0,0,0,0,0,38,0,3,0,0,1,12,0,0,103,1,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,6,0,8,0
K25,loc:1105,locality,loc:1105,1105,פורייה - נווה עובד,2,2,1055,726,726,0,מחל,393,135,258,0.541322,17,2,15,2,0,0,0,0,1,0,135,0,4,0,1,0,44,0,10,393,4,0,0,0,1,0,0,0,45,1,2,0,0,0,0,0,7,0,42,0
K25,loc:1108,locality,loc:1108,1108,אומן,1,1,499,339,339,0,מחל,163,59,104,0.480826,0,0,2,2,0,0,0,0,0,0,59,0,1,0,0,0,18,0,20,163,1,0,0,0,0,0,0,0,51,0,2,0,0,0,0,0,0,0,20,0
K25,loc:1110,locality,loc:1110,1110,חבר,1,1,501,362,361,1,מחל,158,50,108,0.437673,10,3,1,0,0,0,0,0,0,0,50,0,0,0,0,0,45,0,13,158,2,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,2,0,31,0
K25,loc:1112,locality,loc:1112,1112,יודפת,1,1,668,503,501,2,פה,183,124,59,0.365269,85,2,5,0,0,11,0,0,0,0,4,1,0,0,0,0,46,0,8,11,124,0,0,0,0,0,0,2,183,0,0,0,1,0,0,0,17,0,1,0
K25,loc:1113,locality,loc:1113,1113,צור הדסה,10,10,6616,4895,4881,14,מחל,1296,1126,170,0.265519,263,32,166,15,3,16,0,0,0,0,605,0,20,0,0,0,720,0,189,1296,274,0,1,0,0,1,0,4,1126,4,12,0,1,2,1,1,21,0,106,2
K25,loc:1114,locality,loc:1114,1114,שריגים (לי-און),2,2,779,524,524,0,פה,178,83,95,0.339695,69,2,0,1,1,4,0,0,0,0,18,0,2,0,0,0,67,0,10,83,71,0,2,0,0,0,0,0,178,0,4,0,0,0,0,0,2,0,10,0
K25,loc:1115,locality,loc:1115,1115,אביבים,1,1,347,271,270,1,מחל,137,83,54,0.507407,0,0,2,5,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
K25,loc:112,locality,loc:112,112,כפר חסידים א',1,1,538,379,379,0,פה,113,65,48,0.298153,8,0,16,20,0,0,0,0,0,0,65,0,3,0,0,0,50,0,10,62,9,0,0,0,0,0,0,1,113,0,0,1,0,0,0,0,2,0,19,0
K25,loc:1123,locality,loc:1123,1123,אדרת,1,1,609,443,443,0,מחל,202,95,107,0.455982,10,1,18,2,0,0,0,0,0,0,95,0,0,0,0,0,35,0,2,202,3,0,0,0,0,1,0,0,24,1,0,0,0,0,0,0,0,0,49,0
K25,loc:1124,locality,loc:1124,1124,נאות הכיכר,1,1,225,146,146,0,פה,51,33,18,0.349315,17,0,4,0,0,0,0,0,0,0,6,0,1,0,0,0,33,0,1,22,6,0,0,0,0,1,0,1,51,0,1,0,0,0,0,0,2,0,0,0
K25,loc:1125,locality,loc:1125,1125,אלמגור,1,1,300,220,220,0,פה,105,34,71,0.477273,34,0,1,0,1,1,0,0,0,0,5,1,1,0,0,0,33,0,4,6,24,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,4,0,0,0
K25,loc:1126,locality,loc:1126,1126,אילות,1,1,276,169,169,0,פה,60,34,26,0.35503,30,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,34,0,3,16,14,0,0,0,0,0,0,0,60,0,0,1,0,0,0,0,2,0,2,0
K25,loc:1127,locality,loc:1127,1127,מעלה גלבוע,1,1,386,310,309,1,כן,80,75,5,0.2589,23,1,75,1,0,0,0,0,0,0,41,0,0,0,0,0,80,0,0,43,3,0,0,0,0,0,0,1,32,0,1,0,0,0,0,0,4,0,3,1
K25,loc:1128,locality,loc:1128,1128,מי עמי,1,1,259,197,197,0,פה,80,34,46,0.406091,28,2,1,0,0,1,0,0,0,0,3,0,1,0,0,0,27,0,5,9,34,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,4,0,1,1
K25,loc:1129,locality,loc:1129,1129,גרופית,1,1,292,166,166,0,פה,77,29,48,0.463855,29,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,4,22,13,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,1,0,0,0
K25,loc:113,locality,loc:113,113,אדירים,1,1,235,177,176,1,מחל,68,68,0,0.386364,1,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,5,0,0,68,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,68,0
K25,loc:1130,locality,loc:1130,1130,כפר רוזנואלד (זרעית),1,1,222,157,157,0,מחל,98,16,82,0.624204,3,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,16,0,1,98,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,12,0
K25,loc:1132,locality,loc:1132,1132,שניר,1,1,493,358,358,0,פה,139,68,71,0.388268,63,0,4,0,0,1,0,0,0,0,5,1,3,0,0,0,68,0,4,28,35,0,0,0,0,0,0,1,139,0,2,0,0,0,0,0,3,0,1,0
K25,loc:1133,locality,loc:1133,1133,ורדון,1,1,214,156,156,0,מחל,53,31,22,0.339744,6,0,1,6,0,1,0,0,0,0,15,0,0,0,0,0,31,0,0,53,8,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,0
K25,loc:1134,locality,loc:1134,1134,יד השמונה,1,1,170,121,120,1,כן,32,24,8,0.266667,1,2,3,0,0,1,1,0,0,0,2,0,0,0,0,0,32,0,23,18,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,11,0,0,0
K25,loc:1136,locality,loc:1136,1136,צוחר,1,1,466,294,293,1,מחל,130,47,83,0.443686,4,1,4,1,0,0,0,0,0,0,43,0,0,0,0,0,29,0,3,130,5,0,0,0,0,0,0,1,47,0,1,0,0,0,0,0,0,0,24,0
K25,loc:1137,locality,loc:1137,1137,קריית יערים,7,7,3496,2720,2703,17,ג,1746,619,1127,0.645949,4,3,7,1746,0,1,0,0,0,0,214,0,1,0,0,0,11,0,0,80,0,0,0,0,0,1,0,0,9,0,4,0,0,0,0,0,3,0,619,0
K25,loc:1138,locality,loc:1138,1138,יעד,1,1,628,445,445,0,פה,185,90,95,0.41573,90,1,2,0,0,2,0,0,0,0,4,0,0,0,0,0,61,0,5,11,72,0,0,0,0,0,0,3,185,0,1,0,0,0,0,0,8,0,0,0
K25,loc:1139,locality,loc:1139,1139,כרמיאל,73,73,42065,24030,23783,247,מחל,6988,5809,1179,0.293823,543,80,200,872,160,217,0,3,0,2,1874,10,85,0,3,5,2049,3,3379,6988,321,4,5,1,16,11,3,97,5809,7,58,3,6,3,4,6,101,12,831,12
K25,loc:1140,locality,loc:1140,1140,מדרשת בן גוריון,2,2,1147,771,769,2,פה,240,166,74,0.312094,135,4,9,1,1,10,0,0,0,0,16,0,0,0,0,0,85,0,13,73,166,0,0,0,0,1,0,2,240,0,1,0,2,0,0,1,6,0,3,0
K25,loc:1141,locality,loc:1141,1141,מבוא מודיעים,1,1,176,103,103,0,ט,41,18,23,0.398058,4,2,5,9,0,0,0,0,0,0,41,0,0,0,0,0,5,0,2,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,18,0
K25,loc:1143,locality,loc:1143,1143,נס עמים,1,1,256,209,209,0,פה,87,37,50,0.416268,13,1,1,0,0,6,0,0,0,0,10,0,2,0,0,0,37,0,4,35,7,0,0,0,0,0,0,3,87,0,0,0,0,0,0,0,3,0,0,0
K25,loc:1145,locality,loc:1145,1145,אלומה,1,1,612,531,531,0,ט,201,195,6,0.378531,0,0,14,92,0,0,0,0,0,0,201,0,0,0,0,0,8,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,195,0
K25,loc:1146,locality,loc:1146,1146,עלומים,1,1,347,249,246,3,ב,71,56,15,0.288618,3,0,71,1,0,0,0,0,0,0,56,0,0,0,0,0,37,0,0,52,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0
K25,loc:1147,locality,loc:1147,1147,נטועה,1,1,257,193,193,0,מחל,91,35,56,0.471503,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,28,0,0,91,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,1,0,23,0
K25,loc:1148,locality,loc:1148,1148,צור נתן,1,1,228,157,157,0,פה,62,40,22,0.394904,8,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,30,0,0,40,2,0,0,0,0,0,0,0,62,0,1,0,1,0,0,0,0,0,2,0
K25,loc:1149,locality,loc:1149,1149,עזר,1,1,609,467,466,1,מחל,147,107,40,0.315451,22,2,4,2,0,0,0,0,0,0,39,0,3,0,0,0,86,0,7,147,9,0,0,0,0,0,0,0,107,0,1,0,0,0,0,0,2,0,35,0
K25,loc:115,locality,loc:115,115,חופית,2,2,788,574,568,6,פה,279,80,199,0.491197,57,2,6,1,1,2,0,0,0,0,3,0,1,0,0,0,80,0,17,42,69,0,0,0,0,0,0,2,279,0,0,0,1,0,0,0,5,0,0,0
K25,loc:1150,locality,loc:1150,1150,צופר,1,1,383,251,251,0,פה,90,87,3,0.358566,20,1,3,1,0,1,0,0,0,0,9,0,0,0,0,0,87,0,0,11,28,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
K25,loc:1151,locality,loc:1151,1151,פארן,1,1,398,267,267,0,פה,116,70,46,0.434457,36,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,70,0,1,14,24,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,1,0,0,0
K25,loc:1152,locality,loc:1152,1152,אשלים,1,1,437,305,303,2,מחל,76,75,1,0.250825,20,2,5,0,0,0,1,0,0,0,32,0,1,0,0,0,51,0,12,76,19,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,6,0,3,0
K25,loc:1153,locality,loc:1153,1153,כישור,1,1,131,97,95,2,פה,43,12,31,0.452632,12,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,11,0,2,5,12,0,0,0,0,0,0,4,43,0,0,0,1,0,0,1,0,0,0,0
K25,loc:1155,locality,loc:1155,1155,מגן שאול,1,1,413,329,329,0,מחל,168,45,123,0.510638,7,1,2,1,0,0,0,0,0,0,45,0,2,0,0,0,44,0,7,168,5,0,0,0,0,0,0,0,29,0,2,0,0,0,0,0,0,0,16,0
K25,loc:1156,locality,loc:1156,1156,סמר,1,1,239,126,126,0,מרצ,55,35,20,0.436508,13,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,6,0,0,2,55,0,1,0,0,0,0,0,35,0,1,0,0,0,0,0,7,0,0,0
K25,loc:1157,locality,loc:1157,1157,אחווה,1,1,181,137,137,0,פה,49,31,18,0.357664,9,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,31,0,5,28,7,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,2,0
K25,loc:1158,locality,loc:1158,1158,יהל,1,1,224,132,130,2,פה,45,29,16,0.346154,29,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,19,0,3,20,8,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,1,0,0,0
K25,loc:1160,locality,loc:1160,1160,שכניה,1,1,623,454,454,0,פה,205,66,139,0.451542,65,6,2,0,0,1,0,0,0,0,14,0,3,0,0,0,66,0,6,28,51,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,6,0,1,0
K25,loc:1161,locality,loc:1161,1161,רהט,64,64,38346,23241,23024,217,עם,14772,3233,11539,0.641591,122,5,11,4,3233,2894,3,3,1,4,23,0,6,3,6,4,225,12,8,367,951,3,0,2,9,4,2,14772,218,7,16,17,3,6,11,11,10,6,32,10
K25,loc:1162,locality,loc:1162,1162,בית רימון,1,1,448,374,374,0,ט,150,117,33,0.40107,9,1,117,0,0,0,0,0,0,0,150,0,0,0,0,0,27,0,1,57,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,2,0
K25,loc:1163,locality,loc:1163,1163,מורן,1,1,376,282,281,1,פה,134,40,94,0.476868,36,1,0,0,0,0,0,0,0,0,13,0,4,0,0,0,40,0,3,25,22,0,0,0,0,0,0,0,134,0,1,0,0,0,0,0,1,0,1,0
K25,loc:1165,locality,loc:1165,1165,שילת,1,1,529,414,413,1,פה,168,54,114,0.40678,54,2,2,2,1,6,0,0,0,0,9,1,1,0,0,0,49,0,12,42,53,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,6,0,5,0
K25,loc:1166,locality,loc:1166,1166,כפר רות,1,1,190,151,151,0,פה,49,33,16,0.324503,11,0,2,1,0,0,0,0,0,0,8,0,0,0,0,0,33,0,3,32,7,0,0,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,4,0
K25,loc:1167,locality,loc:1167,1167,קיסריה,8,8,5448,3457,3447,10,פה,1323,864,459,0.383812,147,5,23,16,3,8,0,0,0,0,158,1,9,0,0,0,545,0,107,864,154,0,1,0,0,2,0,6,1323,4,3,0,0,0,0,0,18,1,47,2
