source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת,address_match_status,address_query,unresolved_reason
K25:444,K25,444,478,אכסאל,7.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,559,284,282,2,0,0,0,2,61,137,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,1,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:445,K25,445,478,אכסאל,7.4,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,556,282,281,1,0,0,0,0,49,147,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,77,2,0,0,0,0,0,1,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:446,K25,446,478,אכסאל,9.1,no_direct_historical_assignment,statistical_area,,,,,,,478,אכסאל,,single_stat_locality,reviewed_polling_place_stat_override,595,323,321,2,0,0,0,2,67,161,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,83,0,0,1,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:447,K25,447,478,אכסאל,9.2,no_direct_historical_assignment,statistical_area,,,,,,,478,אכסאל,,single_stat_locality,reviewed_polling_place_stat_override,595,293,292,1,0,2,0,0,75,140,0,0,0,0,1,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,65,1,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:448,K25,448,478,אכסאל,9.3,no_direct_historical_assignment,statistical_area,,,,,,,478,אכסאל,,single_stat_locality,reviewed_polling_place_stat_override,595,287,284,3,1,0,0,0,69,158,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,48,1,0,0,3,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:449,K25,449,478,אכסאל,9.4,no_direct_historical_assignment,statistical_area,,,,,,,478,אכסאל,,single_stat_locality,reviewed_polling_place_stat_override,595,302,302,0,0,0,0,0,64,158,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,73,0,0,0,0,0,1,0,0,1,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:450,K25,450,478,אכסאל,9.5,no_direct_historical_assignment,statistical_area,,,,,,,478,אכסאל,,single_stat_locality,reviewed_polling_place_stat_override,595,300,297,3,0,0,0,0,47,148,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,95,2,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:451,K25,451,478,אכסאל,12.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,593,278,273,5,1,0,0,0,53,134,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,69,9,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:452,K25,452,478,אכסאל,12.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,593,315,312,3,1,1,0,0,70,153,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,73,4,0,1,1,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:453,K25,453,478,אכסאל,12.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,593,263,262,1,0,0,0,2,41,136,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,73,2,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:454,K25,454,478,אכסאל,12.4,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,593,288,288,0,0,1,0,0,47,147,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,77,1,0,1,2,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:455,K25,455,478,אכסאל,12.5,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,593,287,284,3,0,0,0,0,52,132,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,94,1,0,0,0,0,0,0,0,0,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:456,K25,456,478,אכסאל,14.1,no_direct_historical_assignment,statistical_area,,,,,,,478,אכסאל,,single_stat_locality,reviewed_polling_place_stat_override,543,262,256,6,0,0,0,1,42,138,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,67,0,0,0,0,0,0,0,1,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:457,K25,457,478,אכסאל,14.2,no_direct_historical_assignment,statistical_area,,,,,,,478,אכסאל,,single_stat_locality,reviewed_polling_place_stat_override,543,275,274,1,0,0,0,0,37,185,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:458,K25,458,478,אכסאל,14.3,no_direct_historical_assignment,statistical_area,,,,,,,478,אכסאל,,single_stat_locality,reviewed_polling_place_stat_override,543,308,303,5,0,0,0,0,49,177,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,70,0,0,0,0,0,0,1,0,0,0,0,1,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:459,K25,459,478,אכסאל,14.4,no_direct_historical_assignment,statistical_area,,,,,,,478,אכסאל,,single_stat_locality,reviewed_polling_place_stat_override,540,296,290,6,0,0,0,0,48,148,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,88,2,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:563,K25,563,529,אעבלין,1.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,510,331,330,1,1,1,0,1,59,175,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,72,7,0,0,1,0,0,1,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:564,K25,564,529,אעבלין,1.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,510,272,267,5,2,0,0,0,43,152,0,0,0,0,0,0,0,0,0,1,1,0,0,7,5,0,0,0,0,0,0,50,5,0,0,0,0,0,0,0,1,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:565,K25,565,529,אעבלין,1.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,509,316,316,0,7,0,1,0,52,158,0,0,0,0,1,1,0,0,0,0,1,0,0,8,7,0,0,0,0,0,0,76,1,0,1,1,1,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:566,K25,566,529,אעבלין,2.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,375,210,210,0,0,0,0,0,27,132,0,0,0,0,1,0,0,0,0,1,0,0,3,6,7,0,0,0,0,0,0,28,5,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:567,K25,567,529,אעבלין,2.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,348,197,197,0,2,0,2,0,38,86,0,0,0,0,0,0,0,0,0,5,0,0,1,2,10,0,0,0,0,0,0,41,4,0,1,0,0,5,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:568,K25,568,529,אעבלין,3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,691,397,392,5,5,0,1,0,73,214,0,0,0,0,0,0,0,0,0,0,1,0,0,21,21,0,0,0,0,0,0,42,10,0,0,2,0,0,0,0,0,1,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:569,K25,569,529,אעבלין,5.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,492,287,283,4,7,0,0,0,62,148,0,0,0,0,2,0,0,0,0,0,1,0,1,12,11,0,0,0,0,0,0,32,5,0,0,1,0,0,1,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:570,K25,570,529,אעבלין,5.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,492,281,277,4,1,0,0,1,39,165,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0,1,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:571,K25,571,529,אעבלין,5.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,490,258,254,4,1,0,0,0,56,144,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,40,4,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:572,K25,572,529,אעבלין,7.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,382,211,210,1,2,0,0,0,43,102,0,0,0,0,0,0,0,0,0,2,0,0,0,4,9,0,1,0,0,0,0,42,4,0,1,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:573,K25,573,529,אעבלין,7.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,382,254,252,2,1,0,1,0,17,53,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,175,1,0,0,1,1,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:574,K25,574,529,אעבלין,8.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,504,296,291,5,1,0,0,1,31,176,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,67,5,0,1,0,0,0,0,0,0,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:575,K25,575,529,אעבלין,8.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,504,320,317,3,2,0,0,0,55,103,0,0,0,0,0,2,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,133,5,0,0,0,0,0,0,0,1,0,2,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:576,K25,576,529,אעבלין,8.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,503,257,256,1,1,0,0,0,80,125,0,0,0,0,0,1,0,0,0,2,0,0,1,10,16,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:577,K25,577,529,אעבלין,11.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,504,308,305,3,7,0,1,0,74,145,0,0,0,0,4,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:578,K25,578,529,אעבלין,11.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,504,305,305,0,1,0,0,0,46,139,0,1,0,0,0,0,0,0,0,1,1,0,1,0,9,1,0,0,0,0,0,104,0,0,0,0,0,0,1,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:579,K25,579,529,אעבלין,11.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,502,302,300,2,7,0,0,0,78,124,0,0,0,0,3,0,0,0,0,0,1,1,1,5,3,0,0,0,0,0,0,68,9,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:580,K25,580,529,אעבלין,12.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,373,251,249,2,4,0,0,0,45,83,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,104,2,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:581,K25,581,529,אעבלין,12.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,373,263,262,1,0,0,0,1,45,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,135,0,0,0,1,0,0,0,0,0,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:582,K25,582,529,אעבלין,13,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,529,אעבלין,,direct_address_geocode_needed,automatic_code_match,690,400,399,1,9,0,0,0,56,252,1,0,0,0,0,0,0,0,0,0,0,0,2,8,9,0,1,0,0,0,0,50,7,0,0,2,0,0,0,0,0,0,2,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:1150,K25,1150,6000,באקה אלגרביה,2.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,694,333,330,3,0,0,0,0,172,71,0,0,0,0,0,0,0,0,0,0,6,0,0,3,2,0,0,0,0,0,0,75,0,0,0,1,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:1151,K25,1151,6000,באקה אלגרביה,2.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,693,315,311,4,0,0,0,0,176,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:1152,K25,1152,6000,באקה אלגרביה,3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,677,357,352,5,1,0,0,0,181,75,0,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0,0,0,0,0,85,1,0,0,2,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:1153,K25,1153,6000,באקה אלגרביה,5.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,691,314,308,6,1,1,0,0,139,69,0,0,0,0,0,0,0,0,0,1,9,0,0,0,5,0,0,0,0,0,0,80,0,0,1,0,0,0,0,0,1,0,0,1,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:1154,K25,1154,6000,באקה אלגרביה,5.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,691,302,296,6,0,0,0,0,101,92,0,0,0,0,0,0,0,0,0,0,3,0,0,7,6,0,0,0,0,0,0,81,3,0,0,1,0,0,0,0,0,0,2,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:1155,K25,1155,6000,באקה אלגרביה,5.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,689,378,374,4,0,0,0,0,195,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,76,3,0,1,2,0,0,0,1,1,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:1156,K25,1156,6000,באקה אלגרביה,6.1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,681,301,297,4,0,0,0,0,139,71,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,73,2,0,0,1,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:1157,K25,1157,6000,באקה אלגרביה,6.2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,681,296,284,12,3,0,0,0,121,61,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,93,0,0,0,0,0,0,1,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K25:1158,K25,1158,6000,באקה אלגרביה,6.3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,6000,באקה אל-גרביה,,direct_address_geocode_needed,automatic_code_match,681,313,311,2,0,0,0,0,176,58,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,66,1,0,0,3,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
