source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,unresolved_reason
K24:867,K24,867,478,אכסאל,10,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,631,349,343,6,0,0,0,266,1,0,0,0,0,2,0,0,0,0,0,0,0,9,2,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:868,K24,868,478,אכסאל,13.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,604,242,236,6,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:869,K24,869,478,אכסאל,13.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,604,250,248,2,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,1,0,15,4,0,0,0,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:870,K24,870,478,אכסאל,13.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,604,227,225,2,0,0,0,132,0,0,0,0,0,1,0,0,0,0,0,0,0,8,4,0,0,0,75,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:871,K24,871,478,אכסאל,13.4,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,604,224,222,2,0,0,0,133,0,0,1,0,0,1,0,0,0,0,0,0,0,12,2,0,0,0,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:872,K24,872,478,אכסאל,13.5,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,604,278,277,1,0,0,1,155,0,0,0,0,2,0,0,0,0,0,0,0,0,23,5,0,0,0,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:873,K24,873,478,אכסאל,13.6,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,603,249,246,3,1,0,0,113,0,0,0,0,1,0,0,0,0,0,0,0,0,13,3,0,0,0,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:874,K24,874,478,אכסאל,14.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,592,279,276,3,1,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,0,0,0,99,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:875,K24,875,478,אכסאל,14.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,592,235,235,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,78,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:876,K24,876,478,אכסאל,14.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,592,220,218,2,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:877,K24,877,478,אכסאל,14.4,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,592,289,288,1,1,0,0,206,0,0,0,0,0,0,0,0,0,0,0,2,0,14,5,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:878,K24,878,478,אכסאל,14.5,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,592,248,246,2,1,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:879,K24,879,478,אכסאל,14.6,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,592,227,226,1,0,0,0,124,0,0,0,0,1,0,0,0,0,0,0,0,0,10,4,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1196,K24,1196,541,גסר אזרקא,5.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,481,144,143,1,0,1,0,86,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9,0,0,0,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1197,K24,1197,541,גסר אזרקא,5.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,481,112,111,1,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,37,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1198,K24,1198,541,גסר אזרקא,5.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,480,104,103,1,0,0,0,63,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,26,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1199,K24,1199,541,גסר אזרקא,6.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,361,113,113,0,2,0,0,67,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1200,K24,1200,541,גסר אזרקא,6.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,361,89,89,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1201,K24,1201,541,גסר אזרקא,7.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,515,140,137,3,0,0,0,95,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,1,0,0,27,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1202,K24,1202,541,גסר אזרקא,7.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,515,119,119,0,5,0,0,71,0,0,0,0,0,1,0,0,0,0,0,1,0,6,2,0,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1203,K24,1203,541,גסר אזרקא,7.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,513,104,99,5,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1204,K24,1204,541,גסר אזרקא,10.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,447,112,106,6,2,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1205,K24,1205,541,גסר אזרקא,10.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,447,102,100,2,2,0,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1206,K24,1206,541,גסר אזרקא,10.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,445,106,102,4,2,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1207,K24,1207,541,גסר אזרקא,12.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,511,127,126,1,0,0,0,74,0,0,0,0,0,0,0,0,0,0,1,0,0,8,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1208,K24,1208,541,גסר אזרקא,12.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,511,108,107,1,1,0,0,55,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,37,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1209,K24,1209,541,גסר אזרקא,12.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,511,133,130,3,2,0,0,72,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1210,K24,1210,541,גסר אזרקא,12.4,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,511,132,130,2,2,0,0,68,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,0,0,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1211,K24,1211,541,גסר אזרקא,13.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,524,124,124,0,1,0,0,73,0,0,1,0,0,1,0,0,0,0,1,0,0,4,7,0,0,1,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1212,K24,1212,541,גסר אזרקא,13.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,524,113,112,1,2,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1213,K24,1213,541,גסר אזרקא,13.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,524,132,131,1,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1214,K24,1214,541,גסר אזרקא,13.4,no_direct_historical_assignment,statistical_area_pending,,,,,,,541,ג'סר א-זרקא,,historical_stat_area_pending,automatic_code_match,522,132,130,2,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1327,K24,1327,2200,דימונה,91,special_non_geographic,special_non_geographic,special:envelope_votes,,,,,,,special:envelope_votes,special:envelope_votes,special_non_geographic,reviewed_ballot_geography_override,204,163,163,0,13,33,0,0,0,0,6,0,0,0,0,0,0,0,0,22,3,28,8,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,Non-geographic row is counted but not mapped
K24:1536,K24,1536,4000,חיפה,990,no_direct_historical_assignment,statistical_area_pending,,,,,,,4000,חיפה,,historical_stat_area_pending,automatic_code_match,255,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Central ballot 990 serves locality-registered voters without a supported area-level allocation; this multi-area locality cannot be reduced to one statistical area
K24:1912,K24,1912,498,טורעאן,6.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,640,291,288,3,3,0,0,176,0,0,2,0,3,0,0,0,0,0,0,0,2,5,15,0,0,0,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1913,K24,1913,498,טורעאן,6.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,639,258,257,1,1,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,1,104,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1914,K24,1914,498,טורעאן,10.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,494,202,201,1,4,0,0,137,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1915,K24,1915,498,טורעאן,10.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,494,125,124,1,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1916,K24,1916,498,טורעאן,10.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,494,185,185,0,2,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1917,K24,1917,498,טורעאן,10.4,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,492,183,183,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,119,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1918,K24,1918,498,טורעאן,12.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,508,202,200,2,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,144,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1919,K24,1919,498,טורעאן,12.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,508,217,215,2,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,164,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1920,K24,1920,498,טורעאן,12.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,508,226,224,2,2,0,0,95,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1921,K24,1921,498,טורעאן,13.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,566,194,194,0,1,1,0,97,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,0,0,0,82,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1922,K24,1922,498,טורעאן,13.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,566,193,190,3,0,1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1923,K24,1923,498,טורעאן,13.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,566,240,238,2,3,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,0,0,0,36,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1924,K24,1924,498,טורעאן,13.4,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,563,251,251,0,1,0,0,131,0,0,0,0,0,2,0,0,0,0,0,0,2,17,7,0,0,0,88,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1925,K24,1925,498,טורעאן,14.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,537,189,187,2,0,0,0,113,0,0,0,0,6,0,0,0,0,0,0,0,0,2,6,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1926,K24,1926,498,טורעאן,14.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,537,177,174,3,1,0,0,108,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1927,K24,1927,498,טורעאן,14.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,537,147,147,0,0,0,0,81,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1928,K24,1928,498,טורעאן,14.4,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,537,230,230,0,0,0,0,114,0,0,1,0,0,0,1,0,0,0,0,0,0,8,13,0,0,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:1929,K24,1929,498,טורעאן,14.5,no_direct_historical_assignment,statistical_area_pending,,,,,,,498,טורעאן,,historical_stat_area_pending,automatic_code_match,533,246,242,4,9,0,0,149,0,0,0,0,2,0,0,0,0,0,0,1,0,13,13,0,0,0,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:2043,K24,2043,481,מגאר,2.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,481,מגאר,,historical_stat_area_pending,automatic_code_match,617,283,277,6,6,1,0,120,0,0,1,0,1,0,0,0,0,0,0,2,18,31,13,1,0,0,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:2044,K24,2044,481,מגאר,2.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,481,מגאר,,historical_stat_area_pending,automatic_code_match,617,279,278,1,4,9,0,69,0,0,0,0,1,0,0,0,0,0,0,8,40,30,10,0,0,0,65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:2045,K24,2045,481,מגאר,5.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,481,מגאר,,historical_stat_area_pending,automatic_code_match,448,185,185,0,2,18,0,45,0,0,0,0,0,0,0,0,0,0,1,9,68,12,6,0,0,0,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,11,5,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:2046,K24,2046,481,מגאר,5.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,481,מגאר,,historical_stat_area_pending,automatic_code_match,448,151,151,0,10,13,0,40,0,0,0,0,1,0,0,0,0,0,0,7,32,15,8,0,0,0,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:2047,K24,2047,481,מגאר,5.3,no_direct_historical_assignment,statistical_area_pending,,,,,,,481,מגאר,,historical_stat_area_pending,automatic_code_match,448,147,144,3,6,3,0,21,0,0,0,0,0,0,0,0,0,0,0,15,19,12,5,0,0,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K24:2048,K24,2048,481,מגאר,8.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,481,מגאר,,historical_stat_area_pending,automatic_code_match,491,217,217,0,3,5,0,39,0,0,0,0,1,0,0,0,0,0,0,8,16,11,13,0,0,0,91,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,no official ballot crosswalk row and locality is not uniquely one historical statistical area
